surname,given_names,birth_year,death_year,year_note,citation_raw,citation_ocr_quality,citation_ocr_noise_chars
Aagesen,Andreas,1826,1879,,", Søn af Ni­ colai A., Professor i Retsvidenskab IV, 24. v, 377- Aagesen, Julie, f. Drewsen (1799—1847), g. m. Nicolai A. I, 324. V, 98, 377.",high,Afgimv
Aagesen,Nicolai,1783,1861,,", National­ bankdirektør, Etatsraad I, 324. V, 98, 377.",clean,
Aall,Jørgen,1806,1894,,", norsk Auditør, se­ nere Amtmand over Bratsberg Amt og Stor­ tingspræsident I, 68, 78. V, 18.",clean,
Aman,Johan August,1790,1853,,", tidligere Stadslæge i Linkôping, Professor II, 193. v, 193- Aarestrup, Emil (1800—1856), Digter III, 328. V, 258, 282.",medium,iv
Abildgaard,P. C.,1740,1801,,", Veterinær III, 318. V, 354-55- Abrahams, N. C. L. (1798—1870), Professor i Fransk og Tysk, 1852 Notarius publicus, Konferensraad I, 290, 302, 334. III, 230. IV, 135. V, 15, 81, 103, 260, 336, 410.",high,CLNi
Abrahamson,Joseph,1789,1847,,", General­ krigskommissær, Oberstløjtnant, Dr. phil. I, 245, 268-69. V, 64. Achard, Anna, Pensionatsværtinde i Genève H, 355, 362. V, 250.",medium,Hi
Adler,"Anna Marie, f. Høyer",1786,1857,,", g. m. J. G. A. I, 333. V, 102.",high,AGJgm
Adler,D. B.,1826,1878,,", Grosserer og Ban­ kier, Politiker IV, 26. V, 282, 378.",clean,
Adler,J. G.,1784,1852,,", Gehejmekabinets- sekretær, 1839—49 Medlem af Direktio­ nen for Det kgl. Teater II, 2, 64, 71, 74, 104, 108, in, 117. V, 71, 102, 109, 117, 123, 140, 142, 154-55..",clean,
Ahlefeldt-Laurvigen,"Frederik, Greve",1834,1888,,", Premierløjtnant, senere Hofjæger­ mester, Besidder af Mollerup III, 158, 165. v, 315- Ahlgrensson, Fritz (1838—1902), svensk Tea­ termaler IV, 75. V, 393.",low,v
Albeck,N. C.,1816,1878,,", Hofbager II, 83. v, 144.",low,v
Albers,Moritz Karl August,1798,1868,,", Læge i Hamburg I, 70, 122, 123. V, 19.",low,i
Albrecht,Theodor,1822,1871,,", Opera­ sanger ved Det kgl. Teater II, 26. V, 127.",clean,
Aldridge,Ira,1805,1867,,", amerikansk Negerskuespiller IV, 11-12. V, 374. Alexander den Store (356—323 f. Chr.) II, 141. Alexis, Willibald (Pseudonym for Wilhelm Häring) (1798—1871), tysk Romanforfatter I, 82.",low,f
Algreen-Ussing,Frederik,1838,1869,,", cand. jur., historisk Forfatter III, 324. V, 355.",clean,
Allen,C. F.,1811,1871,,", Professor i Historie III, 303, 305. V, 352. Almeida, portugisisk Greve, Cintra III, 330. v, 359- Alsing, Hans Frederik (1808—1871), Mønt­ kontrollør i Altona, senere Møntmester, Ju­ stitsraad I, 331. V, 101, 242.",medium,iv
Altmann,Julius,1814,1873,,", tysk Forfatter IV, 115. V, 405.",clean,
Amberger,Gustav,1831,1896,,", tysk Land­ skabsmaler II, 367-68. III, 12. V, 234, 268. d’Ambrosio, Paolo, neapolitansk Diplomat, tidligere Chargé d’Affaires i København I, 209. V, 53.",medium,i’
Ancker,C.,1828,1857,,", Digter og Legat­ stifter II, 188. III, 110. IV, 3. V, 191, 2^2, 299- Anders, Tjener hos Jonas Collin d. Æ. II, 204. V, 199. Andersen, Anne Marie Andersdatter (d. 1833), g. m. Hans A., Digterens Moder I, 144, 176, 202, 276. V, 49, 302. Andersen, Bertel (1815—1884), Fiskerikon­ trollør, Fører af »Havgassen«, Kammerraad IV, 171, 258. V, 422. Andersen, Carl (1828—1883), Forfatter III, 105, 11 o, 121. IV, 77, 178. V, 299, 356, 358, 361, 394- Andersen, Clara (1826—1895), Forfatterinde IV, 173. V, 423. Andersen, Hans (1782—1816), Friskomager, Digterens Fader II, 276. III, 14. V, 302. Andersen, Jannik (1774—1854)5 Apoteker, Indehaver af Løve-Apoteket i Odense I, 28. V, 9. Andersen, Johanne Nicoline (1808—1897), Datter af Jannik A., g. 1837 m. T. A. F. Paulsen I, 28. V, 9. Andersen, S. C. (1808—1899), dansk Gene­ ralkonsul i Christiania IV, 188. V, 429.",high,ACFST^dgimo»
Anderssen,Adolf,1818,1879,,", tysk Skak­ spiller, Professor i Breslau IV, 288. V, 468.",low,i
Andræ,C. G.,1812,1893,,", Politiker II, 301. V, 230.",clean,
Anholm,"Joachime, f. Oppermann",1812,1886,,", g. m. Johannes A. II, 374. III, 41, 45-46, 47, 48, 51, 52-53, 55, 130, 209, 251, 341- V, 255, 284, 304, 331, 332, 334.",medium,Agm
Anholm,Johannes,,1860,,", Skibskaptajn og Gæstgiver, A.s Vært i Nyhavn Nr. 67 II, 363, 3$9> 383, 387? 39°, 394- V, 252, 260.",high,$Ais°
Anker,Cecilie,1836,1919,,", Lærerinde paa Christinelund III, 128. V, 303.",clean,
Anker,Johan,1838,1876,,", Sekondløjtnant i Artilleriet, Skanse II.s Forsvarer, senere Premierløjtnant III, 163, 342. V, 315, 361.",medium,is
Arendrup,Chr. R.,1803,1871,,", Stiftsfysi- kus i Odense, Justitsraad IV, 58. V, 388.",low,i
Arendrup,Emil,1838,1871,,", Søn af Chr. R. A., Læge IV, 8, 58. V, 373, 388. Arentzen, Kristian (1823—^99)5 Adjunkt ved Metropolitanskolen, Digter og Littera­ turhistoriker III, 88, 101, 102, 110. V, 197, 293> 297.",medium,AR^
Arnesen,A. L.,1808,1860,,", Forfatter og Ministerialembedsmand, 1849 Kommitte­ ret ved Det kgl. Teater I, 104, 227, 248. II, 192, 332. V, 64, 65, 84, 192, 227, 242, 423- Arnswald, Bernhard v. (1807—1877), Kom­ mandant paa Wartburg, Oberstløjtnant II, 260. V, 217.",low,v
Assen,Cornelis Jacobus van,1788,1859,,", Professor i Retsvidenskab i Leiden, Dr. jur., Etatsraad II, 136. V, 164.",medium,i
Auerbach,Berthold,1812,1882,,", tysk For­ fatter II, 66, 220, 263, 288-89, 301, 303, 371. IV, 137, 325. V, 139, 217, 231, 255, 411, 483.",clean,
Aufdermauer,Agathe,,1872,,", Søster til Xaver A. II, 297. Ill, 39, 44, 301. IV, 247, 251, 252, 255. V, 281, 351.",low,A
Aufdermauer,Xaver,1822,1904,,", Hotelejer i Brunnen, Oberstløjtnant II, 297, 343. Ill, 39. IV, 249, 255. V, 229, 246, 280, 453. Augusta, se Collin, Augusta.",low,i
Augustenborg,"Caroline Amalia, Prinsesse af —",1826,1901,,", Datter af Christian Au­ gust af A. I, 322. II, 35. V, 130.",low,A
Augustenborg,"Christian, Prins af—",1831,1917,,", Søn af Christian August af A. II, 35- V, 130.",low,A
Augustenborg,"Christian August, Hertug af —",1798,1869,,"I, 321, 322. II, 27, 32—33. V, 76, 96, 123, 127-28, 130, 165.",clean,
Augustenborg,"Frederik, Prins af —",1829,1880,,", Hertug 1863 (Friedrich VIII), Søn af Christian August af A. II, 35. V, 130, 309- Augustenborg, Henriette, Prinsesse af — (1833—1917), Datter af Christian August af A., g. 1872 m. Professor, Dr. med. J. F. A. v. Esmarch II, 35. V, 130.",high,AFJgmv
Augustenborg,"Louise Augusta, Prinsesse af —",1824,1872,,", Datter af Christian Au­ gust af A. II, 35. V, 130. Augustenborg, Louise Sophie, Hertuginde af —, f. Komtesse Danneskiold-Samsøe (1796 1867), g. 1820 m. Christian August af A. I, 321, 322. II, 13-14, 15, 27, 32-33, 35. V, 76, 96, 128, 130. Augustenborg, Prinsesserne af —, Døtre af Prins Emil af A. II, 80. V, 143. Austin, Esther, engelsk Danserinde IV, 315. v, 476-77- Baagøe, Johannes Schønberg (1798—1837), Apoteker, Indehaver af S vane-Apoteket i København I, 70. V, 19.",high,ASfgimv
Backman,Karl Johan,1825,1874,,", svensk Redaktør og Oversætter IV, 231. V, 446.",clean,
Baden,Jacob,1735,1804,,", Professor elo- quentiæ, Filolog og Kritiker I, 32, 39. V, 11.",clean,
Bagger,Carl,1807,1846,,", Forfatter I, 147, 234- V, 37-38, 61, 65, 72, 134, 356.",clean,
Bagger,Louise,1847,1910,,", g. 1866 m. P. N. Nieuwenhuis III, 251. V, 341.",high,NPgm
Baggesen,August,1795,1865,,", Søn af Jens B., Kaptajn, senere Generalmajor I, 95. V, 22.",low,B
Baggesen,Carl,1793,1873,,", Søn af Jens B., Præst i Bern I, 95. III, 37. IV, 23. V, 22, 278.",medium,Bi
Baggesen,Jens,1764,1826,,", Digter I, 74, 95, 162, 168, 172, 213, 241, 341. III, 321. V, 22, 23, 40, 54, 302, 359, 363. Baker, Florence, f. v.",medium,fv
Saas,"g. 1860 m. Samuel B. IV, 8. V, 373. Baker, Sir Samuel White",1821,1893,,", en­ gelsk Opdagelsesrejsende IV, 8. V, 373.",clean,
Baller,Ferdinand,,1864,,", Grosserer, Nizza II, 358. V, 251.",clean,
Ballin,Caroline,1838,1901,,", Søster til Clara B. IV, 261, 263, 282-83, 285, 286, 293, 299, 302-03, 306. V, 454-55> 45^ 485- Ballin, Clara (1824-1887), A.s Værtinde i Ny­ havn Nr. 18 1873—75 IV, 260, 261, 263, 273, 279, 281-83, 285, 286, 287, 293-94, 299, 302-03, 305-06. V, 454-55’ 456, 483, 466, 469-70, 485.",high,AB^is’
Balling,"Helene, f. Næboe",1799,1893,,", Enke efter Forvalter Jonathan B. II, 37, 59, 135- V, 106.",low,B
Bang,"Caroline, f. Giersing",1789,1864,,", g. 1810 m. Claus Chr. B. I, 230, 235.",medium,Bgm
Bang,Claus Chr.,1778,1855,,", Kontorchef ved Provideringskommissionen, Kammer- raad, 1823—37 Ejer af Nørager, derefter af Hummeltofte ved Frederiksdal I, 7, 8, 48, 51, 73, 110, in, 112, 113, 114. II, 189-90, 195. V, 5, 10, 14, 62, 68, 191, 192, 210.",clean,
Bang,Emma,1811,1882,,", Datter af Claus Chr. B., g. 1839 m. N. P. Butenschøn I, 262. V, 68. — Se endvidere Butenschøn, Emma.",high,BNPgm
Bang,F. S.,1810,1889,,", Hovedkasserer i Privatbanken, Justitsraad, senere Etats- raad IV, 278. V, 463.",low,i
Bang,Hjalmar,1807,1833,,", Sekondløjtnant i Søetaten I, 167. V, 41.",low,i
Bang,Ida,1813,1891,,", Datter af Claus Chr. B., g. 1837 m. Skibsmægler, Vicekonsul L. A. Hecksher I, 31, 46. V, 10. — Se end­ videre Hecksher, Ida. Bang, Oluf (Ole) (1788—1877), Professor i Medicin, Konferensraad, senere Gehejme- konferensraad II, 217-18, 341. V, 202, 203, 246, 439- Bang, P. G. (1797—1861), Politiker II, 249. V, 212.",high,ABGLPgim
Bang,"Sophie Marie, f. Dahlerup",1801,1878,,", g. 1826 m. Oluf B. II, 218. V, 202.",medium,Bgm
Bardua,Caroline,1781,1864,,", Portræt- og Historiemalerinde i Berlin II, 46. V, 133.",low,i
Barfod,Frederik,1811,1896,,", historisk For­ fatter, Politiker II, 328. III, 7. V, 241.",clean,
Barham,Richard Harris,1788,1845,,", en­ gelsk Forfatter II, 182. V, 187.",clean,
Barries,"Læge i Wien II, 75. Bartholin, Frederik",1829,1901,,", Kaptajn i Artilleriet IV, 60. V, 388.",low,i
Bartholin,Johanne,1819,1900,,", Søster til F. B., overordentlig Stiftsdame i Vallø IV, 282. V, 466.",medium,BFi
Baumann,Alexander,1814,1857,,", østrigsk Dialektdigter II, 86. V, 145.",clean,
Baur,Johannes,1795,1865,,", Hotelejer i Zü­ rich II, 302. III, 44, 75. IV, 339. V, 231.",low,i
Bay,Rudolph,1791,1856,,", Komponist I, 90.",clean,
Bayer-Bürck,"Marie, f. Bayer",1820,1910,,", tysk Skuespillerinde II, 257. V, 215.",clean,
Bayern,"Ludwig I, Konge af—",1786,1868,,", Søn af Maximilian I af B. I, 211. V, 53, 82, 243.",low,B
Bayern,"Ludwig II, Konge af —",1845,1886,,", Søn af Maximilian II af B. IV, 110. V, 404.",low,B
Bayern,"Maria Hedewig, Dronning af —, f. Prinsesse af Preussen",1825,1889,,", g. 1842 m. Maximilian II af B. II, 333, 338. IV, 110. V, 243, 404.",medium,Bgm
Bayern,"Maximilian I, Konge af—",1756,1825,,", II, 86. V, 143, 144.",clean,
