collin_place_name,match_tier,match_count,match_reg_ids,match_labels,match_countries
Aabenraa,exact,1,Reg0024170,Aabenraa,Danmark
Aalborg,exact,1,Reg0024210,Aalborg,
Aarhus,exact,1,Reg0024260,Aarhus,
Årsta,exact,1,Reg0024270,Årsta,
Aarøsund,exact,1,Reg0024290,Aarøsund,Danmark
Abbotsford,exact,1,Reg0000000,Abbotsford,
Afrika,exact,1,Reg0000060,Afrika,
Albanerbjergene,exact,1,Reg0000150,Albanerbjergene,
Algier,exact,1,Reg0000250,Algier,
Alperne,exact,1,Reg0000310,Alperne,
Als,exact,1,Reg0000340,Als,
Altenburg,exact,1,Reg0000370,Altenburg,Tjekkiet
Altona,exact,1,Reg0000380,Altona,Tyskland
Altorf,exact,1,Reg0000390,Altorf,
Alvestad,none,0,,,
Amalfi,exact,1,Reg0000450,Amalfi,Italien
Amerika,none,0,,,
Amiens,exact,1,Reg0000500,Amiens,Frankrig
Amsterdam,exact,1,Reg0000530,Amsterdam,Nederlandene
Ancona,exact,1,Reg0000580,Ancona,Italien
Angel,exact,1,Reg0000650,Angel,
Angouleme,exact,1,Reg0000670,Angoulême,Frankrig
Anhof,exact,1,Reg0000680,Anhof,
Antwerpen,exact,1,Reg0000730,Antwerpen,Belgien
Antvorskov,exact,1,Reg0000720,Antvorskov,
Arizzia,none,0,,,
Arnhem,exact,1,Reg0000870,Arnhem,Nederlandene
Asien,exact,1,Reg0000940,Asien,
Assens,exact,1,Reg0000980,Assens,Danmark
Astrup,none,0,,,
Athen,exact,1,Reg0001010,Athen,Grækenland
Augsburg,exact,1,Reg0001050,Augsburg,Østrig
Augustenburg,none,0,,,
Aussig,exact,1,Reg0001090,Aussig,Tyskland
Australien,exact,1,Reg0001100,Australien,
Aveiro,exact,1,Reg0001110,Aveiro,
Avignon,exact,1,Reg0001140,Avignon,Frankrig
Axenstein,exact,1,Reg0001150,Axenstein,
Badajoz,exact,1,Reg0001210,Badajoz,
Baden,none,0,,,
Baden-Baden,exact,1,Reg0001240,Baden-Baden,Tyskland
Bamberg,exact,1,Reg0001330,Bamberg,Tyskland
Barcelona,exact,1,Reg0001370,Barcelona,Spanien
Basel,none,0,,,
Basnæs,exact,1,Reg0001420,Basnæs,Danmark
Bastei,exact,1,Reg0001440,Bastei,Tjekkiet
Bavelse Sø,exact,1,Reg0001480,Bavelse Sø,
Baveno,exact,1,Reg0001490,Baveno,Schweiz
Bayern,exact,1,Reg0001500,Bayern,
Bayonne,exact,1,Reg0001510,Bayonne,Spanien
Bayreuth,exact,1,Reg0001520,Bayreuth,Tyskland
Beaucaire,exact,1,Reg0001530,Beaucaire,
Belgien,exact,1,Reg0001610,Belgien,
Bellaggio,exact,1,Reg0001630,Bellaggio,
Belvedere,none,0,,,
Berg,exact,1,Reg0001780,Berg,
Berlin,exact,1,Reg0001830,Berlin,Tyskland
Bern,exact,1,Reg0001840,Bern,Schweiz
Bernina,none,0,,,
Bernstorff Slot,exact,1,Reg0001880,Bernstorff Slot,
Berwick-on-Tweed,none,0,,,
Bex,exact,1,Reg0001910,Bex,Schweiz
Beziers,exact,1,Reg0001920,Béziers,
Biarritz,exact,1,Reg0001930,Biarritz,Spanien
Biel,none,0,,,
Bjärka-Säby,exact,1,Reg0002070,Bjärka-Säby,Sverige
Blankenburg,exact,1,Reg0002090,Blankenburg,Tyskland
Blois,exact,1,Reg0002140,Blois,Frankrig
Bodensøen,exact,1,Reg0002200,Bodensøen,
Bogense,exact,1,Reg0002230,Bogense,
Bordeaux,exact,1,Reg0002340,Bordeaux,Frankrig
Borreby,exact,1,Reg0002410,Borreby,
