category,title,year,citation_raw,see_also,issue_type
,Samlede og blandede Skrifter.,,,,possible_fragment
,Aus Herz und Welt,1860,"II, 332—33, 367. v, 254.",,
,Reiseskizzer og Pennetegninger,1868,"IV, 38. V, 226, 231, 244, 280, 350, 353, 354, 355, 359, 362, 364, 380, 417.",,
,Samlede Skrifter,1854,"II, 230—31. V, 20g, 210, 328.",,omnibus_collection
,Sämtliche Werke,1847,"11,67, II2> 122. V, 152.",,omnibus_collection
Eventyr,Works,1870,"IV, 115, 130. V, 391,405, 416.",,omnibus_collection
Eventyr,Illustrationer til Eventyrene: Lor. Frølich,,"II, 81—82. III, 279, 285. IV, 164, 315, 320—321. V, 143—144, 347—48) 420,477, 485. — Clara Heinke III, 37—38. V, 279. — Wilh. v. Kaulbachs »Engelen« II, 333. III, 287—288, 292, 300. IV, 106, 109. V, 243, 483. — Vilh. Pedersen II, 131. IV, 274. V, 140, 144, 162, 444. —",,
Eventyr,Otto Speckter,,"II, 35—36, 37, 48. IV, 57. V, 130, 387. — Yan’Dargent IV, 328. V, 462, 483. — Unævnte Kunstnere II, 37, 353, 366.",,
Eventyr,Eventyr-Samlinger (kronologisk).,,,,possible_fragment
Eventyr,Eventyr fortalte for Børn. 2. Opl.,1845,"II, 38. V, 131.",,
Eventyr,"Nye Eventyr I,i",1843,"I, 344—345* V, 108.",,
Eventyr,Eventyr med Illustrationer af V. Pedersen,1849,"II, 163, 184, 191. V, 132. — 2. Opl. (1854) II, 230—31, 235. V, 2og, 210. — 4. Opl. (1873) IV, 228, 274. V, 444, 460, 461, 463.",,
Eventyr,Historier,1852,"II, 350. V, 208, 232.",,
Eventyr,"Historier, illustrerede af V. Pedersen",1855,,,
Eventyr,"Nye Eventyr og Historier 1,1",1858,"II, 300. V, 228, 229, 230.",,serial_installment
Eventyr,"Nye Eventyr og Historier 1,4",1860,"II, 329. V, 241—42.",,serial_installment
Eventyr,"Nye Eventyr og Historier II,1",1861,"III, 37. V, 261, 265—66, 269.",,serial_installment
Eventyr,"Nye Eventyr og Historier 11,3",1865,"III, 210, 213, 214, 215, 229—30. V, 259, 280, 324, 325, 331.",,serial_installment
Eventyr,"Nye Eventyr og Historier 11,4",1866,"III, 361. V, 290, 355, 365, 366, 385.",,serial_installment
Eventyr,"Femten Eventyr og Historier, med Illustra­ tioner af Lorenz Frølich",1867,"IV, 38. V, 3#1-",,
Eventyr,Tre nye Eventyr og Historier,1870,"IV, 82, 86—87, 92, 96, 107—08, 111—12, 114, 115, 118, 119, 120, 130, 131—32, 136. V, 394, 396, 408, 409.",,
Eventyr,"Nye Eventyr og Historier, med Illustrationer af Lorenz Frølich I",1870,"IV, 164. V, 420. — III (1874) IV, 315, 320—21. V, 477? 479-",,
Eventyr,"Nye Eventyr og Historier III, 1",1872,"IV, 197. V, 400, 405, 432, 434.",,serial_installment
Eventyr,Bemærkninger til Eventyr og Historier,,"IV, 320. V, 286, 443, 479.",,
Eventyr,Enkelte Eventyr (alfabetisk).,,,,possible_fragment
Eventyr,Barnet i Graven,,"IV, 50. V, 242.",,
Eventyr,Bispen paa Børglum og hans Frænde,,"II, 392, 397. III, 1. IV, 82. V, 239, 265, 266,331.",,
Eventyr,Boghveden,,"II, 35.",,
Eventyr,Børnesnak,,"II, 343. IV, 50. V, 241, 246, 302.",,
Eventyr,De røde Sko,,"II, 36, 48.",,
Eventyr,De smaa Grønne,,"IV, 35, 38. V, 379.",,
Eventyr,De Vises Steen,,"III, 1. V, 243, 266.",,
Eventyr,Den grimme Ælling,,"I, 344—45, II, 4, 35, 36, 56, 141, 275. III, 88. IV, 50, 251. V, 108, 133, 241, 301, 451. VI, 31.",,
Eventyr,Den lille Havfrue,,"II, 297. IV, 262. V, 68, 143, 456.",,
Eventyr,Den lille Pige med Svovlstikkerne,,"IV, 251. V, 191.",,
Eventyr,Den standhaftige Tinsoldat,,"IV, 279. V, 132, 301, 464.",,
Eventyr,Den store Søslange,,"IV, 193. V, 432, 434, 446.",,
Eventyr,Det er ganske vist!,,"III, 8. V, 270, 295, 302, 374? 384, 394-",,
Eventyr,Det gamle Egetræs sidste Drøm,,"II, 293. V, 228—29, 230.",,
Eventyr,Det ny Aarhundredes Musa,,"III, 7, 37. V, 266, 269.",,
Eventyr,Det Utroligste,,"IV, 197. V, 434.",,
Eventyr,Diamanten i Frøens Hovede,,,Skrubtudsen,
Eventyr,Dryaden,,"IV, 82, 107, 112, 115, 119. V. 370, 372, 396> 400.",,
Eventyr,Dyndkongens Datter,,"II, 340, 360. V, 230, 243, 249, 251.",,
Eventyr,Elverhøi,,"IV, 181. V, 426.",,
Eventyr,En Historie fra Klitterne,,"II, 323, 328, 330, 339? 340? 353» 357- V, 240, 242, 249, 250, 251«",,
Eventyr,Engelen,,"III, 255, 292, 300. V, 108, 243.",,
Eventyr,Fem fra en Ærtebælg,,"III, 260. IV, 343.",,
Eventyr,Flaskehalsen,,"II, 292. V, 228, 230, 394.",,
Eventyr,Gaardhanen og Veirhanen,,"II, 323. V, 240.",,
Eventyr,Gartneren og Herskabet,,"IV, 197. V, 434.",,
Eventyr,Gjemt er ikke glemt,,"IV, 52, 155. V, 383,387.",,
Eventyr,Grantræet,,"II, 36, 48, 81. IV, 153. V, 132, 133, 416. VI, 31—32.",,
Eventyr,Guldskat,,"III, 193, 198. IV, 273. V, 323—26, 33°^ 33L 461-",,
Eventyr,Historien om en Moder,,"III, 98, 260. IV, 343. V, 296, 343, 394, 468.",,
Eventyr,Hjertesorg,,"IV, 50. V, 208, 337.",,
Eventyr,Holger Danske,,"II, 316.",,
Eventyr,"Hvad Fatter gjør, det er altid det Rigtige",,"IV, 50. V, 266.",,
Eventyr,Hvad man kan hitte paa,,"IV, 82, 92, 107, 111 — 12, 131—32. V, 393—96.",,
Eventyr,Hvad Tidselen oplevede,,"IV, 78, 82, 92, 107, in—12, 131—32. V>394-",,
Eventyr,Hyrdinden og Skorstensfeieren,,"II, 36, 48.",,
Eventyr,Hønse-Grethes Familie,,"IV, 78, 82, 92, 107, in, 131—32. V, 394—95. I Børnestuen III, 193. V, 323, 331. lisjomfruen III, 38, 50, 61. V, 280, 460.",,
Eventyr,Keiserens nye Klæder,,"I, 266 (Tekst). II, 4. V, 68, 394.",,
Eventyr,Kjærestefolkene,,"II, 141. III, 260. IV, 343. V, 108, 132, 133, 167, 295.",,
Eventyr,Klokkedybet,,"IV, 155. V, 230, 4/7. VI, 40.",,
Eventyr,Kløverblomsten (Eventyr-Udkast),,"III, 320, v, 355-",,
Eventyr,Kometen,,"IV, 96. V, 400, 434.",,
Eventyr,"Lygtemændene ere i Byen, sagde Mosekonen",,,,possible_fragment
Eventyr,Lykken kan ligge i en Pind,,"IV, 111—12, 115, 119? 139- V, 403, 412, 434.",,
Eventyr,Lykkens Kalosker,,"III, 286. V, 32, 47, 48, 74, 349-",,
Eventyr,Lysene,,"IV, 197. V, 434.",,
Eventyr,Moster,,"III, 356. V, 363.",,
Eventyr,Nattergalen,,"I, 344. II, 4, 14, 232. V, 108, 132, 210.",,
Eventyr,Noget,,"II, 293. V, 228—29, 230, 384.",,
Eventyr,Ole Lukøie,,"II, 37. IV, 126—27. V, 61, 130, 407, 408.",,
Eventyr,"Peiter, Peter og Peer",,"IV, 31. V, 378—79.",,
Eventyr,Portnerens Søn,,"III, 320, 346, 350. V, 314, 355,362,365-",,
Eventyr,Portnøglen,,"IV, 224. V, 443.",,
Eventyr,Psychen,,"III, 38. V, 279, 460.",,
Eventyr,Skarnbassen,,"III, 1. V, 263.",,
Eventyr,Skrubtudsen,,"III, 320, 356. V, 333, 363.",,
Eventyr,Skyggen,,"II, 141. IV, 92. V, 149,16G—67,398.",,
Eventyr,Sneedronningen,,"II, 36, 37, 48, 229. IV, 262. V, 131, 132, 133, 209, 378, 457.",,
Eventyr,Sneemanden,,"III, 1. V, 263, 384.",,
Eventyr,Sneglen og Rosenhækken,,"III, 38. IV, 50. V, 279, 301, 460.",,
Eventyr,Sommerfuglen,,"III, 255. V, 239, 301, 374, 384, 461, 487.",,
Eventyr,Sommergjækken,,"III, 80. V, 289—90, 387.",,
Eventyr,Springfyrene,,"II, 36, 48.",,
Eventyr,Stoppenaalen,,"II, 49. V, 134.",,
Eventyr,Stormen flytter Skilt,,"III, 215. V, 330, 331.",,
Eventyr,Suppe paa en Pølsepind,,"II, 292. V, 228, 230, 301.",,
Eventyr,Svinedrengen,,"I, 309. II, 4, 35. III, 267. V, 89—9°, !32, 133, 295.",,
Eventyr,Sølvskillingen,,"III, 38. V, 279—80, 331, 461.",,
Eventyr,Tante Tandpine,,"IV, 155, 157, 176, 223. V, 4'6—17, 424, 44 b 442, 443-",,
Eventyr,Tolv med Posten,,"II, 396. III, 1. V, 261.",,
Eventyr,Toppen og Boldten,,,Kjærestefolkene,
Eventyr,Veirmøllen,,"III, 215. V, 325, 331, 493.",,
Eventyr,Verdens deiligste Rose,,"III, 255. V, 359.",,
Eventyr,Vinden fortæller om Valdemar Daa og hans,,,,possible_fragment
Eventyr,Døttre,,"II, 328, 343. III, 1, 69. IV, 82. V, 241, 302.",,
Samlinger,Vænø og Glænø,,"IV, 155. V, 417.",,
Samlinger,Aarets tolv Maaneder,1833,"I, 101, 104—05, 106, 112, 113, 115, 128, 144, 178. V, 24, 25, 28, 3°, 45, 51-",,
Samlinger,Digte,1830,"I, 19, 27, 32, 33, 55. III, 144. V, 3, 5, 6, 11,308.",,
Samlinger,Kjendte og glemte Digte,1867,"IV, 38, 39. V, 285, 312, 313, 315, 340, 355, 358, 377, 380—81.",,
Samlinger,Phantasier og Skizzer,1831,"I, 29, 30, 32, 35, 39, 41, 42; 54, 57—58, 61, 209, 232, 284. V, 10, II, 12, 13, 14, 15, 17, 36.",,
Skizzer,"Poetisk Jydepotte for 1831, se Phantasier og",,,,possible_fragment
Skizzer,Samlede Digte,1833,"I, 125, 138, 144, 146, 165—66, 167—68, 177, 184. V, 29, 31,34, 35, 36, 41, 45, 51.",,
Skizzer,Vignetter til danske Digtere,1832,"III, 328. ^35*-",,
