collin_title,collin_year,collin_category,see_also,match_tier,match_count,matched_on,match_reg_ids,match_titles
Samlede og blandede Skrifter.,,,,possible_fragment,0,,,
Aus Herz und Welt,1860,,,exact,1,title+year,Reg000281,Aus Herz und Welt (1860)
Reiseskizzer og Pennetegninger,1868,,,none,0,,,
Samlede Skrifter,1854,,,omnibus_collection,0,,,
Sämtliche Werke,1847,,,omnibus_collection,0,,,
Works,1870,Eventyr,,omnibus_collection,0,,,
Illustrationer til Eventyrene: Lor. Frølich,,Eventyr,,none,0,,,
Otto Speckter,,Eventyr,,none,0,,,
Eventyr-Samlinger (kronologisk).,,Eventyr,,possible_fragment,0,,,
Eventyr fortalte for Børn. 2. Opl.,1845,Eventyr,,none,0,,,
"Nye Eventyr I,i",1843,Eventyr,,none,0,,,
Eventyr med Illustrationer af V. Pedersen,1849,Eventyr,,none,0,,,
Historier,1852,Eventyr,,none,0,,,
"Historier, illustrerede af V. Pedersen",1855,Eventyr,,none,0,,,
"Nye Eventyr og Historier 1,1",1858,Eventyr,,serial_installment,0,,,
"Nye Eventyr og Historier 1,4",1860,Eventyr,,serial_installment,0,,,
"Nye Eventyr og Historier II,1",1861,Eventyr,,serial_installment,0,,,
"Nye Eventyr og Historier 11,3",1865,Eventyr,,serial_installment,0,,,
"Nye Eventyr og Historier 11,4",1866,Eventyr,,serial_installment,0,,,
"Femten Eventyr og Historier, med Illustra­ tioner af Lorenz Frølich",1867,Eventyr,,fuzzy,1,fuzzy,Reg001277,Femten Eventyr og Historier. Med Ill. af Lorenz Frølich (1867)
Tre nye Eventyr og Historier,1870,Eventyr,,exact,1,title_only,Reg003313,Tre nye Eventyr og Historier (1870 Ͻ: 1869)
"Nye Eventyr og Historier, med Illustrationer af Lorenz Frølich I",1870,Eventyr,,none,0,,,
"Nye Eventyr og Historier III, 1",1872,Eventyr,,serial_installment,0,,,
Bemærkninger til Eventyr og Historier,,Eventyr,,none,0,,,
Enkelte Eventyr (alfabetisk).,,Eventyr,,possible_fragment,0,,,
Barnet i Graven,,Eventyr,,exact,1,title_only,Reg000313,Barnet i Graven
Bispen paa Børglum og hans Frænde,,Eventyr,,exact,1,title_only,Reg000363,Bispen paa Børglum og hans Frænde
Boghveden,,Eventyr,,none,0,,,
Børnesnak,,Eventyr,,exact,1,title_only,Reg000431,Børnesnak
De røde Sko,,Eventyr,,fuzzy,1,fuzzy,Reg000649,De røde Skoe
De smaa Grønne,,Eventyr,,exact,1,title_only,Reg000651,De smaa Grønne
De Vises Steen,,Eventyr,,exact,1,title_only,Reg000629,De Vises Steen
Den grimme Ælling,,Eventyr,,exact,1,title_only,Reg000713,Den grimme Ælling
Den lille Havfrue,,Eventyr,,exact,1,title_only,Reg000732,Den lille Havfrue
