key,label_da,category,forms,notes
dansk,Dansk,national,dansk;danske,
tysk,Tysk,national,tysk;tyske,"Pre-1871 the corpus mostly names the specific German state (preussisk, sachsisk…) instead — see german_state rows."
fransk,Fransk,national,fransk;franske,
svensk,Svensk,national,svensk;svenske,
engelsk,Engelsk,national,engelsk;engelske,British Isles — see also britisk.
britisk,Britisk,national,britisk;britiske,Less common synonym of engelsk in the corpus; usually interchangeable.
skotsk,Skotsk,national,skotsk;skotske,
irsk,Irsk,national,irsk;irske,
italiensk,Italiensk,national,italiensk;italienske,"Pre-1861 (unification) the corpus often prefers a regional/historical form instead — neapolitansk, romersk, genovesisk/genuesisk, sardinsk."
spansk,Spansk,national,spansk;spanske,
katalansk,Katalansk,regional_foreign,katalansk;katalanske,Regional identity within Spain, not a nation-state demonym.
portugisisk,Portugisisk,national,portugisisk;portugisiske,
hollandsk,Hollandsk,national,hollandsk;hollandske,Dutch — see also nederlandsk (synonym, attested in the corpus).
nederlandsk,Nederlandsk,national,nederlandsk;nederlandske,Synonym of hollandsk; both spellings occur in the corpus.
belgisk,Belgisk,national,belgisk;belgiske,
flamsk,Flamsk,regional_foreign,flamsk;flamske,Flemish — ethnolinguistic minority within Belgium.
schweizisk,Schweizisk,national,schweizisk;schweiziske,
østrigsk,Østrigsk,national,østrigsk;østrigske;østerrigsk;østerrigske,
ungarsk,Ungarsk,national,ungarsk;ungarske,
polsk,Polsk,national,polsk;polske,
russisk,Russisk,national,russisk;russiske,
finsk,Finsk,national,finsk;finske,
finlandssvensk,Finlandssvensk,minority,finlandssvensk;finlandssvenske,Swedish-speaking minority of Finland — a distinct identity from both svensk and finsk.
norsk,Norsk,national,norsk;norske,
islandsk,Islandsk,national,islandsk;islandske,
græsk,Græsk,national,græsk;græske,Modern Greek; see attisk/atheniensisk for the Classical-era forms the corpus uses for antiquity entries.
nygræsk,Nygræsk,national,nygræsk;nygræske,Explicit "Modern Greek" contrast form (rare in the corpus).
tyrkisk,Tyrkisk,national,tyrkisk;tyrkiske,Ottoman-era usage; the corpus predates the Turkish Republic (1923).
serbisk,Serbisk,national,serbisk;serbiske,
rumænsk,Rumænsk,national,rumænsk;rumænske,Not attested in the corpus sample checked; included for completeness (see valakisk for the historical-region form that IS attested).
bulgarsk,Bulgarsk,national,bulgarsk;bulgarske,Not attested in the corpus sample checked; included for completeness.
kroatisk,Kroatisk,national,kroatisk;kroatiske,Not attested in the corpus sample checked; included for completeness.
argentinsk,Argentinsk,national,argentinsk;argentinske,
amerikansk,Amerikansk,national,amerikansk;amerikanske,USA usage throughout the corpus period.
kinesisk,Kinesisk,national,kinesisk;kinesiske,
japansk,Japansk,national,japansk;japanske,
indisk,Indisk,national,indisk;indiske,
ægyptisk,Ægyptisk,national,ægyptisk;ægyptiske,Both modern-Egypt and Ancient-Egypt usage occur; not split into a separate historical form since the corpus doesn't distinguish orthographically.
persisk,Persisk,national,persisk;persiske,
armenisk,Armenisk,national,armenisk;armeniske,
algiersk,Algiersk,national,algiersk;algierske,
maltesisk,Maltesisk,national,maltesisk;maltesiske,
frisisk,Frisisk,ethnolinguistic,frisisk;frisiske,North Sea Germanic ethnic/linguistic group spanning the Danish-German-Dutch coast.
preussisk,Preussisk,german_state,preussisk;preussiske;prøjsisk;prøjsiske;preusisk;preusiske,"Pre-1871 German state; the by-far most frequent german_state form in the corpus (74 hits). ""Preusisk"" (single s) is a spelling variant attested once in the corpus."
sachsisk,Sachsisk,german_state,sachsisk;sachsiske;saksisk;saksiske,Saxony. Corpus consistently spells it "sachsisk" (German-influenced spelling), not the modern Danish "saksisk".
bayersk,Bayersk,german_state,bayersk;bayerske;bayrisk;bayriske,Bavaria — both spellings attested.
hannoveransk,Hannoveransk,german_state,hannoveransk;hannoveranske,Hanover.
oldenburgsk,Oldenburgsk,german_state,oldenburgsk;oldenburgske;oldenborgsk;oldenborgske,Oldenburg — both spellings attested; relevant to the Danish royal house's Oldenburg origin.
