index,rule,severity,id,label,detail,nearest
work,XR2-near_miss,near_miss,Reg003194,"Tegnér og Oehlenschlæger,  se: De tre nordiske Rigers Skaal for Adam Oehlenschlæger.",De tre nordiske Rigers Skaal for Adam Oehlenschlæger.,De tre nordiske Rigers Skaal for Adam Oehlenschläger
work,XR2-near_miss,near_miss,Reg003463,"Visen om »Gulleroden«,  se: »Spørg Amagermoer«",»Spørg Amagermoer«,»Spørg Amagermo'er«
work,XR2-ocr_variant,ocr_variant,Reg001591,Hiawatha (H. W. Longfellow) se: The Song of Hiawatha,The Song of Hiawatha,The Song of Hiawatba (H. W. Longfellow)
work,XR2-malformed,malformed,Reg001001,"Dronningen paa 16 Aar (Bayard),  se: Sp. 60.",Sp. 60.,
work,XR2-blind,blind,Reg001233,"Eventyr (Oscar von Knorring),  se: Englen Guldgod",Englen Guldgod,Abels Død (Fr. Paludan-Müller)
work,XR2-blind,blind,Reg001024,"Ein Freund Mozarts,  se: Ein Freund und Mitarbeiter W. A. Mozart's",Ein Freund und Mitarbeiter W. A. Mozart's,Lindane oder Die Fee und der Haarbeutelschneider (A. Bäuerle)
work,XR2-blind,blind,Reg002619,"Optegnelser af danske, især kjøbenhavnske Tilstande (E. C. Werlauff),  Se: Danske, især Kjøbenhavnske Tilstande","Danske, især Kjøbenhavnske Tilstande",Reise fra Kjøbenhavn til Rhinen
work,XR2-blind,blind,Reg002972,"Schweitz (Fredrika Bremer),  se: Lifvet i gamla verlden I",Lifvet i gamla verlden I,"*»Lille Sally, gamle Ven -« (Til den lille Sally Melchior 17.9.1868)"
work,XR2-near_miss,near_miss,Reg001164,"Engle som bærer en Helgeninde gjennem Luften,  se: Den hellige Katharinas Lig føres af Engle til Sinai (H. K. A. Mücke)",Den hellige Katharinas Lig føres af Engle til Sinai (H. K. A. Mücke),Den hellige Katharinas Lig føres al Engle til Sinai (H. K. A. Mücke)
work,XR2-near_miss,near_miss,Reg002857,"Rubens' Skriftefader (Rubens),  se: Portræt af en Franciskaner",Portræt af en Franciskaner,"Portræt af en Franciscaner (Rubens, Doria-P., Rom)"
person,XR2-near_miss,near_miss,Reg0031520,"Altenburg, se: Sachsen-Altenbuig.",Sachsen-Altenbuig.,"Sachsen-Altenburg, Moritz, Prins af – (1829–1907)"
person,XR2-overrun,overrun,Reg0037380,"Bernhard, Carl, se: A.N.de Saint-Aubain. Bernini, Lorenzo (1598–1680)","A.N.de Saint-Aubain. Bernini, Lorenzo (1598–1680)",
person,XR2-blind,blind,Reg0044930,"Bärens, se: Behrendt, Sigismund.","Behrendt, Sigismund.","Gæhler, Sigismund (1843–1875)"
person,XR2-ocr_variant,ocr_variant,Reg0048140,"Glémentine, Prinsesse, se: Sachsen-Goburg-Gotha.",Sachsen-Goburg-Gotha.,"Sachsen-Coburg-Gotha, Albert, Prins af – (1819–1861)"
person,XR2-near_miss,near_miss,Reg0049390,"Coutts, se: Burdet-Coutts, Angela.","Burdet-Coutts, Angela.","Burdett-Goutts, Angela (1814–1907)"
person,XR2-blind,blind,Reg0050120,"Dal Borgo, se: Borgo.",Borgo.,"Boberg, Christen (1822–1900)"
person,XR2-ocr_variant,ocr_variant,Reg0062660,"Gottlieb, se: Gollin, Gottlieb.","Gollin, Gottlieb.","Collin, Familien"
person,XR2-blind,blind,Reg0063900,"Guido, se: Reni, Guido.","Reni, Guido.","Rem, Guido (1575–1642)"
person,XR2-blind,blind,Reg0073350,"Howit, Amsterdam 1868, se: Hohwü.",Hohwü.,"Hohwii, Frk."
person,XR2-overrun,overrun,Reg0074550,"Inge den Yngre, Konge, se: Sverrig. Ingeborg, se: Drewsen, Ingeborg.","Sverrig. Ingeborg, se: Drewsen, Ingeborg.",
person,XR2-ocr_variant,ocr_variant,Reg0075230,"Jacobæus, se: lacobæus.",lacobæus.,"Iacobæus, Anton Holger (1810–1882)"
person,XR2-ocr_variant,ocr_variant,Reg0076330,"Jonas, se: Gollin, Jonas d. Y.","Gollin, Jonas d. Y.","Collin, Jonas d.Y. (1840–1905)"
person,XR2-blind,blind,Reg0080350,"Krantz, Grosse Reichenstrasse, Hamburg 1856, se: Granz, A. H.","Granz, A. H.","Graah, Wilhelm August (1793–1863)"
person,XR2-ocr_variant,ocr_variant,Reg0088750,"Mansfeld, Coleredo, se: Colloredo-Mansfeld, H.","Colloredo-Mansfeld, H.","Golloredo-Mansfeld, Hieronymus, Greve (1775–1822)"
person,XR2-near_miss,near_miss,Reg0100930,"Philippo, se: loannu, Filippos.","loannu, Filippos.","Ioannou, Filippos (1796–1880)"
person,XR2-blind,blind,Reg0120690,"Talis Qualis, se: Strandberg. C.V.A.",Strandberg. C.V.A.,"Strandberg, Aurora Vilhelmina, f. Österberg (1826–1850)"
person,XR2-blind,blind,Reg0121540,"Therese, se: Bacharacht, Therese von.","Bacharacht, Therese von.","Schirach, Wilhelm von (1779–1866)"
person,XR2-ocr_variant,ocr_variant,Reg0130850,"Yoldis Datter, se: Goopmans, Josepha.","Goopmans, Josepha.","Coopmans, Edzard Wilhelm (1782–1853)"
place,XR2-near_miss,near_miss,Reg0024450,"Cartuja de Miraflores, se: Nuestra Seiñora de Miraflores.",Nuestra Seiñora de Miraflores.,Nuestra Señora de Miraflores
place,XR2-near_miss,near_miss,Reg0024510,"Felsenstein, se: Regenstein.",Regenstein.,Regeostein
place,XR2-ocr_variant,ocr_variant,Reg0024570,"Kloster Mölk, se: Melk.",Melk.,"Meik, Stift"
place,XR2-near_miss,near_miss,Reg0024580,"Kosteletz ved Elben, se: Elbekosteletz.",Elbekosteletz.,Elbekostele1z
place,XR2-ocr_variant,ocr_variant,Reg0024700,"Mölk, se: Melk.",Melk.,"Meik, Stift"
place,XR2-blind,blind,Reg0024820,"Runko, se: Ronco.",Ronco.,Monaco
place,XR2-blind,blind,Reg0025030,"Warschau, se: Warszzava.",Warszzava.,Warszawa
non_fiction,XR2-blind,blind,Reg001024,Ein Freund Mozarts,Ein Freund und Mitarbeiter W. A. Mozart's,Lindane oder Die Fee und der Haarbeutelschneider (A. Bäuerle)
non_fiction,XR2-blind,blind,Reg002619,"Optegnelser af danske, især kjøbenhavnske Tilstande (E. C. Werlauff)","Danske, især Kjøbenhavnske Tilstande",Reise fra Kjøbenhavn til Rhinen
non_fiction,XR2-blind,blind,Reg002972,Schweitz (Fredrika Bremer),Lifvet i gamla verlden I,"*»Lille Sally, gamle Ven -« (Til den lille Sally Melchior 17.9.1868)"
non_fiction,XR5-see-also-blind,blind,Reg003240,"Thorvaldsen, sa vie et son oeuvre","Thorvaldsen, his life and works, transl. by Mrs. C. Hoey",Ved Thorvaldsens Kiste (»Træd hen til Kisten her!«)
novels_plays_tales,XR2-blind,blind,Reg001233,Eventyr (Oscar von Knorring),Englen Guldgod,Abels Død (Fr. Paludan-Müller)
novels_plays_tales,XR5-see-also-blind,blind,Reg001994,La Marraine,Den unge Gudmoder,Den blege Ridder (A. Oehlenschlæger)
novels_plays_tales,XR5-see-also-blind,blind,Reg002368,Mejonkvrouw de La Seiglière,Slottet i Poitou,Den Stumme i Portici (D. F. E. Auber)
novels_plays_tales,XR5-see-also-blind,blind,Reg003383,Une Verre d'eau,Et Glas Vand,Et Svar (J. Krohn)
personregister_xi,XR1-no-target,malformed,PerXI01219,"August, Le Locle 14.9.1833. I 175.","August, Le Locle 14.9.1833. I 175. ",
personregister_xi,RV-stub-carries-content,malformed,PerXI01219,"August, Le Locle 14.9.1833. I 175.",11_references_parsed=I:175,
personregister_xi,XR2-linewrap,linewrap,PerXI01588,Berner-Oppen-Schilden,"Berner-Schil- den, G.Â","Berner-Schilden, Gustav Alexander"
personregister_xi,XR2-blind,blind,PerXI01595,"Bernhard, Carl",A.N.de Saint-Aubain,"Saint-Aubain, A. N. de"
personregister_xi,XR2-near_miss,near_miss,PerXI02052,Bretteville,Le Normand de Brette- ville,"Le Normand de Bretteville, Carl"
personregister_xi,XR2-blind,blind,PerXI02286,Bårens,"Behrendt, Sigismund","Gæhler, Sigismund"
personregister_xi,XR2-blind,blind,PerXI02309,Bøytner,Beutner. C,"Beutner, Fanny"
personregister_xi,RV-no-content,blind,PerXI02310,"Cabrun, Baron, Berlin","Cabrun, Baron, Berlin",
personregister_xi,XR2-near_miss,near_miss,PerXI02680,Coutts,"Burdet-Coutts, Angela","Burdett-Coutts, Angela"
personregister_xi,XR2-blind,blind,PerXI02750,Dal Borgo,Borgo,"Boberg, Christen"
personregister_xi,XR2-ocr_variant,ocr_variant,PerXI02990,Dolores,"Serrai, Dolores","Serral, Dolorés"
personregister_xi,XR2-near_miss,near_miss,PerXI03323,Falkenstein,Vogel von Falcken- stein,"Vogel von Falckenstein, Ernst Friedrich Eduard"
personregister_xi,XR2-self,self,PerXI03512,Franzl,Frånzl,
personregister_xi,XR2-linewrap,linewrap,PerXI03516,Frederici,Fridericia og Frie- derici,"Reiser, Carl Friederich"
personregister_xi,XR2-near_miss,near_miss,PerXI03867,"Gotha, Hertugen af -",Sachsen-Co- burg-Gotha,"Sachsen-Coburg-Gotha, Albert, Prins af —"
personregister_xi,RV-no-content,blind,PerXI04193,"Hansen, Edmund, Øjenlæge","Hansen, Edmund, Øjenlæge",
personregister_xi,RV-no-content,blind,PerXI05173,"Jørgensen, (Bordeaux 1863)","Jørgensen, (Bordeaux 1863)",
personregister_xi,RV-no-content,blind,PerXI05213,Kameliadamen,"Kameliadamen,",
personregister_xi,XR2-blind,blind,PerXI05456,"Krantz, Grosse Reichenstrasse, Hamburg 1856","Cranz, A. H","Cranach, Barbara, f. Brengbier"
personregister_xi,XR2-near_miss,near_miss,PerXI06204,"Mansfeld, Coleredo","Colloredo-Mans- feld, H","Colloredo-Mansfeld, Hieronymus, Greve"
personregister_xi,XR2-near_miss,near_miss,PerXI06227,Le Maréchal ferrant d'Anvers,"Mas- sys, Quentin","Massys, Quentin"
personregister_xi,XR2-near_miss,near_miss,PerXI06944,"Norman, Wilhelmine, f. Neruda","Ne- ruda, Wilhelmine","Neruda, Wilhelmine (Wilma)"
personregister_xi,XR2-near_miss,near_miss,PerXI07231,"Petersen, Skuespiller 1867",Dorph-Pe- tersen,"Dorph-Petersen, J. F."
personregister_xi,XR2-near_miss,near_miss,PerXI07295,Philippo,"Ioannu, Filippos","Ioannou, Filippos"
personregister_xi,XR2-linewrap,linewrap,PerXI08010,"Rønne, Plejedatter af M.C.R.","Dra- strup, Fanny","Drewsen, Fanny"
personregister_xi,XR2-near_miss,near_miss,PerXI08598,Sigmaringen,Hohenzollern-Sigmarin- gen,"Hohenzollern-Sigmaringen, Karl Anton, Fyrste af —"
personregister_xi,XR2-blind,blind,PerXI09085,Talis Qualis,Strandberg. C.V.A,"Strandberg, Aurora Vilhelmina, f. Österberg"
personregister_xi,XR2-blind,blind,PerXI09161,Therese,"Bacharacht, Therese von","Schirach, Wilhelm von"
personregister_xi,XR2-near_miss,near_miss,PerXI09360,Turn,Thurn,"Thun, Antoinette Augusta Vilhelmine von"
personregister_xi,RV-no-content,blind,PerXI09795,"Wilhelm (Willie), Prins","Wilhelm (Willie), Prins",
