nationality_key,place_label_da,notes
dansk,Danmark,
tysk,Tyskland,
fransk,Frankrig,
svensk,Sverrig,"Register spells it ""Sverrig"" (pre-1900s Danish) — see docs/data-model/place-toponymy.md."
engelsk,England,
skotsk,Skotland,
irsk,Irland,
italiensk,Italien,
spansk,Spanien,
portugisisk,Portugal,
hollandsk,Holland,
nederlandsk,Holland,Same place entity as hollandsk — the register has no separate "Nederlandene" entry.
belgisk,Belgien,
schweizisk,Schweiz,
østrigsk,Østrig,
ungarsk,Ungarn,
polsk,Polen,
russisk,Rusland,
finsk,Finland,
finlandssvensk,Finland,Shares Finland's place entity — see docs for why this minority key isn't split out.
norsk,Norge,
islandsk,Island,
græsk,Grækenland,
nygræsk,Grækenland,
tyrkisk,Tyrkiet,
serbisk,Serbien,
rumænsk,Rumænien,
bulgarsk,Bulgarien,
amerikansk,Amerika (De Forenede Stater),
kinesisk,Kina,
japansk,Japan,
indisk,Indien,
ægyptisk,Ægypten,
persisk,Persien,
algiersk,Algier,
maltesisk,Malta,
preussisk,Preussen,
sachsisk,Sachsen (Kongerige),
bayersk,Bayern,
hannoveransk,Hannover,
mecklenburgsk,Mecklenburg,
westfalsk,Westfalen,
slesvigsk,Slesvig (Hertugdømme),
holstensk,Holsten,
holstenlauenborgsk,Holsten,No separate Lauenburg entry in the register; points at the shared Holsten entity.
romersk,Rom,Ancient-Rome sense reuses the city entity — the register has no separate "Romerriget" entry.
østromersk,Konstantinopel,Byzantium isn't in the register under that name; Konstantinopel is its closest place entity.
makedonisk,Makedonien,
kurlandsk,Kurland,
neapolitansk,Napoli,"Register canonicalises under the Italian spelling — ""Neapel"" is a `see:` alias to Napoli."
genovesisk,Genova,
veneziansk,Venezia,"Register canonicalises under the Italian spelling — ""Venedig"" is a `see:` alias to Venezia."
dansk_vestindisk,Vestindien (dansk),
grønlandsk,Grønland,
nordisk,Norden,
skandinavisk,Skandinavien,
jysk,Jylland,
sjællandsk,Sjælland,
fynsk,Fyn,
københavnsk,København,
