umbrella_key,umbrella_label,place_label_da,members,notes
dansk,Dansk,Danmark,dansk;jysk;sjællandsk;fynsk;københavnsk;slesvigsk;nordslesvigsk;sønderjydsk;holstensk;slesvigholstensk;holstenlauenborgsk;dansk_vestindisk;grønlandsk;islandsk,"Kingdom + regional identities + the duchies + the colonial territories. Iceland, Greenland and the Danish West Indies were all under the Danish crown throughout 1825–1875. The Schleswig-Holstein keys are deliberately ALSO members of tysk — the duchies were the contested ground of the 1848–51 and 1864 wars, and forcing them into one nation would take a side the register does not take."
tysk,Tysk,Tyskland,tysk;plattysk;preussisk;sachsisk;bayersk;hannoveransk;oldenburgsk;mecklenburgsk;westfalsk;württembergsk;hessisk;thüringsk;badisk;tysk_romersk;frankisk;kurlandsk;frisisk;holstensk;slesvigholstensk;holstenlauenborgsk;sydslesvigsk;slesvigsk,"Germany was not unified until 1871 — well inside the diary period — so the register names the individual polity far more often than ""tysk"". Kurland is included per its Baltic-German ruling class and German-speaking elite (it is also a member of russisk, having been annexed by Russia in 1795). Østrigsk is deliberately NOT a member: Austria was in the German Confederation until 1866 but is its own nation with its own substantial entry, and swallowing it would over-claim."
britisk,Britisk,England,britisk;engelsk;skotsk;irsk;angelsaksisk,"The register has no ""Storbritannien"" place entry, so this umbrella points at England. Ireland is included because it was part of the United Kingdom for the whole diary period (1801–1922) — a fact of the era, not a claim about Irish identity."
fransk,Fransk,Frankrig,fransk;provencalsk;frankisk,Frankisk is also a member of tysk — the Frankish realm straddled both later nations.
italiensk,Italiensk,Italien,italiensk;romersk;neapolitansk;genovesisk;veneziansk;østgotisk,"Italy unified in 1861, so pre-unification states (Naples, Genoa, Venice) dominate the register. Romersk here is Ancient Rome — geographically Italy; the register's own country label for it is ""Rom""."
græsk,Græsk,Grækenland,græsk;nygræsk;attisk;atheniensisk;makedonisk;østromersk,"Modern and ancient Greece in one place, as the classical entries (Attic/Athenian statesmen, Alexander) are the same cultural sphere the register treats them as. Østromersk (Byzantium) is Greek-speaking and also a member of tyrkisk, its territory becoming Ottoman. Makedonisk here is Ancient Macedon."
spansk,Spansk,Spanien,spansk;katalansk;maurisk,Maurisk (Moorish al-Andalus) is also a member of nordafrikansk.
hollandsk,Hollandsk,Holland,hollandsk;nederlandsk;frisisk,"The register uses ""hollandsk"" and ""nederlandsk"" interchangeably for the same country. Frisisk spans the Dutch, German and Danish North Sea coast and is a member of all three."
belgisk,Belgisk,Belgien,belgisk;flamsk,Flamsk is the Dutch-speaking north of Belgium.
østrigsk,Østrigsk,Østrig,østrigsk;tyrolsk;bøhmisk,"Habsburg sphere. Bøhmisk is also a member of czekisk, tyrolsk also of italiensk (South Tyrol)."
czekisk,Czekisk,,czekisk;bøhmisk,"The modern demonym and the historical Bohemian one. No Czech place entry exists in the register — the country page will be absent, the persons will not."
russisk,Russisk,Rusland,russisk;kurlandsk,Kurland was annexed by Russia in 1795; it is also a member of tysk for its German-speaking nobility.
tyrkisk,Tyrkisk,Tyrkiet,tyrkisk;østromersk;armenisk;valakisk,"Ottoman-era usage — the corpus predates the Turkish Republic. Armenians and Wallachia were both inside the Ottoman sphere in this period; valakisk is also a member of rumænsk."
rumænsk,Rumænsk,Rumænien,rumænsk;valakisk,Wallachia is one of the principalities that became Romania in 1859.
svensk,Svensk,Sverrig,svensk;finlandssvensk,Finlandssvensk is also a member of finsk — that is precisely the identity it names.
finsk,Finsk,Finland,finsk;finlandssvensk,See svensk.
nordafrikansk,Nordafrikansk,,algiersk;ægyptisk;kartageniensisk;maurisk,"A thin regional bundle for four otherwise-singleton keys. Deliberately not called ""African"" — it covers only the Mediterranean littoral the register actually touches."
nordisk,Nordisk,Norden,nordisk;skandinavisk,"Kept to the two genuinely supranational adjectives. The individual Nordic nations are NOT folded in: nobody in the register is described as ""nordisk"" merely by being Danish, and rolling them up would inflate this umbrella with people the source never labelled that way."
