RegistryTitle	29_entityType	30_evidenceLevel	31_evidenceMarkers
- Deres Datter	relationalPlaceholder		
- Hans Datter	relationalPlaceholder		
- Hans Datter, (enten Göthilda (1831–1905)	relationalPlaceholder		
- Hans Hustru	relationalPlaceholder		
- Hans Moder	relationalPlaceholder		
- Hans Smaapiger	relationalPlaceholder		
- Hans Søster	relationalPlaceholder		
- Hans Søster	relationalPlaceholder		
- Hendes Søster	relationalPlaceholder		
- Hendes Søster og dennes Børn	relationalPlaceholder		
- Hendes Søster og dennes Børn	relationalPlaceholder		
- Hendes Søster og Søsterdatter	relationalPlaceholder		
- Hendes Søsterdatter	relationalPlaceholder		
Bentley’s Brodersønner	family		
Bentley’s Søstre	family		
Braun, Familien	family		
Christian & Cocelles	organisation		
Holstein	family		
Holten	family		
Knör & Sohn	organisation		
Koopmann & Comp.	organisation		
Müller, Brødrene	family		
Rottweiler & Bauer	organisation		
Schepelem	group		
Ulrich & Brot	organisation		
Vincent & Vives	organisation		
Aage	crossReference		
Abgedill, Abgidel	crossReference		
Abrantes	crossReference		
Adler	crossReference		
Agnete	crossReference		
Ahlefeldt, Greve, Frankfurt a.M. 1875	crossReference		
Albert, Prinsgemal	crossReference		
Albert Victor, engelsk Prins, Søn af Edward (J/TI)	crossReference		
Albini	crossReference		
Albrecht	crossReference		
Alexandra, Prinsesse	crossReference		
Altenburg	crossReference		
Andersen, Brødrene	crossReference		
Andersen, Stig	crossReference		
Anna	crossReference		
Anna i Aalborg	crossReference		
Anna, Prinsesse	crossReference		
Arnaud, H.	crossReference		
Arthur, Prins	crossReference		
Asseburg	crossReference		
Astrid	crossReference		
Aubert	crossReference		
August, Le Locle 14.9.1833. I 175.	crossReference		
Augusta, Prinsesse	crossReference		
Bache	crossReference		
Bagge, Godsforvalter	crossReference		
Bagger, Thora, f. Fiedler, Enke efter Carl B.	crossReference		
Balåm	animal		
Bang	crossReference		
Barberini, Familien	family		
Barbieri, Giovanni Francesco	crossReference		
