person_id,reg_id,tier,register_name,live_label,shared_pages,note
HCAP00001,Reg0030170,exact_name,"Abbott, John","Abbott, John",1,
HCAP00002,Reg0030190,exact_name,Abd-el-Kader,Abd-el-Kader (1807–1883),1,
HCAP00003,Reg0030000,exact_name,Åberg,Åberg,10,
HCAP00004,Reg0030350,exact_name,"Achard, Anna","Achard, Anna",4,
HCAP00005,Reg0030740,exact_name,Agrippina d.Æ.,Agrippina d.Æ. (død 33),1,
HCAP00006,Reg0031090,exact_name,"Aken, (?)",Aken(?),1,
HCAP00007,Reg0031260,exact_name,"Aldridge, Mrs.","Aldridge, Mrs.",1,
HCAP00008,Reg0031280,exact_name,Alexander den Store,Alexander den Store (356–23 f.Chr.),4,
HCAP00009,Reg0031290,exact_name,Alexander III,Alexander III (død 1181),2,
HCAP00010,Reg0031300,exact_name,Alexander VII,Alexander VII (1599–1667),1,
HCAP00011,Reg0031320,exact_name,"Alexis, Willibald (Pseud, f. Georg Wilh. Heinr. Häring)","Alexis, Willibald (Pseud, f. Georg Wilh. Heinr. Häring) (1798–1871)",5,
HCAP00012,Reg0031450,exact_name,"Almeida, Carlos Augusto de, Visconde, senere (1875) Conde de -","Almeida, Carlos Augusto de, Visconde, senere (1875) Conde de - (1845–?)",5,
HCAP00013,Reg0031480,exact_name,"Almlöf, Nils Vilhelm","Almlöf, Nils Vilhelm (1799–1875)",1,
HCAP00014,Reg0031560,exact_name,"Amberger, Anna Barbara, f. Esslinger","Amberger, Anna Barbara, f. Esslinger",1,
HCAP00015,Reg0032920,exact_name,"Amesen Kali, Benedicte","Amesen Kali, Benedicte (1813–1895)",3,
HCAP00016,Reg0031620,exact_name,Amé’s Far,Amé’s Far (død 1867),3,
HCAP00017,Reg0031700,exact_name,Amundin,Amundin,1,
HCAP00018,Reg0031740,exact_name,"Ancker, (Anker?)",Ancker (Anker?),1,
HCAP00019,Reg0032130,exact_name,"Andkjær, Augusta Jutta (Jytte)","Andkjær, Augusta Jutta (Jytte) (1859–1934)",1,
