name,pages
Amé’s Broder,VII:174 VII:176 VII:89
Apollonio Greco (13. århundrede),I:202
"Bayer, Ohr. Fr. (1841–1933)",X:431
"– Se også Pedersen, Sophie.",
"– Se også Meyer-Benedictsen, Anna Maria.",
"Boudewijn, se Vliet, J. L. van der.",
"– Se også Joelsson, Julie.",
"Coulon (I, 332, Noten), skal være: Colon, Marguerite (se denne).",
- Hans Datter,
"Drewsen, J. G. (1777–1851)",II:406 IX:291
Eyckholt,
"Griff in, Alice McClure",
"Harald (1825), se Holstein, Harald von.",
"Harmsen, Alexander junior",
"– Se også Rørdam, Marie.",
Lennel,
"Levetzau, Frue",
"– Se også Lehmann, Nanna.",
Ludwig IV (1287–1347),
"Maltitz, Fru von, læs.",
"– Se også Nissen-Saloman, Henriette.",
"Notte, Gherardo della (Gerhard Honthorst) (1590–1656), hollandsk Maler, se Honthorst, Gerhard.",
"Odier, Lambert, Bankier-Firma i Genéve, se Lombard, Odier & Cie.",
O’Neill,VII:126 VII:131
"Palmers ton, Henry John Temple, Viscount (1784–1865)",III:218 III:223
Paschwitz,II:413 III:176
"Rolander, se Bolander.",
"Rolle tt, Herman (1819–1904)",III:168 III:51
"Rønnenkamp, se også Rennenkampff.",
"Roepstorff, se ogasa: Repsdorph.",
"Schirmann, Frk.",
"Schmidt, Teaterdirektør, se Schmidt, Ferd.",
"Staahl, Søn af Daniel S., hjempermitteret fra Krigen, Roskilde 21.8.1864, se Werligh-Staahl.",
"Thyberg, Tybjerg.",
"Treibien, vist: Dreibein, se denne.",
"Tum, se Thum.",
"Ulmann, Glaudius (1810–?)",
"Verfasser der Gartons, Pseud. for Karl von Hailbronner (s.d.).",
"Westrup, J. M. H. C. (1851–1922)",
"Witzthun, se Vitzthum von Egersberg.",
