term,bucket,notes
sognepræst,Gejstlig,
præst,Gejstlig,
hofpræst,Gejstlig,
biskop,Gejstlig,
provst,Gejstlig,
stiftsprovst,Gejstlig,
kapellan,Gejstlig,
kateket,Gejstlig,
theolog,Gejstlig,
pave,Gejstlig,
konventualinde,Gejstlig,nonne
klosterprovst,Gejstlig,
domprovst,Gejstlig,
kaptajn,Militær,
sekondløjtnant,Militær,
premierløjtnant,Militær,
generalmajor,Militær,
oberst,Militær,
oberstløjtnant,Militær,
løjtnant,Militær,
underløjtnant,Militær,
ritmester,Militær,
general,Militær,
generalløjtnant,Militær,
kommandør,Militær,
kommandørkaptajn,Militær,
kontreadmiral,Militær,
viceadmiral,Militær,
admiral,Militær,
søetaten,Militær,
søofficer,Militær,
officer,Militær,
adjudant,Militær,
feltherre,Militær,
kommandant,Militær,
auditør,Militær,
generalkrigskommissær,Militær,
infanteriet,Militær,
kavalleriet,Militær,
artilleriet,Militær,
dragonregiment,Militær,
livgarden,Militær,
regiment,Militær,
liniebataillon,Militær,
kaptajnløjtnant,Militær,
frivillig,Militær,kontekstafhængigt — accepteret på grund af høj samforekomst med militærgrader i denne beskrivelsesstil
kammerherre,Adel/Kongelig/Hof,
konge,Adel/Kongelig/Hof,
dronning,Adel/Kongelig/Hof,
kejser,Adel/Kongelig/Hof,
hertug,Adel/Kongelig/Hof,
storhertug,Adel/Kongelig/Hof,
prins,Adel/Kongelig/Hof,
prinsesse,Adel/Kongelig/Hof,
greve,Adel/Kongelig/Hof,
grevinde,Adel/Kongelig/Hof,
baron,Adel/Kongelig/Hof,
friherre,Adel/Kongelig/Hof,
lensgreve,Adel/Kongelig/Hof,
hofdame,Adel/Kongelig/Hof,
kammerjunker,Adel/Kongelig/Hof,
hofjægermester,Adel/Kongelig/Hof,
gehejmekonferensraad,Adel/Kongelig/Hof,
hofmarskal,Adel/Kongelig/Hof,
hofchef,Adel/Kongelig/Hof,
stiftsdame,Adel/Kongelig/Hof,
overhofmesterinde,Adel/Kongelig/Hof,
selskabsdame,Adel/Kongelig/Hof,
enkedronning,Adel/Kongelig/Hof,
sultan,Adel/Kongelig/Hof,
etatsraad,Embedsmand/Jura/Politik,
justitsraad,Embedsmand/Jura/Politik,
konferensraad,Embedsmand/Jura/Politik,
kancelliraad,Embedsmand/Jura/Politik,
gehejmeraad,Embedsmand/Jura/Politik,
