entry_id	surname	given_names	description_before	description_after	birth_year_lifted	death_year_lifted	year_note_lifted
PerXI00951	Abad	Leandro	Leandro, Hotelvært i Toledo.	Hotelvært i Toledo.			
PerXI00954	Abel	Jacob	Jacob, Gæstgiver i Hillerød.	Gæstgiver i Hillerød.			
PerXI00956	Abendrot	August	August (død 1867), tysk Kunstmæcen i Hamburg, dr.jur.	tysk Kunstmæcen i Hamburg, dr.jur.			
PerXI00971	Achte	Frk.	Frk., Weimar 23.1.1846.	Weimar 23.1.1846.			
PerXI01005	Ahlefeldt	Nizza	Nizza, November 1869.	November 1869.			
PerXI01006	Ahlefeldt	Frøken	Frøken, Itzehoe 16.2.1843.	Itzehoe 16.2.1843.			
PerXI01007	Ahlefeldt	Greve	Greve, Hamburg 29.5.1843.	Hamburg 29.5.1843.			
PerXI01009	Ahlefeldt	Grevinde	Grevinde, Berlin 1.1.1846.	Berlin 1.1.1846.			
PerXI01066	Aller	Peter van	Peter van (død 1885, 84 Aar gl.), nederlandsk Konsul i Helsingør.	nederlandsk Konsul i Helsingør.			
PerXI01072	Almeida	Franzisca Sophie, Viscondessa, f. Grevinde Bayrstorff	Franzisca Sophie, Viscondessa, f. Grevinde Bayrstorff, Datter af Prins Karl af Bayern, g. 1845 m. P.M.d.A.	Datter af Prins Karl af Bayern, g. 1845 m. P.M.d.A.			
PerXI01082	Amberger	Hermann	Hermann, Søn af Anna Barbara A., Boghandler i Basel.	Søn af Anna Barbara A., Boghandler i Basel.			
PerXI01097	Andersdatter	Anne Marie	Anne Marie (død 1833), HCA.s Moder, g. 1° 1805 m. Skomager Hans A., 2° 1818 m. Skomager Niels Jørgensen Gundersen, Enke 1822, Lem i Doctors Boder, Odense.	HCA.s Moder, g. 1° 1805 m. Skomager Hans A., 2° 1818 m. Skomager Niels Jørgensen Gundersen, Enke 1822, Lem i Doctors Boder, Odense.			
PerXI01099	Andersen	Frue	Frue, Axenstein 26.6.1873.	Axenstein 26.6.1873.			
PerXI01102	Andersen	Anna	Anna, Skuespillerinde ved Casino 1864.	Skuespillerinde ved Casino 1864.			
PerXI01113	Andersen	Emilie (Mille)	Emilie (Mille), Urban August Jurgensens Forlovede.	Urban August Jurgensens Forlovede.			
PerXI01116	Andersen	Hans Christian	Hans Christian, Fotograf, Nykøbing Mors, senere i Brønderslev.	Fotograf, Nykøbing Mors, senere i Brønderslev.			
PerXI01121	Andersen	Marie	Marie, Tjenestepige hos Frøknerne Ballin 1874.	Tjenestepige hos Frøknerne Ballin 1874.			
PerXI01122	Andersen	Marie (fra Svendborg)	Marie (fra Svendborg), Tjenestepige 1874-75 hos Frøknerne Ballin, senere g. Busch.	Tjenestepige 1874-75 hos Frøknerne Ballin, senere g. Busch.			
PerXI01129	Anderson	I. C.	I. C., svensk Student fra Lund, København 2.11.1867.	svensk Student fra Lund, København 2.11.1867.			
PerXI01152	Anholm	Johannes	Johannes (død 1860), Skibsfører og Gæstgiver, HCA.s Vært i Nyhavn Nr. 67.	Skibsfører og Gæstgiver, HCA.s Vært i Nyhavn Nr. 67.			
