entry_id	entry_type	surname	given_names	description	references	see_also
PerXI01071	standardpost	Amé's Broder	Bordeaux 1866. VII 89 174 176. Amé's Far	Bordeaux 1866.	VII:89;VII:173;VII:176;VII:177;VII:342	
PerXI01219	krydshenvisning	August	Le Locle 14.9.1833. I 175. 		I:175	
PerXI01608	standardpost	Berry	Grevinde, »født i Svendborg«, Paris 19.4.1867. VII 269. Bertall (Pseud. for Charles-Albert d'Arnoux)	fransk Illustrator af HCA.s Eventyr og Fotograf (Bayard & Bertall).	VII:80	
PerXI02349	krydshenvisning	Caracalla	Marcus Aurelius Antoninus Bassianus, romersk Kejser 211. I 333. Caralis (Pseud.)			Preetzmann, C
PerXI03226	standardpost	Enholm	Lorentz Peter, Skuespiller ved Det kgl. Teater. I 133 456. Épée, Charles-Michel, Abbé de 1'	Grundlæggeren af den skolemæssige Døvstummeundervisning.	II:341	
PerXI03278	standardpost	Eyckholt	Frue, Moder til Fru Lowener, Gent 8.5.1868. VIII 64. F. Faaborg, Christian	Operasanger ved Det kgl. Teater 1835-50, 1851 Klasselotterikollektør i København, 1855 Kammerassessor.	IV:414	
PerXI03410	standardpost	Firmenich	Broder til Johann Mathias F. IV 178. Firmenich (Richartz), Johann Mathias	tysk Forfatter og Oversætter, Professor 1860.	I:419;I:421;I:422;I:430;I:438;I:439;IV:178	
PerXI04192	krydshenvisning	Hansen	Doris Erhard, f. Pfeil, Operasangerinde ved Det kgl. Teater 1867-85, g. 1871 m. Erhard H. X 249. —			Pfeil, Doris
PerXI04955	standardpost	Insinger	J. H., Direktør for Nederlandske Bank, Amsterdam. VII 47 54. X 133. loannou, Filippos	Professor i Æstetik ved Universitetet i Athen, Oversætter og Digter.	II:171;II:175	
PerXI05111	standardpost	Josva	Nuns Søn, Israels Fører efter Moses' Død. II 54. Juan d'Austria	Søn af Kejser Karl V og Barbara Blomberg fra Regensburg, spansk Flaadefører, 1576 Statholder i Nederlandene.	IV:382	
PerXI05574	krydshenvisning	Køster	Nicolette, Datter af Apoteker S. L. K., Randers, g. 1865 m. Apoteker J. P. Karmark Obel. IV 360. L. L, Frue			Læssøe, Signe
PerXI06234	krydshenvisning	Margoldt	Louise von, Datter af Henriette von M. II 409. Margrethe (Margaretha), Selskabsdame hos Fru Serre			Thomas, Margaretha
PerXI07354	standardpost	Plessen	Baron (paa hvis Gods Corfitz Ulfeldts Lig skulde være fundet). II 271. Plessen (fra 1853: Scheel-Plessen), Cail, Baron, senere Greve	slesvigholstensk Politiker, 1843-45 Amtmand over Nordborg og Sønderborg Amter, 1866 preussisk Overpræsident for Slesvig-Holsten.	II:441	
PerXI07526	krydshenvisning	Qvoten	Salomon von , Teaterentreprenør, Tandmedikus. I 176. R. R.			Voigt, Riborg
PerXI08643	krydshenvisning	Skram	Erik, Søn af Gustav Schram, Rigsdagsstenograf 1872, Protokolsekretær 1894-1918, Forfatter. X 220. Skram (Schram), Gustav			Schram
