entry_id	verdict	surname	given_names_before	xref_given	xref_see_also	person_surname	person_given	person_description
PerXI01198	SPLIT	Arnaud	H., se: Reybaud. Fanny. Arndt, Ernst Moritz	H.	Reybaud, Fanny	Arndt	Ernst Moritz	tysk Digter.
PerXI01224	SPLIT	Aubert	se ogsaa: d'Aubert. Aubert, Ludvig Cæsar Martin		d'Aubert	Aubert	Ludvig Cæsar Martin	norsk Gymnasielærer, 1840-75 Professor i latinsk Filologi ved Christiania Univer
PerXI01935	SPLIT	Boudewijn	se Vliet, J. L. van der. Bouffé, Marie		Vliet, J. L. van der	Bouffé	Marie	fransk Skuespiller.
PerXI02123	SPLIT	Brockner	se: Brøchner, C. M. Brodersen, Charlotte, f. Hornemann		Brøchner, C. M	Brodersen	Charlotte, f. Hornemann	Datter af J. W. Hornemann, g. 1839 m. J.P.B.B. IV 359. — Se ogsaa: Hornemann, Ch
PerXI02321	SPLIT	Bøytner	se: Beutner. C. Cabrun, Baron, Berlin		Beutner. C	Cabrun	Baron, Berlin	
PerXI03615	SPLIT	From-Møller	se: Møller, A. C. A. From. Frommann, Allwina		Møller, A. C. A, From	Frommann	Allwina	Blomstermalerinde, Datter af K.F.E.F.
PerXI04202	SPLIT	Hansen	Doris Erhard, f. Pfeil, Operasangerinde ved Det kgl. Teater 1867-85, g. 1871 m. Erhard H. X 249. — Se ogsaa: Pfeil, Doris. Hansen, Edmund, Øjenlæge	Doris Erhard, f. Pfeil, Operasangerinde ved Det kgl. Teater 1867-85, g. 1871 m. Erhard H. X 249. —	Pfeil, Doris	Hansen	Edmund, Øjenlæge	
PerXI05105	SPLIT	Jonas	se: Collin, Jonas d. Y. Jonas, Emil		Collin, Jonas d. Y	Jonas	Emil	tysk Litterat og Oversætter, 1852-54 Assistent i Revisionskontoret for Ministeri
PerXI05180	SPLIT	Jørgensen	, se: Jurgensen, Louis Urban. Jørgensen (Bordeaux 1863)		Jurgensen, Louis Urban	Jørgensen	(Bordeaux 1863)	
PerXI05219	SPLIT	Kalwei	se: Mackay, D. J. Kameliadamen		Mackay, D J.	Kameliadamen		
PerXI05462	SPLIT	Krantz	Grosse Reichenstrasse, Hamburg 1856, se: Cranz, A. H. Krarup, Nicolai Edinger	Grosse Reichenstrasse, Hamburg 1856	Cranz, A. H	Krarup	Nicolai Edinger	cand. jur., 1842-43 i Udlandet med Understøttelse af Kongen og Det Reiersenske F
PerXI05991	SPLIT	Lund	Chr., Digter, se: Lund, O. C. Lund, Christian	Chr., Digter	Lund, O. C	Lund	Christian	Deputeret i Rentekammeret, Etatsraad.
PerXI06820	SPLIT	Nathan-David	se: David C. N. Nathansen, M.		David C. N	Nathansen	M.	Redaktionssekretær ved Berlingske Tidende.
PerXI07074	SPLIT	Orvar Odd	se: Sturzen-Becker, O. P. Ostade, Adriaen van		Sturzen-Becker, O. P	Ostade	Adriaen van	hollandsk Maler.
PerXI07228	SPLIT	Petersen	se ogsaa: Pedersen. Petersen fra Nyborg		Pedersen	Petersen fra Nyborg		.
PerXI07337	SPLIT	Pius III	se: Pius II. Pius V		Pius II	Pius V		Pave 1566. I 304. Pius VII (1740-1823), Pave 1800. I 289 464. III 98. Pius VIII 
PerXI08270	SPLIT	Scheltema	Carel Steven Adama van, se: Adama van Scheltema, C. S. Schenk, Eduard von	Carel Steven Adama van	Adama van Scheltema, C. S	Schenk	Eduard von	tidligere Indenrigsminister i Bayern, Skuespilforfatter.
PerXI09087	SPLIT	Talis Qualis	se: Strandberg. C.V.A. Talleyrand-Périgord, Charles-Angelique, Baron		Strandberg. C.V.A	Talleyrand-Périgord	Charles-Angelique, Baron	fransk Gesandt i Weimar 1852-54, senere i St. Petersborg.
PerXI09162	SPLIT	Therese	se: Bacharacht, Therese von. Theresia (Santa Teresa de Jesus)		Bacharacht, Therese von	Theresia	(Santa Teresa de Jesus)	spansk Helgeninde.
PerXI09311	SPLIT	Trampe	Greve, Fredericia 1849, se: Tronier, C. F. Trane, Carl Christian	Greve, Fredericia 1849	Tronier, C. F	Trane	Carl Christian	Sekondløjtnant, faldet ved Kolding 23.4. 1849.
PerXI09795	SPLIT	Wilhelm I	Kurfyrste, se: Hessen-Kassel. Wilhelm (Willie), Prins	Kurfyrste	Hessen-Kassel	Wilhelm (Willie)	Prins	
PerXI03209	MANUAL	Elton	se: Salter, Miss.					kunne ikke findes en navnegrænse efter målet
PerXI05985	MANUAL	Ludvig	se: Meisling, Peter Ludvig					kunne ikke findes en navnegrænse efter målet
PerXI09131	MANUAL	Temerin	se: Szécses von Temerin. ten Kate					kunne ikke findes en navnegrænse efter målet
PerXI09323	MANUAL	Treibien	vist: Dreibein, se denne. Trémolières, Pierre					selvhenvisning (»se denne«) — intet mål at splitte på
