id_a	surname_a	given_a	id_b	surname_b	given_b	shared_refs	ocr_family	note
PerXI00109	Buil	Ole	PerXI02226	Bull	Ole	II:253;II:377;III:139;III:140;III:146;IV:14;IV:15;IV:4;IV:470;VII:10;VII:11;VII:12;VII:13;VII:14;VII:17;VII:18;VII:7;VII:8	C→G/li family: Buil/Bull	Ole Bull, norsk violinvirtuos
PerXI00118	Burdett-Goutts	Angela	PerXI02245	Burdett-Coutts	Angela	III:265;IV:242;IV:243;IV:246;IV:247;IV:251;X:315	C↔G: Goutts/Coutts	Angela Burdett-Coutts, engelsk filantrop
PerXI00117	Buli	Søren Christian Ørsted	PerXI02228	Bull	Søren Christian Ørsted	IX:121;IX:122;IX:124;IX:125;IX:128;IX:134	li→ll: Buli/Bull	Søren Chr. Ø. Bull -- del af Bull-familien
PerXI00145	Clausen-Schiitz	Christian Ludwig	PerXI02565	Clausen-Schütz	Christian Ludwig	III:147;III:149;III:150;III:240;III:242;III:245	ü→ii: Schiitz/Schütz	Christian Ludwig Clausen-Schütz
PerXI00200	Droscher		PerXI03071	Dröscher	Menig, 9. Infanteri-Regiment, 8. Kompagni, Nr. 405	VI:74;VI:75;VI:76;VI:77;VI:78;VI:79	manglende ü: Droscher/Dröscher	segmenteringsfejl ovenpå: se rapport
PerXI00368	Holsten-Lehn-Gharisius	Frederik (Fritz), Baron	PerXI04752	Holsten-Lehn-Charisius	Frederik (Fritz), Baron	III:406;IV:18;IX:12;IX:23;IX:24;VII:396	C↔G: Gharisius/Charisius	Frederik Holsten-Lehn-Charisius
PerXI00015	Amesen Kali	Benedicte	PerXI01188	Arnesen Kali	Benedicte	VIII:447;VIII:449;X:390;X:433;X:434	rn→m + ll→li: Amesen/Arnesen Kali/Kall	Benedicte Arnesen Kall
PerXI00360	Hohwii	Andreas	PerXI04645	Hohwü	Andreas	VII:34;VII:35;VII:44;VIII:61	ü→ii: Hohwii/Hohwü	Andreas Hohwü
PerXI00425	Kali	Peter Julius	PerXI05207	Kall	Peter Julius	IV:344;IV:353;IV:355;IV:356	ll→li: Kali/Kall	Peter Julius Kall
PerXI00625	Piessy	Jeanne	PerXI07358	Plessy	Jeanne	II:348;II:349;II:362	tabt l: Piessy/Plessy	Jeanne Plessy, fransk skuespillerinde
PerXI00081	Braminer		PerXI01971	Brammer		IV:26;IV:27	rn-lign.: Braminer/Brammer	identisk beskrivelse
PerXI00115	Buli	Johanne (Hanne)	PerXI02225	Bull	Johanne (Hanne)	IX:125;IX:134	ll→li: Buli/Bull	del af Bull-familien
PerXI00116	Buli	Sofie	PerXI02227	Bull	Sofie	IX:125;IX:134	ll→li: Buli/Bull	del af Bull-familien
PerXI00232	Femanda		PerXI03375	Fernanda		VIII:69;VIII:70	rn→m: Femanda/Fernanda	identisk beskrivelse
PerXI00268	Gederfeld de Simonsen	Carl	PerXI02465	Cederfeld de Simonsen	Carl	II:258;II:259	C↔G: Gederfeld/Cederfeld	Carl Cederfeld de Simonsen
PerXI00268	Gederfeld de Simonsen	Carl	PerXI02466	Cederfeld de Simonsen	Charlotte, f. Koefoed	II:258;II:259	C↔G: Gederfeld/Cederfeld	muligvis to forskellige familiemedlemmer -- tjek
PerXI00282	Golloredo-Mansfeld	Hieronymus, Greve	PerXI02629	Colloredo-Mansfeld	Hieronymus, Greve	I:496;I:497	C↔G: Golloredo/Colloredo	Hieronymus Colloredo-Mansfeld
PerXI00285	Govi	Doris, f. Risler	PerXI03879	Govl	Doris, f. Risler	V:388;VI:256	l/i: Govi/Govl	Doris Govi/Govl, f. Risler
PerXI00286	Govi	Povline	PerXI03880	Govl	Povline	V:388;VI:256	l/i: Govi/Govl	Povline Govi/Govl
PerXI00494	Lützau	Augusta	PerXI06059	Liitzau	Augusta	IX:76;IX:77	ü→ii: Lützau/Liitzau	Augusta -- del af Lützau-familien
