kind	reference_name	reference_desc	reference_refs
candidate_missing	Aagaard	»ude fra Kalundborg-Kanten(?)« (19.5.1872)	IX:280
candidate_missing	Abbott, John	Engelsk Ingeniør i Indien.	VI:263
candidate_missing	Abd-el-Kader (1807–1883)	Emir af Maskara, algiersk Frihedskæmper.	VII:178
candidate_missing	Achard, Anna	Pensionatsværtinde i Genève 1860.	IV:422–423;IV:425;IV:429;IV:433;IV:434
candidate_missing	Agrippina d.Æ. (død 33)	g.m. Germanicus, Moder til Caligula.	II:139
candidate_missing	Aken(?)	Athen 6.4.1841.	II:175
candidate_missing	Aldridge, Mrs.	g.m. Ira A.	VII:275
candidate_missing	Alexander den Store (356–23 f.Chr.)	makedonisk Konge.	I:335;I:339;II:54;II:132
candidate_missing	Alexander III (død 1181)	Pave 1159.	I:380;I:400
candidate_missing	Alexander VII (1599–1667)	Pave 1655.	I:380
candidate_missing	Alexis, Willibald (Pseud, f. Georg Wilh. Heinr. Häring) (1798–1871)	Tysk Forfatter.	I:111;I:188;I:505;II:353;III:30
candidate_missing	Almeida, Carlos Augusto de, Visconde, senere (1875) Conde de - (1845–?)	Søn af P. M. de A., Attaché ved det portugisiske Gesandtskab i Paris 1866.	VII:78;VII:115;VII:149;VII:153–154;VII:156;VII:160
candidate_missing	Almlöf, Nils Vilhelm (1799–1875)	Skuespiller ved Det kgl. Teater i Stockholm.	III:314
candidate_missing	Amberger, Anna Barbara, f. Esslinger	Enke efter Boghandler i Solingen Fr. Gerh. A.	IV:435–436;V:24
candidate_missing	Amé’s Far (død 1867)	Bordeaux 1866.	VII:89;VII:173;VII:176–177;VII:342
candidate_missing	Amundin	fra Vejle (tidligere Sømand) 26.4.1868.	VIII:56
candidate_missing	Ancker (Anker?)	Sorø 20.5.1850.	III:386
candidate_missing	Andkjær, Augusta Jutta (Jytte) (1859–1934)	Skuespillerinde ved Det kgl. Teater 1870–1872, g.m. Kunstforlægger, Litograf Alfred Jacobsen.	VIII:415
candidate_missing	Andrié, Jean-François-Daniel (1792–1866)	Sognepræst i le Locle 1830–1843, i Berlin (l’Eglise du Refuge) fra 1843.	IV:407
candidate_missing	Anhalt-Bernburg, Frederikke, Hertuginde af –, f. Prinsesse af Slesvig-Holsten-Sønderborg-Glücksborg (1811–1902)	Søster til Kong Christian IX af Danmark, g. 1834 m. Hertug Alexander af A.-B.	IV:472
candidate_missing	Anholm, Frieda (Friede) (1848–1930)	Datter af Johannes A., senere Institutbestyrerinde.	VI:92–93;VI:94
candidate_missing	Apfelstedt, Paul	Tysk Autografsamler, Frankfurt a.M. 1875.	X:451
candidate_missing	Armand, Madame	Fransk Skuespillerinde, Medlem af Delcours Selskab fra Berlin.	II:407
candidate_missing	Arndt, Ernst Moritz (1769–1860)	Tysk Digter.	II:313;II:372–373
candidate_missing	Amesen Kali, Benedicte (1813–1895)	Forfatterinde og Oversætter.	VIII:447;VIII:449;X:390;X:433–434
candidate_missing	Arnkiel, Hans Michael (1785–1858)	Forpagter af Postekspeditionen i Gaabense, 1852 Postekspeditør.	III:428
candidate_missing	Aron	Moses’ Broder, Ypperstepræst.	II:167
candidate_missing	Asschenfeldt, G. G. J. (1792–1856)	Hovedpræst ved St. Nicolai Kirke i Flensborg, 1850–1854 Superintendent i den tysktalende Del af Slesvig, 1854 Overkonsistorialraad, tysk Salmedigter.	II:422
candidate_missing	Assen, Gornelis Jacobus van (1788–1859)	Professor i Romerret i Leiden.	III:195;III:197
candidate_missing	Assor, S.	Privatlehrer, dr. phil., Altona.	VIII:88–89;VIII:91;VIII:107;VIII:114
candidate_missing	Aubert, Ludvig Cæsar Martin (1807–1887)	Norsk Gymnasielærer, 1840–1875 Professor i latinsk Filologi ved Christiania Universitet.	I:455
candidate_missing	d’Auchamp, F. L. F. (1810–1872)	Overretsprokurator i København, Kancelliraad.	VIII:146
candidate_missing	Auerbach, Eugen	Søn af Berthold A.	IV:52
candidate_missing	Auerbach, Ottilie	Datter af Berthold A.	IV:52
candidate_missing	August	Le Locle 14.9.1833.	I:175
candidate_missing	Augustenborg, Prinsesserne af Slesvig-Holsten-Sønderborg	Døtre af Prins Emil af A. (Charlotte (1803–1880), Pauline (1804–1887), Amalie (1813–1870), Sophie (1815–1861)).	II:407;III:64–65
candidate_missing	Augustenborg, Frederik, Prins af Slesvig-Holsten-Sønderborg- (1829–1880)	Søn af Christian August af A., Hertug 1863 (Friedrich der Achte).	II:276–277;II:440;II:448;III:6;III:10;V:449;VI:25
candidate_missing	Avisard, Sougey	»en Ven af Bindesbøll«, Berlin 28.12.1845.	III:35
candidate_missing	Baade, Knud (1808–1879)	Norsk Maler, München 1852.	IV:105
candidate_missing	Bache, Andrea Kirstine Martine, f. Kjerulf (død 1905, 74 år gl.)	g.m. C.G.B., efter hvis Død hun overtog Forpagtningen af Søbygaard.	VI:238
candidate_missing	Bahrt, Daniel Nicolaus	Overinspektør på de hertugelige Godser, Hofraad, Augustenborg.	II:277
candidate_missing	Bahrt, Michael Christian	Broder til D.N.B., cand. theol., Huslærer for Prinsesserne på Augustenborg.	II:277
candidate_missing	Baker, Lady Florence, f. von Saas	g. 1860 m. Samuel B.	VII:270–271
candidate_missing	Bang, de, Frøken	(enten Henriette Marie (1809–1855) eller Augusta Christine (1805–1887)), Kusine til Fritz von Eggers.	II:260
candidate_missing	Bang, Caroline Amalie, f. Ibsen (1815–1893)	g. 1842 m. F. S.B.	III:207
candidate_missing	- Hendes Søster og Søsterdatter	Sorø 22.12.1861.	V:137
candidate_missing	Bang, Oluf (Ole) (1788–1877)	Professor i Medicin ved Københavns Universitet, Forfatter, Konferensraad 1848, Gehejmekonferensraad 1874.	IV:28;IV:34;IV:35;V:138;V:388;VI:10–11;VII:361;VII:395;VIII:186;IX:234;IX:454;IX:463–464;X:32
candidate_missing	Bardenfleth, Johan Frederik (Fritz) (1835–1890)	Søn af C.E.B., cand. jur. 1860, Kammerjunker, senere Stiftamtmand i Nykøbing F. og Kammerherre.	V:20;VI:261;VI:279
candidate_missing	Bardua, Wilhehnine (Mine) (1798–1865)	Søster til Caroline B.	III:40
candidate_missing	Bartholin, Johanne (Hanne) (1819–1900)	Datter af Elise Margrethe B., Hofdame hos Landgrevinde Charlotte af Hessen 1855–1861.	V:72;V:390;VII:252;VII:279;VII:380;VIII:203;VIII:260;VIII:354;IX:26;IX:183;X:258–259
candidate_missing	Bastrup, Marie	Kolding 1870.	VIII:348–349
candidate_missing	Bayer, Ohr. Fr. (1841–1933)	Assistent i »Bikuben« 1867, Fuldmægtig 1881–1919.	VIII:399–400;X:431
candidate_missing	Belani, H. E. R. (Pseud, for Carl Ludwig Häberlin) (1784–1858)	Tysk Forfatter.	III:352
candidate_missing	Bell & Daldy	Forlagsboghandel i London.	VIII:154;VIII:181–182;VIII:234;VIII:362;VIII:368;VIII:446
candidate_missing	Bentley, Mrs. Richard (død 1871)		III:222;III:243–244;IV:252
candidate_missing	Bentley, Alfred	Søn af Richard B.	III:222;IV:252;IV:262
candidate_missing	Bentley, Annie	ældste Datter af Richard B.	III:222;III:244;III:263;IV:252;IV:262–264;V:293;IX:146;IX:147;IX:150
candidate_missing	Bentley, Frederick	Søn af Richard B.	III:222;IV:252;IV:262
candidate_missing	Bentley, Horatio	Søn af Richard B.	III:222;IV:252;IV:262
candidate_missing	Bentley’s Brodersønner		III:222;III:244;III:264;IV:262
candidate_missing	Bentley’s Søstre		III:244
candidate_missing	Bentzen, Anne Rosine (død 1870, 70 år gl.)	Datter af Karen B.	II:286–287;II:295;III:414;IV:35
candidate_missing	Bentzen, Karen, f. Knudsen (død 1845, 84¼ år gl.)	Enke efter Borgmester i Skien, Justitsraad Bent Mogens B.	II:286–287;II:295
candidate_missing	Bentzen, Sophie (død 1875, 80 år gl.)	Datter af Karen B.	II:286–287;II:295;III:414;IV:35
candidate_missing	Berry, Grevinde	»født i Svendborg«, Paris 19.4.1867.	VII:269
