kind	our_entry_id	our_name	reference_name	reference_desc	shared_page_refs
name_differs	PerXI00090	Ahlefeldt-Laurvigen, Antoinette Nancy, Grevinde, f. Komtesse Krag-Juel-Vind- Frijs	Ahlefeldt-Laurvigen, Antoinette Nancy, Grevinde, f. Komtesse Krag-Juel-Vind-Frijs (1797–1883)	g. 1818 m. Ceremonimester, Grev G.F.C.A.-L.	III:424;V:165;VI:92;VI:93;VI:318
name_differs	PerXI00102	Ahrenberg, C. W.	Ahrens (Arenz)	Portugiser, Setübal.	VII:123;VII:126;VII:132;VII:134;VII:136
name_differs	PerXI00143	Almqvist, C. J. L.	Almqvist, G. J. L. (1793–1866)	Svensk Digter.	III:321;III:341
name_differs	PerXI00276	Arnemann, Mathilde, f. Hammann	Arnesen	(Arntzen?).	VI:50;VI:221
name_differs	PerXI00290	Asbjørnsen, P. C.	Asbjømsen, P. C. (1812–1885)	Norsk Eventyrsamler og Forfatter.	VI:323;IX:177;X:10;X:167
name_differs	PerXI00307	Auerbach	Auerbach, Nina, f. Landesmann	g. 1849 m. Berthold A.	IV:52;IV:135;IV:283
name_differs	PerXI00335	Avigdos	Avigdos, Madame	g.m. Bankier A., Nizza.	VIII:307;VIII:315
name_differs	PerXI00473	Bartholin, Elise Margrethe, f. Cold	Bartholin, Elise Margrethe, f. Gold (1794–1866)	Enke efter Regimentskvartermester Frederik Wilhelm B.	V:72;VI:119
name_differs	PerXI00549	Bech, Suzanne Charlotte Amalie (Mally)	Bech, Suzanne Charlotte Amalie (Mally) (1827–1899)	Datter af Marie Amalie B.	III:398;V:434;VII:308;VIII:441
name_differs	PerXI00614	Bendix, Sophie	Bendixen, Bernhard (Benny) (1810–1877)	Dansk Maler og Daguerreotypist, bosat fra 1840 i Hamburg.	II:267;II:378;II:390
name_differs	PerXI00724	Bertouch, Ernst von, Baron	Bertouch, Emst von, Baron (1808–1869)	Attaché ved det danske Gesandtskab i Paris, Legationsraad, Kammerherre.	IV:141;V:349;V:358;VII:77;VIII:95
name_differs	PerXI00753	Beyer, Sille	Beyer, Siile (1803–1861)	Søster til Alfred B., Forfatterinde og Oversætterinde.	V:18;X:289
name_differs	PerXI00760	Bielke, Juliane (Julie)	Bielke, Juliane (Julie) (1819–1889)	Søster til August og Rudolph B., Stiftsdame i Vallø.	IX:143;IX:203;IX:318;X:13
name_differs	PerXI00875	Blanvalet	Blanvalet, Madame, f. de Schmitz	g.m. Henri B.	IV:423;IV:429;IV:434
name_differs	PerXI01136	Brasen, Ove Emmerich	Brasen, Vilhelmine, f. Høegh-Guldberg (1810–1877)	Datter af Chr. Høegh-Guldberg, g. 1840 m. J.A.B.	IV:294;V:392;V:409;VII:2
name_differs	PerXI01205	Brix, C. C.	Brix, G. G. (1820–1908)	Bestyrer for Efterslægtsselskabets Skole, tit. Professor, 1866–1887 Folketingsmand.	VII:251;IX:333
name_differs	PerXI01257	Brosbøll, Hansine, f. Thorbjørnsen	Brosbøll, Hansine, f. Thoibjørnsen (1829–1908)	g. 1851 m. Carl B., Ægteskabet opløst 1885.	V:7;VI:214;VIII:44
name_differs	PerXI01275	Brun, Emilie (Emy)	Brun, Emilie (Emy) (1821–1865)	Datter af Carl Fr.B., g. 1° 1841 m. Vilh. Grevenkop-Castenskiold, 2° 1848 m. Guvernør E.J.A.Carstensen.	II:96;II:100;II:128;II:130
name_differs	PerXI01356	Bull, Anders Sandøe Ørsted	Buli, Anders Sandøe Ørsted (1817–1907)	Søn af Albertine B., norsk Generalkrigskommissær, Christiania.	IX:125;IX:128
name_differs	PerXI01358	Bull, Caroline Elisabeth, f. Dahl	Buil, Caroline Elisabeth, f. Dahl (1822–1894)	Datter af J. C. Dahl, g.m. Generalkrigskommissær Anders Sandøe Ørsted B.	IV:165;IX:125;IX:128
name_differs	PerXI01468	Calon	Galon, Madame	Moder til P. G.	VII:73;VIII:70
name_differs	PerXI01513	Caroc, Thomasine (Sine)	Caroc, Thomasine (Sine) (1825–1916)	Søster til Carl C.	VIII:135;VIII:185;IX:53;IX:62;IX:148;X:322
name_differs	PerXI01558	Castenschiold, Elisabeth (Lise)	Castenschiold, Elisabeth (Lise) (1838–1923)	Datter af A.F.H.C., 1903 Stiftsdame i Vallø.	V:409;VI:72;VI:76;VI:77;VI:176;VIII:41;VIII:227;VIII:256;IX:324
name_differs	PerXI01585	Castex, Blanche, f. Jurgensen	Gastex, Paul	N. J. Jurgensens Svigersøn, Bordeaux.	VII:85;VII:172
