kind	reference_name	reference_desc	reference_refs
candidate_missing	l’Escaille, Sidonie Constance Henriette de	Prinsesserne Dagmars og Thyras Guvernante.	VII:189;VIII:64;VIII:65
candidate_missing	Hansteen, Frk.	redder et Barn fra at drukne September 1872 (muligvis = Asta Hansteen (1824–1908), norsk Malerinde og Kvindesagskvinde).	IX:330;IX:333
candidate_missing	Healey, Christine Mary	Søster til Agnes H., Danserinde ved Det kgl. Teater 1864–1865.	VI:129;VI:185
candidate_missing	Henriques’ Broder og Broderens Kone	(hvem H.C. Andersen mener, kan ikke afgøres), Paris 1868, Rolighed 1871 og 1872.	VIII:67;IX:152;IX:330
candidate_missing	Hoorn (Hornes), Filip van	Greve 1518–1568, Guvernør i Geldern, henrettet 1568.	VII:67;VIII:335
candidate_missing	Ioannou, Filippos (1796–1880)	Professor i Æstetik ved Universitetet i Athen, Oversætter og Digter.	II:171;II:175
candidate_missing	Jaell, Alfred (1832–1882)	Østrigsk Klavervirtuos og Komponist.	VIII:133;VIII:298
candidate_missing	Jurgensen, Caroline Christiane, f. Borch (1817–1867)	g.m. N.J.J.	V:336;VII:85;VII:175
candidate_missing	Kaulbach, Josefa von (1851–19?)	Datter af Wilhelm v.K. g. 1872 m. Karl Dürck.	IV:173;IV:394;VIII:292;VIII:294
candidate_missing	Lees, F. S. Miss	Engelsk Beundrerinde (Oktober 1868).	VIII:134;VIII:136
candidate_missing	Lumbye, Georg (1843–1922)	Søn af H. C. L., Komponist og Dirigent.	VII:269;VII:275
candidate_missing	Martinez de la Rosa, Francisco (1789–1862)	Spansk Statsmand og Digter.	II:354;V:311
candidate_missing	Masaniello (Tommaso Aniello) (ca. 1623–47)	Fører for Oprøret i Napoli 1647.	III:108;III:110
candidate_missing	Mette	Pige hos Frk. Hallager 1869.	VIII:189;VIII:220
candidate_missing	Miloš Obrenovic (1780–1860)	Fyrste i Serbien 1817–1839, 1858–1860.	II:220;II:230
candidate_missing	Nederlandene, Willem I, Konge af – (1772–1843)	Konge 1815–1840.	II:399;III:196
candidate_missing	Ohlsen (Olsen?), Helene	Christiania 1871.	IX:115;IX:124;IX:130;IX:134;X:325
candidate_missing	Ostade, Adriaen van (1610–1684)	Hollandsk Maler.	I:384;I:433
candidate_missing	Paulus (død ca. 64)	Apostel.	I:371;II:134;II:148;II:167;V:55
candidate_missing	Pechlin, Elise von, Baronesse (1792–1858)	Hofdame hos Prinsesse Juliane af Hessen-Philippsthal-Barchfeld.	III:187;III:210;III:249
candidate_missing	Perrot, Jules-Joseph (1810–1892)	Fransk Balletmester.	II:350;III:218
candidate_missing	Puggaard, G. (1823–1864)	Søn af Hans P., cand. polyt. 1846, dr.phil. 1851, Geolog.	III:223;III:257;III:260
candidate_missing	Redern, Alexandra von, Grevinde, f. Friherreinde von Pahlen (død 1846)	Enke efter preussisk Gesandt i London, Kammerherre, Grev Sigismund von R., Overhofmesterinde hos Arvestorhertuginde Sophie af Sachsen-Weimar-Eisenach.	III:48;III:50;III:52;III:56
candidate_missing	Ribbing, Sofia Amalia (1835–1894)	Svensk Malerinde.	V:47;V:54
candidate_missing	Riegels, H. G. (1793–1861)	Broder til F.W.R., Generalkrigskommissær, 1848–1850 Kommandant på Als, 1850 kar. Oberst, Ejer af Snoghøj, Skovdyrker.	II:268;III:401;III:422;III:425
candidate_missing	Robinson, E.	Søn af Therese R.	IV:85;IV:101;IV:103;IV:112
candidate_missing	Robinson, Mary A.	Datter af Therese R.	IV:85;IV:101;IV:103;IV:104;IV:112
candidate_missing	Rottweiler & Bauer	Bankierfirma i Madrid.	VII:96;VII:97
candidate_missing	Salomon, David (døbt Julius Diedrich Slomann) (1805–1857)	Søn af Wulf S., senere Grosserer i København.	I:121;I:123
candidate_missing	Schenk, Eduard von (1788–1841)	tidligere Indenrigsminister i Bayern, Skuespilforfatter.	I:419;II:60
candidate_missing	Sixtus V (1521–1590)	Pave 1585.	I:248;I:304;III:99
candidate_missing	Skopas fra Paros (4.Aarh.f.Chr.)	græsk Billedhugger.	I:210;II:66
candidate_missing	Strauss, Flora	Guvernante, Holsteinborg 1874.	X:257;X:261;X:267;X:396
candidate_missing	Sverrig, Erik den Hellige, Konge af – (død ca. 1160)	sv. Helgen.	II:18;II:20;III:333
candidate_missing	Thiele, Hanne, f. Aagesen (1819–1892)	g. 1838 m. Just Mathias T.	V:47;V:437;VI:8;VII:208;VII:310;VIII:149;VIII:174;VIII:255;IX:176;IX:250;X:247;X:251;X:252;X:364
candidate_missing	Töppel	(Töpler?), F. A. Serres Svoger, Maxen Juli 1856.	IV:225;IV:228
candidate_missing	Ulla Maria	(Pseud.), Forfatterinde.	VII:220;VII:232
candidate_missing	Z	(uidentificeret), Slagelse 1825–1826.	I:12;I:54
