surname_norm	status	min_entry_id	min_surname	min_given_names	min_birth_year	min_death_year	min_description	min_references	xlsx_surname	xlsx_given_names	xlsx_birth_year	xlsx_death_year	xlsx_description
aastrup	kun_min	PerXI00015	Aastrup	Jens Peter	1830	1911	Sekretær ved de kgl. Ordeners Capitul 1863- 1909, Justitsraad 1872, senere Konferensraad.	IX:218;IX:219					
ahlefeldt	matchet_person_men_beskrivelse_afviger	PerXI00070	Ahlefeldt				Nizza, November 1869.	VIII:295	Ahlefeldt	Nizza			November 1869.
ahlefeldt	matchet_person_men_beskrivelse_afviger	PerXI00071	Ahlefeldt				Frøken, Itzehoe 16.2.1843.	II:304	Ahlefeldt	Frøken			Itzehoe 16.2.1843.
ahlefeldt	matchet_person_men_beskrivelse_afviger	PerXI00072	Ahlefeldt				Greve, Hamburg 29.5.1843.	II:377	Ahlefeldt	Greve			Hamburg 29.5.1843.
ahlefeldt	matchet_person_men_beskrivelse_afviger	PerXI00074	Ahlefeldt				Grevinde, Berlin 1.1.1846.	III:39	Ahlefeldt	Grevinde			Berlin 1.1.1846.
ahlefeldt	kun_min	PerXI00075	Ahlefeldt	Carl Friedrich Georg von, Greve	1799	1862	Søn af Charlotte A., Besidder af Eskildsmark og Saxtorp.	III:9;III:10					
ahlefeldt	kun_min	PerXI00080	Ahlefeldt	Friederike von, Grevinde, f. von Klocker	1797	1876	g.m. C.Fr. G.v.A.	III:9;III:10					
ahlefeldt	kun_min	PerXI00081	Ahlefeldt	Georgine von, Komtesse	1828	1902	Datter af C.Fr.G.v.A., g. 1846 m. Grev Arthur Chr. Ditlev Ludvig Reventlow.	III:9;III:10					
ahlefeldt	kun_min	PerXI00083	Ahlefeldt	Ida von, Komtesse	1836	1917	Datter af C.Fr.G.v.A., g. 1856 m. Grev Adalbert Baudissin.	III:9;III:10					
ahlefeldt	kun_min	PerXI00084	Ahlefeldt	Rudolphine von, Komtesse	1831	1855	Datter af C.Fr.G.v.A., g. 1851 m. Grev Adalbert Baudissin.	III:9;III:10					
