rid,wd,image_filename,attribution_note,verified_via,notes
Reg000711,Q11694421,BuenPastorMurillo1660.jpg,,WebSearch wikidata.org 2026-08-09,"""Den gode Hyrde"" = El Buen Pastor, Prado — location in title matches Wikidata P195 collection"
Reg000721,Q16627776,Bartolomé_Esteban_Perez_Murillo_-_The_Holy_Family_with_a_Bird_-_WGA16356.jpg,,WebSearch wikidata.org 2026-08-09,"""Den hellige Familie med Fuglen"" = La Sagrada Familia del pajarito, Prado"
Reg000765,Q22120723,Inmaculada_Concepcion_(La_Colosal).jpg,,WebSearch wikidata.org 2026-08-09,"""Den ubesmittede Undfangelse"", Academia/Museo de Bellas Artes de Sevilla — Murillo painted 10+ Immaculate Conceptions; only used this one because the Sevilla-Academia collection is confirmed via Wikidata P195, not guessed from the title alone"
Reg001801,Q5659824,Bartolomé_Esteban_Perez_Murillo_-_The_Young_Beggar_-_WGA16348.jpg,,WebSearch wikidata.org 2026-08-09,"""Jeune mendiant"" = The Young Beggar, Louvre INV 933"
Reg002011,Q2880218,"Virgen_de_la_servilleta,_Bartolomé_Esteban_Murillo.jpg",,WebSearch wikidata.org 2026-08-09,"""La Virgen de la Servilleta"" — title is an exact string match, no ambiguity"
Reg002435,Q109535214,Murillo_moises.jpg,,WebSearch wikidata.org 2026-08-09,"""Moses slaar Vand af Klippen (La Sed)"" = Moses at the Rock of Horeb, Hospital de la Caridad Sevilla"
Reg002911,Q6120755,Bartolomé_Esteban_Murillo_-_St._Justa_and_St._Rufina_-_Google_Art_Project.jpg,,WebSearch wikidata.org 2026-08-09,"""S. S. Justa y Rufina"" — a second, unrelated Wikidata item (Q38466228, ""Saint Justa"" alone) also turned up in search; rejected because its title doesn't include Rufina"
Reg003004,Q328079,Raphael - The Sistine Madonna - Google Arts & Culture.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Sixtinske Madonna, Dresden — subject+collection confirmed. Paired with Reg003005 (a copy, deliberately left without its own Q-number)."
Reg003095,Q249449,Raffael Stanza della Segnatura.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Stanzerne = Stanze di Raffaello / Raphael Rooms, Vatican Palace — ensemble item, not a single panel. Collection confirmed."
Reg002171,Q3836415,Loge du 2ème étage du palais apostolique du Vatican.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Loggierne = the Vatican loggias (Bramante's corridor, grotesque decoration) — a DIFFERENT space from Stanzerne/Q249449, which matches the register listing them as two separate works. A third, more specific loggia item (Q3836438) also exists; if this later turns out to be wrong, that's the fallback to check."
Reg002247,Q966681,Raphael Madonna della seggiola.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Madonna della Seggiola, Galleria Palatina (Pitti), Florence — subject+collection confirmed."
Reg002249,Q2610709,Madonna di Foligno (Raphael) September 2015-1a.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Madonna di Foligno, Pinacoteca Vaticana — subject+collection confirmed."
Reg002492,Q2500226,"Raffaello, pala baglioni, deposizione.jpg",,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"The Deposition (Pala Baglioni central panel), Galleria Borghese — subject+collection confirmed. DUPLICATE-TITLE PAIR with Reg002493 (Manfrin, Venezia) — that row was deliberately left unconfirmed, do not reuse this Q-number for it."
Reg002750,Q3836436,"Villa farnesina, loggia di psiche 02.JPG",,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Psykes Historie = Loggia of Psyche fresco cycle, Villa Farnesina — ensemble item (Raphael design, workshop execution), not a single panel."
Reg002880,Q1103801,"Bologna Pinacoteca Nazionale - Rafaël Santi (1483-1520) - Heilige Cecilia in extase met Paulus, Johannes (evangelist), Augustinus en Maria Magdalena - 26-04-2012 9-13-18.jpg",,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Ecstasy of Saint Cecilia, Pinacoteca Nazionale di Bologna — subject+collection confirmed. Image filename is long/unusual — spot-check it renders before trusting further. Paired with Reg002881 (a copy after Guido Reni, deliberately left without its own Q-number)."
Reg001407,Q2344368,Raffael 012.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Register title ""GaJatea"" is an OCR/transcription typo for Galatea (Triumph of Galatea fresco, Villa Farnesina) — collection confirmed."
Reg002241,Q2035209,Raffaello (1483-1520) - La Madonna del Granduca - 178 - Galleria Palatina.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Madonna del Granduca, Palazzo Pitti — subject+collection confirmed."
Reg002272,Q2631335,"Raffaello Sanzio - Sacra Famiglia con Rafael, Tobia e San Girolamo, o Vergine del pesce.jpg",,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Madonna with the Fish, Museo del Prado — subject+collection confirmed."
Reg001241,Q1134281,Raffaello - Visione di Ezechiele.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Ezekiel's Vision, Galleria Palatina (Pitti) — subject+collection confirmed."
Reg001986,Q153441,Raffaello Sanzio - La Fornarina (ca. 1519-1520).jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"La Fornarina, Palazzo Barberini — the authenticated Raphael. DUPLICATE-TITLE PAIR with Reg001987 (Uffizi) — that entry is a DIFFERENT, unrelated painting (Sebastiano del Piombo, historically misattributed/nicknamed the same way); deliberately left without a Raphael Q-number."
Reg000722,Q3212681,Raffael 100.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"The Holy Family with Saint John the Baptist, Kunsthistorisches Museum Vienna — subject+collection confirmed."
Reg001819,Q2344357,PalaOddiRaffaello.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Oddi Altarpiece / Coronation of the Virgin main panel, Pinacoteca Vaticana — confirmed for the MAIN PANEL only. Do not reuse this Q-number for the predella scenes (see Reg002447, left unconfirmed for exactly this reason)."
Reg001820,Q2452858,Raphael - Madonna in the Meadow - Google Art Project.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Madonna del Prato / Madonna in the Meadow — title confirmed by search; collection (Kunsthistorisches Museum Vienna, ex-Belvedere) corroborated externally rather than from a raw Wikidata field."
Reg000679,Q598913,CrocefissioneRaffaello.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Mond Crucifixion, National Gallery London — the register's ""Fesch, Rom"" note is legitimate provenance (the painting passed through Cardinal Fesch's Rome collection before its current home), not a location conflict."
Reg001942,Q2664637,Christ Falling on the Way to Calvary - Raphael.jpg,,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Christ Falling on the Way to Calvary / Lo Spasimo di Sicilia, Museo del Prado — subject+collection confirmed."
Reg002240,Q2344505,"Raphael, Madonna del Cardellino, 1507, Uffizi.jpg",,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Madonna del Cardellino, Uffizi — subject+collection confirmed, BUT a second Wikidata item (Q12120335) with an apparently identical description also exists. Could not determine which is canonical (network-blocked from opening either page directly) — worth a manual check before treating this as final."
Reg002245,Q3842605,"Madonna del Divino Amore, Raffaello Sanzio.jpg",,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Madonna del Divino Amore, Museo di Capodimonte (ex-Bourbon/Farnese collection) — subject+collection confirmed."
Reg002900,Q3464523,"Raffaello Santi gen. Raffael, , Kunsthistorisches Museum Wien, Gemäldegalerie - Hl. Margarete - GG 171 - Kunsthistorisches Museum.jpg",,Copilot + independently re-verified (WebSearch wikidata.org) 2026-08-09,"Saint Margaret and the Dragon, Kunsthistorisches Museum Vienna — subject+collection confirmed. Long/unusual filename — spot-check it renders."
