vol,page,date,month,year,heading,text
VII,1,1866-XX-XX,,1866,,001-01     1866
VII,1,1866-01-XX,Januar,1866,,001-02     Januar
VII,1,1866-01-01,Januar,1866,Mandag den 1ste Januar.,"001-03     Mandag den 1ste Januar. Gud vær mig naadig og god,
001-04         som Du altid var det! Hvad mon er skeet og nedskrevet
001-05         naar 1867 hilser Jorden? Veiret i Dag er graat og rusket, [5]
001-06         det blæser endnu stærkt. Sendt Brev til Fru Serre og til Jette
001-07         Collin. Jeg har endnu ondt i Brystet. Aabnede igjen Brevet
001-08         til Fru Collin for at lægge ind i det et Digt jeg har skrevet
001-09         denne Formiddag; glad over det ret vellykkede Digt; skrevet
001-10         det paa Vingerne af en udklippet Sommerfugl som jeg [10]
001-11         satte ind i en Bouquet til Frøken Brandes, som først havde
001-12         læst Digtet og været glad ved det. Søen vender det Hvide ud.
001-13         Fik Brev fra Fru Kock, samt Brev fra Frøken Bjerring, derimod
001-14         glemte Postmesteren i Skjælskør at sende mig Bogpakken,
001-15         jeg havde idag givet Qvittering for, jeg blev ærgerlig; [15]
001-16         i Avisen stod at i Santander i Spanien var nu Cholera
001-17         udbrudt; senere da jeg paa Kortet saae hvor det laae, blev
001-18         jeg beroliget med Hensyn til min Reise. — Her truede to
001-19         Ulykker Huset iaften, først kom et dobbeltladt Gevær til
001-20         Otto fra Espe, dernæst havde Hr Reumert lagt en brændende [20]
001-21         Vox Svovlstikke ved sit brændende Lys, der smæltede og
001-22         tændte Servietten og hans Hat men det blev itide opdaget
001-23         og slukt. Jeg læste Ole Lukøie og Keiserens nye Klæder."
VII,1,1866-01-02,Januar,1866,Tirsdag 2.,001-24     Tirsdag 2. Da jeg vaagnede i Nat laae jeg og tænkte paa
VII,2,1866-01-02,Januar,1866,Tirsdag 2.,"002-01         at skrive Brev til Postmesteren og da jeg saa imorges kommer
002-02         op er dog Bog-Pakken kommet igaar men blevet hos
002-03         Budet; jeg fik fra Watt hans ny Bog som jeg har indledet
002-04         med Vers, et lille Brev til mig laae indeni. Sendt igjen Brev
002-05          til Robert Watt. Veiret noget klarere, men dog rusket. [5]
002-06         Brændt min Finger paa Ilden i Kakkelovnen i Dag ingen
002-07         Breve. Om Aftenen læst nede Bjørnsons »De Nygifte«, jeg
002-08         læste godt og man var særdeles udtalende om min gode
002-09         dramatiske Oplæsning."
VII,2,1866-01-03,Januar,1866,Onsdag 3.,"002-10     Onsdag 3. Stormende Veir og Regn. Sendt Brev til Hartmann [10]
002-11         og Fru Hartmann som i disse Dage er i Roeskilde.
002-12         Brev til Grevinde Holstein paa Holsteinborg. Til Middag
002-13         kom her to Frøkner Carstenskjold og deres unge Broderkone,
002-14         alle tre fra Skjælskør. Jeg fik med Posten Brev fra
002-15         Kammerherreinde Neergaard. Om Aftenen var Fru Brasen [15]
002-16         med Sønner og Datter, den unge Forvalter Fabricius med
002-17         Kone og Præsten Lassen med Datter, jeg læste fire Eventyr
002-18         for dem. De gik iseng efter 1."
VII,2,1866-01-04,Januar,1866,Torsdag 4.,"002-19     Torsdag 4. De unge Herre[r] oppe før 7 og paa Jagt paa
002-20         Holsteinborg. Sendt Brev til Eduard Collin. Det er et vaadt, [20]
002-21         graat, taaget Veir. Fru Scavenius med Datter ere en Sviptour
002-22         i Skjælskjør, til Middag tage de og den unge Frue fra
002-23         Espe, som kom her iaftes, til Holsteinborg og jeg og Frøken
002-24         Brandes blive ene hjemme, som Herskab. Læst for hende
002-25         efter Klokken 8te »Han er ikke født!« Vi talte Politik, ogsaa [25]
002-26         hun fandt Mathilde Ørsted og Huset der ganske ultra reactionær!
002-27         Hun havde endnu Forhaabninger for vort Land,
002-28         jeg ikke."
VII,2,1866-01-05,Januar,1866,Fredag 5.,"002-29     Fredag 5. Deiligt Solskin og klart. Brev til Louise Lind,
002-30         Brev til L. Budde paa Holsteins Minde; jeg sendte ham mit [30]"
VII,3,1866-01-05,Januar,1866,Fredag 5.,"003-01         Portræt Kort. Bragte fra Haven to Bouquetter. Læst igaar
003-02         Goldschmidts »Skjænkestuen« og idag: »Onkels Tømmerplads«.
003-03         Jeg var ganske bevæget, Taarer kom mig i Øinene.
003-04         Han er et stort fortællende Talent. Mit Humeur til Reisen
003-05         er svagt. Fandt paa at skyde frisk Mos ind i en udsprungen [5]
003-06         Grankogle og der kom en stor Mos Pinie ud deraf. Fik Brev
003-07         fra Frøken Richter i Passy-Paris. Brev fra Scharf og fra
003-08         Eckardt. Aviserne mælde Friderikke Bremers Død hun er
003-09         død i Løverdags, da jeg var paa Espe. Der kom en Freds
003-10         Følelse hos mig til ogsaa at maatte snart følge, og at Døden [10]
003-11         om den kom paa Reisen, i Udlandet eller hjemme, var jo dog
003-12         Noget jeg maatte vente. Jeg vilde nu nok have været paa
003-13         Årsta hvor hun indbød mig, men jeg reiste fra. Jeg veed ikke
003-14         om det sidste Eventyr Hefte naaede hende som venlig Hilsen
003-15         fra mig. Beed for mig! Til Aften ene med Fru Scavenius [15]
003-16         og Frøken Brandes, de kom i politisk Diskurs, Frøken Brandes
003-17         var liberal, Fru Scavenius stærk Kongelig og vilde ikke
003-18         høre et Ord, vendte sig noget overseende leende bort, Frøken
003-19         B blev afficeret, det blev heftigere paa begge Sider,
003-20         Fru S, vilde ikke være i Stuen, Frøken B, var i Taarer jeg [20]
003-21         blev aldeles ilde betaget men da jeg tilsidst fik dem i Forsoning
003-22         og de kyssede hinanden kom jeg i Graad; det var mig
003-23         dog en Behagelighed at bidrage til at mildne Gemytterne
003-24         jeg læste nu et Par Eventyr oven paa for at bringe andre
003-25         Tanker og vi skiltes i Ro. [25]"
VII,3,1866-01-06,Januar,1866,Løverdag 6.,"003-26     Løverdag 6. Det er den unge Hr Reimers Fødselsdag, det
003-27         huskede jeg Fruen paa og der blev forordnet at en Kage"
