entity_id,entity_type,category_h1,genre_h2,form_h3,subform_h4,label,description,see,see_also,year_derived,date_derived,person_derived
Reg001445,work,VÆRK-REGISTER,H. C. ANDERSEN,Samlede og blandede Skrifter,,Gesammelte Werke (1847-72),,,,"1847, 1872",,
Reg002927,work,VÆRK-REGISTER,H. C. ANDERSEN,Samlede og blandede Skrifter,,Samlede Skrifter I-XXXIII (1853-79),,,,"1853, 1879",,
Reg000281,work,VÆRK-REGISTER,H. C. ANDERSEN,Samlede og blandede Skrifter,,Aus Herz und Welt (1860),,,,1860,,
Reg002793,work,VÆRK-REGISTER,H. C. ANDERSEN,Samlede og blandede Skrifter,,Reiseskizzer og Pennetegninger (= Samlede Skrifter. 28. Bind) (1868).,,,,1868,,
Reg003513,work,VÆRK-REGISTER,H. C. ANDERSEN,Samlede og blandede Skrifter,,Works (New York 1869 ff.),,,,1869,,
Reg001234,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,,Eventyr (i Almindelighed),,,,,,
Reg002563,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr. 2. Bind. 1. Samling (1847),,,,1847,,
Reg001238,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Eventyr. Med 125 Ill. efter Originaltegninger af V. Pedersen (1850 Ͻ: 1849),,,,"1849, 1850",,V. Pedersen
Reg001603,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Historier. 1. Samling (1852),,,,1852,,
Reg001604,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Historier. Med 55 Ill. af V. Pedersen (1855),,,,1855,,V. Pedersen
Reg002543,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66),,,,"1858, 1866",,
Reg002545,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 1. Samling (1858),,,,"1858, 1866",,
Reg002546,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 1. Samling (1858) - 4 Opl. (1865),,,,"1858, 1865, 1866",,
Reg002553,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Samling (1858),,,,"1858, 1866",,
Reg002556,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Samling (1859),,,,"1858, 1859, 1866",,
Reg002557,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Samling (1859) - 2. Opl. (1861),,,,"1858, 1859, 1861, 1866",,
Reg002558,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) -4. Samling (1860),,,,"1858, 1860, 1866",,
Reg002544,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 1. Række (1860),,,,"1858, 1860, 1866",,
Reg002547,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 1. Samling (1861),,,,"1858, 1861, 1866",,
Reg002548,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 1. Samling (1861) - 2. Opl. (1869),,,,"1858, 1861, 1866, 1869",,
Reg002549,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 2. Samling (1861),,,,"1858, 1861, 1866",,
Reg002550,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 2. Samling (1861) - 2. Opl. (1865),,,,"1858, 1861, 1865, 1866",,
Reg002551,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række. 3. Samling (1865),,,,"1858, 1865, 1866",,
Reg002552,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række. 4. Samling (1866),,,,"1858, 1866",,
Reg002554,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Række. 1. Samling (1872),,,,"1858, 1866, 1872",,
Reg002555,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Række. 2. Samling (1872),,,,"1858, 1866, 1872",,
Reg001235,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Eventyr og Historier. Med Ill. efter Originaltegninger af V. Pedersen. I-II (1862-63),,,,"1862, 1863",,V. Pedersen
Reg001236,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Eventyr og Historier. Med Ill. efter Originaltegninger af V. Pedersen. I-II (1862-63) - Nyt Opl. (1873),,,,"1862, 1863, 1873",,V. Pedersen
Reg001277,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Femten Eventyr og Historier. Med Ill. af Lorenz Frølich (1867),,,,1867,,Lorenz Frølich
Reg002559,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. Første Deel-Tredie Deel (= Samlede Skrifter 25.-27. Bd.) (1868),,,,1868,,
Reg003313,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Tre nye Eventyr og Historier (1870 Ͻ: 1869),,,,"1869, 1870",,
Reg002562,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. Med Ill. efter Originaltegninger af Lorenz Frølich I (1870),,,,1870,,Lorenz Frølich
Reg002560,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. Med Ill. efter Originaltegninger af Lorenz Frølich - II (1871),,,,1871,,Lorenz Frølich
Reg002561,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. Med Ill. efter Originaltegninger af Lorenz Frølich - III (1874),,,,1874,,Lorenz Frølich
Reg000327,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Bemærkninger til Eventyr og Historier  - 1862:,,,,1862,,
Reg000328,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Bemærkninger til Eventyr og Historier  - 1868:,,,,1868,,
Reg000329,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Bemærkninger til Eventyr og Historier  - 1870:,,,,1870,,
