navn,kontekst,kvindelig,mandlig,i_alt,skævhed,anvendes
marie,_general,112,1,113,0.99,ja
anna,_general,104,0,104,1.00,ja
carl,_general,0,88,88,1.00,ja
caroline,_general,77,0,77,1.00,ja
sophie,_general,77,0,77,1.00,ja
louise,_general,69,0,69,1.00,ja
charlotte,_general,62,0,62,1.00,ja
maria,_general,58,0,58,1.00,ja
frederik,_general,0,57,57,1.00,ja
johanne,_general,52,0,52,1.00,ja
christian,_general,0,51,51,1.00,ja
henriette,_general,48,0,48,1.00,ja
elisabeth,_general,45,0,45,1.00,ja
julie,_general,43,0,43,1.00,ja
ida,_general,43,0,43,1.00,ja
augusta,_general,39,0,39,1.00,ja
wilhelm,_general,0,38,38,1.00,ja
emilie,_general,33,0,33,1.00,ja
frederikke,_general,32,0,32,1.00,ja
hans,_general,0,32,32,1.00,ja
emma,_general,30,0,30,1.00,ja
johan,_general,0,30,30,1.00,ja
otto,_general,0,30,30,1.00,ja
wilhelmine,_general,28,0,28,1.00,ja
peter,_general,0,27,27,1.00,ja
karl,_general,0,27,27,1.00,ja
georg,_general,0,24,24,1.00,ja
mathilde,_general,24,0,24,1.00,ja
friedrich,_general,0,24,24,1.00,ja
clara,_general,23,0,23,1.00,ja
amalie,_general,22,0,22,1.00,ja
charles,_general,0,20,20,1.00,ja
julius,_general,0,20,20,1.00,ja
christiane,_general,20,0,20,1.00,ja
august,_general,0,19,19,1.00,ja
ingeborg,_general,18,0,18,1.00,ja
elise,_general,18,0,18,1.00,ja
ferdinand,_general,0,17,17,1.00,ja
emil,_general,0,17,17,1.00,ja
vilhelmine,_general,17,0,17,1.00,ja
gustaf,_general,0,17,17,1.00,ja
agnes,_general,17,0,17,1.00,ja
william,_general,0,16,16,1.00,ja
johanna,_general,16,0,16,1.00,ja
ludwig,_general,0,16,16,1.00,ja
alexander,_general,0,16,16,1.00,ja
vilhelm,_general,0,15,15,1.00,ja
hermann,_general,0,15,15,1.00,ja
anne,_general,15,0,15,1.00,ja
ludvig,_general,0,15,15,1.00,ja
laura,_general,15,0,15,1.00,ja
ernst,_general,0,14,14,1.00,ja
fanny,_general,14,0,14,1.00,ja
theodor,_general,0,13,13,1.00,ja
margrethe,_general,13,0,13,1.00,ja
henrik,_general,0,13,13,1.00,ja
hanne,_general,13,0,13,1.00,ja
mary,_general,13,0,13,1.00,ja
johannes,_general,0,13,13,1.00,ja
adam,_general,0,13,13,1.00,ja
alfred,_general,0,12,12,1.00,ja
arthur,_general,0,12,12,1.00,ja
therese,_general,12,0,12,1.00,ja
heinrich,_general,0,12,12,1.00,ja
christine,_general,12,0,12,1.00,ja
dorothea,_general,12,0,12,1.00,ja
thora,_general,11,0,11,1.00,ja
louis,_general,0,11,11,1.00,ja
karen,_general,11,0,11,1.00,ja
juliane,_general,11,0,11,1.00,ja
harald,_general,0,11,11,1.00,ja
bertha,_general,11,0,11,1.00,ja
betty,_general,11,0,11,1.00,ja
pauline,_general,11,0,11,1.00,ja
frk,_general,11,0,11,1.00,ja
valdemar,_general,0,11,11,1.00,ja
viggo,_general,0,11,11,1.00,ja
adolph,_general,0,10,10,1.00,ja
birgitte,_general,10,0,10,1.00,ja
jens,_general,0,10,10,1.00,ja
george,_general,1,9,10,0.90,ja
ottilie,_general,9,1,10,0.90,ja
luise,_general,10,0,10,1.00,ja
amalia,_general,10,0,10,1.00,ja
edvard,_general,0,10,10,1.00,ja
jacob,_general,0,10,10,1.00,ja
harriet,_general,10,0,10,1.00,ja
edward,_general,0,10,10,1.00,ja
dagmar,_general,10,0,10,1.00,ja
erik,_general,0,10,10,1.00,ja
niels,_general,0,10,10,1.00,ja
johann,_general,0,10,10,1.00,ja
willem,_general,0,10,10,1.00,ja
helene,_general,9,0,9,1.00,ja
adolf,_general,0,9,9,1.00,ja
sara,_general,9,0,9,1.00,ja
camilla,_general,9,0,9,1.00,ja
albert,_general,0,9,9,1.00,ja
josephine,_general,9,0,9,1.00,ja
henry,_general,0,9,9,1.00,ja
moritz,_general,0,9,9,1.00,ja
peder,_general,0,9,9,1.00,ja
anton,_general,0,8,8,1.00,ja
joseph,_general,0,8,8,1.00,ja
karoline,_general,8,0,8,1.00,ja
gustav,_general,0,8,8,1.00,ja
mariane,_general,8,0,8,1.00,ja
maximilian,_general,0,8,8,1.00,ja
isabella,_general,8,0,8,1.00,ja
nicolai,_general,0,8,8,1.00,ja
adelaide,_general,8,0,8,1.00,ja
catharina,_general,8,0,8,1.00,ja
herman,_general,0,8,8,1.00,ja
helga,_general,8,0,8,1.00,ja
magdalene,_general,8,0,8,1.00,ja
franz,_general,0,8,8,1.00,ja
sophus,_general,1,7,8,0.88,ja
eduard,_general,0,8,8,1.00,ja
jenny,_general,7,0,7,1.00,ja
henri,_general,0,7,7,1.00,ja
conrad,_general,0,7,7,1.00,ja
poul,_general,0,7,7,1.00,ja
michael,_general,0,7,7,1.00,ja
ane,_general,7,0,7,1.00,ja
oscar,_general,0,7,7,1.00,ja
alexandra,_general,7,0,7,1.00,ja
