ref_page_id,vol,page,entity_id,entity_label,mention_text,mention_start,mention_end,confidence,method
Pag2000110,VI,53,Reg0030020,"Aabye, Johan Peter (1818–1880)",,,,0.0,no_match
Pag2060790,VI,53,Reg0048570,"Collin, Edvard (1808–1886)",,,,0.0,no_match
Pag2074310,VI,53,Reg0048700,"Collin, Jonas d.Y. (1840–1905)",Jonas,193,198,0.3,given_name_only
Pag2096940,VI,53,Reg0052800,"Djørup, Michael (1804–1876)",,,,0.0,no_match
Pag2099420,VI,53,Reg0053360,"Drewsen, Adolph (1803–1885)",,,,0.0,no_match
Pag2102160,VI,53,Reg0053400,"Drewsen, Einar (1833–1873)",,,,0.0,no_match
Pag2104860,VI,53,Reg0053490,"Drewsen, Ingeborg, f. Collin (1804–1877)",,,,0.0,no_match
Pag2121250,VI,53,Reg0058200,"Forchhammer, G. (1794–1865)",,,,0.0,no_match
Pag2301270,VI,53,Reg0105000,"Reinhardt, J. Th. (1816–1882)",Reinhardt,166,175,0.55,surname_only
Pag2301310,VI,53,Reg0105010,"Reinhardt, Julie (1820–1900)",,,,0.0,no_match
Pag2301320,VI,53,Reg0105020,"Reinhardt, Mathilde (1820–1900)","Mathilde, Steenstrup og Reinhardt",26,59,0.9,full_name_proximity
Pag2345810,VI,53,Reg0117920,"Steenstrup, Ida Margrethe, f. Kaarsberg (1811–1882)",Steenstrup,152,162,0.55,surname_only
Pag2345850,VI,53,Reg0117930,"Steenstrup, Japetus (1813–1897)",,,,0.0,no_match
Pag2349000,VI,53,Reg0119470,"Suhr, Ole Berendt (1813–1875)",Ole Suhr,1131,1139,0.9,full_name_proximity
Pag2349000,VI,53,Reg0119470,"Suhr, Ole Berendt (1813–1875)",Ole,544,547,0.3,given_name_only
Pag2361340,VI,53,Reg0123180,"Toxswerdt, Marie Frederikke (1819–1880)",,,,0.0,no_match
Pag2366810,VI,53,Reg0125900,"Voigt, Charlotte Emilie, f. Hansen (1838–?)",Voigt,1360,1365,0.45,surname_only
Pag2367020,VI,53,Reg0125910,"Voigt, Christian (1809–1888)","Voigt, derpaa kjørte vi hjem til Christian",1317,1359,0.9,full_name_proximity
Pag2367020,VI,53,Reg0125910,"Voigt, Christian (1809–1888)",Christian,1076,1085,0.3,given_name_only
Pag2367070,VI,53,Reg0125930,"Voigt, Laurits Peter (1864–1930)",,,,0.0,no_match
Pag2388190,VI,53,Reg0131900,"Ørsted, Birgitte, f. Ballum (1789–1875)",Ørsted,16,22,0.55,surname_only
Pag2391660,VI,53,Reg0131970,"Ørsted, Mathilde (1824–1906)",,,,0.0,no_match
Pag1002250,VI,53,Reg0000340,Als,Als,599,602,0.85,place_full_label
Pag1021540,VI,53,Reg0002810,Broager,Broager,875,882,0.85,place_full_label
Pag1043020,VI,53,Reg0006290,Flensborg,Flensborg,1699,1708,0.85,place_full_label
Pag1169330,VI,53,Reg0020810,Sønderborg,Sønderborg,774,784,0.85,place_full_label
Pag2000210,VII,310,Reg0030070,"Aagesen, Andreas (1826–1879)",Aagesen,1453,1460,0.55,surname_only
Pag2021220,VII,310,Reg0038130,"Bille, C. St. A. (1828–1898)",Bille,505,510,0.45,surname_only
Pag2021220,VII,310,Reg0038130,"Bille, C. St. A. (1828–1898)",Bille,1025,1030,0.45,surname_only
Pag2022670,VII,310,Reg0038220,"Bille, Louise, f. Ipsen (1841–1926)",,,,0.0,no_match
Pag2100240,VII,310,Reg0053360,"Drewsen, Adolph (1803–1885)",,,,0.0,no_match
Pag2115230,VII,310,Reg0055410,"Engelbrecht, C. W. (død 1906, 87 år gl.)",,,,0.0,no_match
Pag2173360,VII,310,Reg0071150,"Hofman-Bang, N. E. (1803–1886)",,,,0.0,no_match
Pag2198120,VII,310,Reg0077330,"Jørgensen, Hans Christian (1847–1869)","Jørgensen hos mig, hans",353,376,0.9,full_name_proximity
Pag2198120,VII,310,Reg0077330,"Jørgensen, Hans Christian (1847–1869)",Jørgensen,438,447,0.55,surname_only
Pag2198120,VII,310,Reg0077330,"Jørgensen, Hans Christian (1847–1869)",Jørgensen,592,601,0.55,surname_only
Pag2198120,VII,310,Reg0077330,"Jørgensen, Hans Christian (1847–1869)",hans,1210,1214,0.3,given_name_only
Pag2217560,VII,310,Reg0083310,"Lehmann, Orla (1810–1870)",Orla Lehmann,865,877,0.9,full_name_proximity
Pag2225530,VII,310,Reg0085380,Lise,Lise,1245,1249,0.45,surname_only
Pag2232060,VII,310,Reg0087320,"Læssøe, Louise, f. Hanck (1814–1882)",,,,0.0,no_match
Pag2232140,VII,310,Reg0087330,"Læssøe, Ludvig (1808–1878)",Ludvig Læssøe,1266,1279,0.9,full_name_proximity
Pag2232720,VII,310,Reg0087370,"Læssøe, Signe, f. Abrahamson (1781–1870)",,,,0.0,no_match
Pag2232930,VII,310,Reg0087380,"Læssøe, Thorald (1816–1878)",Thorald Læssøe,1135,1149,0.9,full_name_proximity
Pag2237820,VII,310,Reg0089460,"Marstrand, Wilhelm (1810–1873)",Marstrand,1432,1441,0.55,surname_only
Pag2237820,VII,310,Reg0089460,"Marstrand, Wilhelm (1810–1873)",Marstrand,1703,1712,0.55,surname_only
Pag2312180,VII,310,Reg0108380,"Rusland, Dagmar (Maria Feodorovna), Storfyrstinde af –, f. Prinsesse af Danmark (1847–1928)",,,,0.0,no_match
Pag2319450,VII,310,Reg0110930,"Scavenius, Henriette, f. Komtesse Moltke (1819–1898)",Scavenius,172,181,0.55,surname_only
Pag2354400,VII,310,Reg0121610,"Thiele, Hanne, f. Aagesen (1819–1892)",Thiele,1416,1422,0.55,surname_only
Pag2355170,VII,310,Reg0121650,"Thiele, Just Mathias (1795–1874)",,,,0.0,no_match
Pag1088340,VII,310,Reg0010880,København,,,,0.0,no_match
Pag1143780,VII,310,Reg0017420,Rolighed,Rolighed,943,951,0.85,place_full_label
Pag2000290,VI,105,Reg0030130,"Aarsleff, Hans Christian (1812–1878)",,,,0.0,no_match
