entity_id,label,matched_form,nationality_key,nationality_label,category,position_index,position_type,match_type,referent_hint,description
Reg0030000,Åberg,Svensk,svensk,Svensk,national,0,leading,single,subject,"Svensk rejsende, Italien 1834."
Reg0030080,"Aall, Jørgen (1806–1894)",Norsk,norsk,Norsk,national,0,leading,single,subject,"Norsk Auditør, senere Amtmand over Bratsberg Amt og Stortingspræsident."
Reg0030170,"Abbott, John",Engelsk,engelsk,Engelsk,national,0,leading,single,subject,Engelsk Ingeniør i Indien.
Reg0030190,Abd-el-Kader (1807–1883),algiersk,algiersk,Algiersk,national,3,embedded,single,unclear,"Emir af Maskara, algiersk Frihedskæmper."
Reg0030220,Abencerragerne,maurisk,maurisk,Maurisk,historical_polity,1,embedded,single,unclear,Fornem maurisk Slægt i Granadas sidste Tid.
Reg0030230,"Abendrot, August (død 1867)",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Kunstmæcen i Hamburg, dr.jur."
Reg0030250,Abner,Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Komponist, Stuttgart 30.9.1860."
Reg0030280,"Abrahams, N.C.L. (1798–1870)",Fransk,fransk,Fransk,national,5,embedded,single,unclear,"Professor ved Københavns Universitet i Fransk 1832, tillige i Tysk 1839, Notarius publicus 1852, Etatsraad 1853, Konferensraad 1869."
Reg0030280,"Abrahams, N.C.L. (1798–1870)",Tysk,tysk,Tysk,national,8,embedded,single,unclear,"Professor ved Københavns Universitet i Fransk 1832, tillige i Tysk 1839, Notarius publicus 1852, Etatsraad 1853, Konferensraad 1869."
Reg0030360,"Achard, Léon (1831–1905)",Fransk,fransk,Fransk,national,0,leading,single,subject,Fransk Operasanger.
Reg0030370,"Achard, Louis-Amédée-Eugène (1814–1875)",Fransk,fransk,Fransk,national,0,leading,single,subject,Fransk Forfatter.
Reg0030380,"Achenbach, Andreas (1815–1910)",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Landskabsmaler, Düsseldorf."
Reg0030420,"Adam, Adolphe (1803–1856)",Fransk,fransk,Fransk,national,0,leading,single,subject,Fransk Operakomponist.
Reg0030430,"Adam, Albrecht (1786–1862)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Historiemaler.
Reg0030440,Adam Marko,Valakisk,valakisk,Valakisk,historical_polity,0,leading,single,subject,Valakisk Bondedreng.
Reg0030460,"Adami, Heinrich (1807–1865)",Østrigsk,østrigsk,Østrigsk,national,0,leading,single,subject,Østrigsk Forfatter.
Reg0030470,"Adams, John Couch (1819–1892)",Engelsk,engelsk,Engelsk,national,0,leading,single,subject,"Engelsk Astronom, 1858 Professor ved Gambridge Universitet."
Reg0030490,"Adelsvärd, Georg Nikolaus, Friherre (1810–1878)",Svensk,svensk,Svensk,national,0,leading,single,subject,Svensk Gesandt i Paris 1858–1877.
Reg0030500,Aderhas,Russisk,russisk,Russisk,national,0,leading,single,subject,"Russisk Rejsende, Konstantinopel 1841."
Reg0030520,Adler,kjøbenhavnske,københavnsk,Københavnsk,regional_danish,4,embedded,single,possible_institution,"»en Fætter til de kjøbenhavnske«, Altona 4.6.1867."
Reg0030590,"Adlersparre, Carl August, Greve (1810–1862)",Svensk,svensk,Svensk,national,0,leading,single,subject,Svensk Digter (Albano).
Reg0030620,"Afzelius, Arvid August (1785–1871)",Svensk,svensk,Svensk,national,0,leading,single,subject,"Svensk Præst, Digter og Videnskabsmand, Folkevise-Udgiver."
Reg0030630,"Afzelius, Augusta, f. Nielsen (1822–1902)",dansk,dansk,Dansk,national,8,embedded,single,possible_relation,"fhv. Solodanserinde ved Det kgl. Teater, g. 1849 m. dansk Premierløjtnant, senere svensk Toldinspektør i Simrishamn A.J.A., Ægteskabet opløst 1851."
Reg0030630,"Afzelius, Augusta, f. Nielsen (1822–1902)",svensk,svensk,Svensk,national,11,embedded,single,unclear,"fhv. Solodanserinde ved Det kgl. Teater, g. 1849 m. dansk Premierløjtnant, senere svensk Toldinspektør i Simrishamn A.J.A., Ægteskabet opløst 1851."
