entity_id,label,nationalitet,koen,confidence,konflikt,antal_indikatorer,indikatorer,forklaring
Reg0030000,Åberg,svensk,Endnu ubestemt,0.5,0,0,,Ingen kønsmarkerende oplysninger fundet i post eller beskrivelse. Kræver menneskelig vurdering.
Reg0030010,Aaberg,,Endnu ubestemt,0.5,0,0,,Ingen kønsmarkerende oplysninger fundet i post eller beskrivelse. Kræver menneskelig vurdering.
Reg0030020,"Aabye, Johan Peter (1818–1880)",,Mandlig,0.782,0,1,Fornavn: »Johan« → mandligt i generel kontekst (nationalitet ukendt) (30/30 sikre poster),Én indikator peger på mandlig.
Reg0030030,Aagaard,,Endnu ubestemt,0.5,0,0,,Ingen kønsmarkerende oplysninger fundet i post eller beskrivelse. Kræver menneskelig vurdering.
Reg0030040,"Aagaard, C.F. (1833–1895)",,Endnu ubestemt,0.5,0,0,,Ingen kønsmarkerende oplysninger fundet i post eller beskrivelse. Kræver menneskelig vurdering.
Reg0030050,"Aagaard, Johan Peter (1818–1879)",,Mandlig,0.782,0,1,Fornavn: »Johan« → mandligt i generel kontekst (nationalitet ukendt) (30/30 sikre poster),Én indikator peger på mandlig.
Reg0030060,"Aage, se: Drewsen, Aage.",,Endnu ubestemt,0.5,0,0,,Ingen kønsmarkerende oplysninger fundet i post eller beskrivelse. Kræver menneskelig vurdering.
Reg0030070,"Aagesen, Andreas (1826–1879)",,Endnu ubestemt,0.5,0,0,,Ingen kønsmarkerende oplysninger fundet i post eller beskrivelse. Kræver menneskelig vurdering.
Reg0030080,"Aall, Jørgen (1806–1894)",norsk,Mandlig,0.767,0,1,Fornavn: »Jørgen« → mandligt i generel kontekst (nationalitet ukendt) (6/6 sikre poster),Én indikator peger på mandlig.
Reg0030090,"Aman, Alfred Teodor (1827–1870)",,Mandlig,0.986,0,2,Slægtsrelation: Beskrivelsen indledes med »Søn af …« | Fornavn: »Alfred« → mandligt i generel kontekst (nationalitet ukendt) (12/12 sikre poster),2 uafhængige indikatorer peger på mandlig.
Reg0030100,"Aman, Johan August (1790–1853)",,Mandlig,0.782,0,1,Fornavn: »Johan« → mandligt i generel kontekst (nationalitet ukendt) (30/30 sikre poster),Én indikator peger på mandlig.
Reg0030110,"Aarestrup, Caroline, f. Aagaard (1808–1897)",,Kvindelig,0.994,0,3,"Navneændring: »f. Aagaard« i label — pigenavn/fødenavn angivet | Fornavn: »Caroline« → kvindeligt i generel kontekst (nationalitet ukendt) (77/77 sikre poster) | Ægteskab: »gift med Emil« — ægtefællens fornavn peger modsat (afledt, lav vægt)",3 uafhængige indikatorer peger på kvindelig.
Reg0030120,"Aarestrup, Emil (1800–1856)",,Mandlig,0.782,0,1,Fornavn: »Emil« → mandligt i generel kontekst (nationalitet ukendt) (17/17 sikre poster),Én indikator peger på mandlig.
Reg0030130,"Aarsleff, Hans Christian (1812–1878)",,Mandlig,0.782,0,1,Fornavn: »Hans« → mandligt i generel kontekst (nationalitet ukendt) (32/32 sikre poster),Én indikator peger på mandlig.
Reg0030140,"Aarøe, Christian (1828–1886)",,Mandlig,0.782,0,1,Fornavn: »Christian« → mandligt i generel kontekst (nationalitet ukendt) (51/51 sikre poster),Én indikator peger på mandlig.
Reg0030150,"Aastrup, Jens Peter (1830–1911)",,Mandlig,0.782,0,1,Fornavn: »Jens« → mandligt i generel kontekst (nationalitet ukendt) (10/10 sikre poster),Én indikator peger på mandlig.
Reg0030160,"Abad, Leandro",,Endnu ubestemt,0.5,0,0,,Ingen kønsmarkerende oplysninger fundet i post eller beskrivelse. Kræver menneskelig vurdering.
Reg0030170,"Abbott, John",engelsk,Mandlig,0.767,0,1,Fornavn: »John« → mandligt i generel kontekst (nationalitet ukendt) (6/6 sikre poster),Én indikator peger på mandlig.
Reg0030180,"Abbott, Ingeborg, f. Stephens (1839–1911)",,Kvindelig,1.0,0,4,"Slægtsrelation: Beskrivelsen indledes med »Datter af …« | Navneændring: »f. Stephens« i label — pigenavn/fødenavn angivet | Fornavn: »Ingeborg« → kvindeligt i generel kontekst (nationalitet ukendt) (18/18 sikre poster) | Ægteskab: »gift med John« — ægtefællens fornavn peger modsat (afledt, lav vægt)",4 uafhængige indikatorer peger på kvindelig.
