entity_id,roller,kilde_vaerk,kilde_beskrivelse_termer
Reg0030000,,,
Reg0030010,,,
Reg0030020,Akademiker/Lærd,,distriktslæge
Reg0030030,,,
Reg0030040,Akademiker/Lærd;Kunstner/Billedkunst,,landskabsmaler;professor
Reg0030050,,,
Reg0030060,,,
Reg0030070,Embedsmand/Jura/Politik,,kancellist
Reg0030080,Embedsmand/Jura/Politik;Militær,,auditør;amtmand
Reg0030090,Militær,,underløjtnant;løjtnant;kaptajn
Reg0030100,Akademiker/Lærd,,stadslæge;professor
Reg0030110,,,
Reg0030120,Akademiker/Lærd;Forfatter/Digter,,digter;læge;stiftsfysikus
Reg0030130,Handel/Erhverv,,apoteker
Reg0030140,Militær,,kaptajn;infanteriet
Reg0030150,Embedsmand/Jura/Politik,,justitsraad;konferensraad
Reg0030160,Handel/Erhverv,,hotelvært
Reg0030170,Akademiker/Lærd,,ingeniør
Reg0030180,Embedsmand/Jura/Politik,,konsul
Reg0030190,,,
Reg0030200,,,
Reg0030210,Handel/Erhverv,,gæstgiver
Reg0030220,,,
Reg0030230,,,
Reg0030240,,,
Reg0030250,Musiker/Scenekunst,,komponist
Reg0030260,,,
Reg0030270,,,
Reg0030280,Akademiker/Lærd;Embedsmand/Jura/Politik,,professor;etatsraad;konferensraad
Reg0030290,Handel/Erhverv;Musiker/Scenekunst,,skuespiller;direktør
Reg0030300,,,
Reg0030310,Handel/Erhverv,,grosserer
Reg0030320,Militær,,generalkrigskommissær;oberstløjtnant
Reg0030330,,,
Reg0030340,Embedsmand/Jura/Politik,,statsmand
Reg0030350,Musiker/Scenekunst,teater-musik.html,
Reg0030360,Musiker/Scenekunst,,operasanger
Reg0030370,Forfatter/Digter,,forfatter
Reg0030380,Kunstner/Billedkunst,,landskabsmaler
Reg0030390,,,
Reg0030400,,,
Reg0030410,Gejstlig,,hofpræst
Reg0030420,Kunstner/Billedkunst;Musiker/Scenekunst,billedkunst.html;teater-musik.html,operakomponist
Reg0030430,Kunstner/Billedkunst;Musiker/Scenekunst,billedkunst.html;teater-musik.html,historiemaler
Reg0030440,,,
Reg0030450,Forfatter/Digter;Gejstlig,,præst;digter
Reg0030460,Forfatter/Digter,,forfatter
Reg0030470,Akademiker/Lærd,,professor
Reg0030480,,,
Reg0030490,Embedsmand/Jura/Politik,,gesandt
Reg0030500,,,
Reg0030510,,,
Reg0030520,,,
Reg0030530,Handel/Erhverv,,købmand
Reg0030540,Embedsmand/Jura/Politik;Handel/Erhverv,,grosserer;bankier;folketingsmand;landstingsmand
Reg0030550,,,
Reg0030560,Akademiker/Lærd,,læge
Reg0030570,,,
Reg0030580,Adel/Kongelig/Hof;Embedsmand/Jura/Politik,,kabinetssekretær;prins;etatsraad;gehejmekonferensraad
Reg0030590,Forfatter/Digter,,digter
Reg0030600,Embedsmand/Jura/Politik;Handel/Erhverv,,grosserer;etatsraad
Reg0030610,,,
Reg0030620,Forfatter/Digter;Gejstlig,,præst;digter
Reg0030630,Musiker/Scenekunst,,solodanserinde
Reg0030640,,,
Reg0030650,Embedsmand/Jura/Politik;Handel/Erhverv;Militær,,løjtnant;vinhandler;toldforvalter
Reg0030660,,,
Reg0030670,Militær,,premierløjtnant;søetaten;kommandør
Reg0030680,,,
Reg0030690,Akademiker/Lærd,,læge
Reg0030700,,,
Reg0030710,Musiker/Scenekunst,,operakomponist
Reg0030720,,,
Reg0030730,Handel/Erhverv,,bankier
Reg0030740,,,
Reg0030750,,,
Reg0030760,,,
Reg0030770,,,
Reg0030780,,,
Reg0030790,,,
Reg0030800,Handel/Erhverv,,besidder
Reg0030810,Adel/Kongelig/Hof;Embedsmand/Jura/Politik;Handel/Erhverv,,legationssekretær;kammerjunker;kammerherre;besidder;stænderdeputeret
Reg0030820,Forfatter/Digter,,forfatterinde
Reg0030830,Adel/Kongelig/Hof;Gejstlig;Handel/Erhverv,,kammerherre;klosterprovst;besidder
Reg0030840,Akademiker/Lærd,,student
Reg0030850,,,
Reg0030860,,,
Reg0030870,Militær,,generalløjtnant
Reg0030880,,,
Reg0030890,,,
Reg0030900,Embedsmand/Jura/Politik,,postmester
Reg0030910,,,
Reg0030920,,,
Reg0030930,Adel/Kongelig/Hof,,gehejmekonferensraad
Reg0030940,,,
Reg0030950,Adel/Kongelig/Hof;Handel/Erhverv;Militær,,premierløjtnant;besidder;hofjægermester
Reg0030960,,,
Reg0030970,,,
Reg0030980,,,
Reg0030990,Adel/Kongelig/Hof;Militær,,premierløjtnant;livgarden;enkedronning;kammerherre
Reg0031000,,,
Reg0031010,,,
Reg0031020,Gejstlig,,sognepræst
Reg0031030,Embedsmand/Jura/Politik,,politiker
Reg0031040,Akademiker/Lærd,,rektor
Reg0031050,,,
Reg0031060,Akademiker/Lærd,,læge
Reg0031070,Forfatter/Digter,,romanforfatter
Reg0031080,,,
Reg0031090,,,
Reg0031100,Musiker/Scenekunst,,operakomponist
Reg0031110,Kunstner/Billedkunst,billedkunst.html,maler
Reg0031120,Adel/Kongelig/Hof,,greve
Reg0031130,Handel/Erhverv,,grosserer
Reg0031140,Embedsmand/Jura/Politik;Handel/Erhverv,,grosserer;etatsraad
Reg0031150,,,
Reg0031160,,,
Reg0031170,Akademiker/Lærd,,læge
