page_id,entity_id,entity_label,vol,page,seq
Pag100000,Reg001445,Gesammelte Werke (1847-72),III,64,1
Pag100020,Reg001445,Gesammelte Werke (1847-72),III,179,2
Pag100040,Reg001445,Gesammelte Werke (1847-72),III,181,3
Pag100060,Reg001445,Gesammelte Werke (1847-72),III,183,4
Pag100080,Reg001445,Gesammelte Werke (1847-72),III,303,5
Pag100100,Reg001445,Gesammelte Werke (1847-72),IV,116,6
Pag100120,Reg001445,Gesammelte Werke (1847-72),IV,282,7
Pag100140,Reg001445,Gesammelte Werke (1847-72),IV,452,8
Pag100160,Reg001445,Gesammelte Werke (1847-72),X,53,9
Pag100180,Reg002927,Samlede Skrifter I-XXXIII (1853-79),IV,348,10
Pag100200,Reg002927,Samlede Skrifter I-XXXIII (1853-79),VI,264,11
Pag100220,Reg002927,Samlede Skrifter I-XXXIII (1853-79),VIII,47,12
Pag100240,Reg002927,Samlede Skrifter I-XXXIII (1853-79),VIII,128,13
Pag100260,Reg002927,Samlede Skrifter I-XXXIII (1853-79),VIII,131,14
Pag100280,Reg002927,Samlede Skrifter I-XXXIII (1853-79),VIII,140,15
Pag100300,Reg002927,Samlede Skrifter I-XXXIII (1853-79),VIII,144,16
Pag100320,Reg002927,Samlede Skrifter I-XXXIII (1853-79),VIII,159,17
Pag100340,Reg002927,Samlede Skrifter I-XXXIII (1853-79),VIII,168,18
Pag100360,Reg000281,Aus Herz und Welt (1860),IV,383,19
Pag100380,Reg000281,Aus Herz und Welt (1860),IV,384,20
Pag100400,Reg000281,Aus Herz und Welt (1860),IV,396,21
Pag100420,Reg000281,Aus Herz und Welt (1860),IV,429,22
Pag100440,Reg000281,Aus Herz und Welt (1860),IV,449,23
Pag100460,Reg000281,Aus Herz und Welt (1860),IV,451,24
Pag100480,Reg000281,Aus Herz und Welt (1860),IV,456,25
Pag100500,Reg000281,Aus Herz und Welt (1860),V,13,26
Pag100520,Reg000281,Aus Herz und Welt (1860),V,97,27
Pag100540,Reg000281,Aus Herz und Welt (1860),V,103,28
Pag100560,Reg002793,Reiseskizzer og Pennetegninger (= Samlede Skrifter. 28. Bind) (1868).,VIII,140,29
Pag100580,Reg002793,Reiseskizzer og Pennetegninger (= Samlede Skrifter. 28. Bind) (1868).,VIII,150,30
Pag100600,Reg002793,Reiseskizzer og Pennetegninger (= Samlede Skrifter. 28. Bind) (1868).,VIII,167,31
Pag100620,Reg003513,Works (New York 1869 ff.),VIII,173,32
Pag100640,Reg003513,Works (New York 1869 ff.),VIII,348,33
Pag100660,Reg003513,Works (New York 1869 ff.),IX,62,34
Pag100680,Reg003513,Works (New York 1869 ff.),IX,64,35
Pag100700,Reg003513,Works (New York 1869 ff.),IX,65,36
Pag100720,Reg003513,Works (New York 1869 ff.),IX,67,37
Pag100740,Reg003513,Works (New York 1869 ff.),IX,128,38
Pag100760,Reg003513,Works (New York 1869 ff.),IX,157,39
Pag100780,Reg003513,Works (New York 1869 ff.),IX,158,40
Pag100800,Reg003513,Works (New York 1869 ff.),IX,160,41
Pag100820,Reg003513,Works (New York 1869 ff.),IX,166,42
Pag100840,Reg003513,Works (New York 1869 ff.),IX,193,43
Pag100860,Reg003513,Works (New York 1869 ff.),X,54,44
Pag100880,Reg003513,Works (New York 1869 ff.),X,381,45
Pag100900,Reg001234,Eventyr (i Almindelighed),II,35,46
Pag100920,Reg001234,Eventyr (i Almindelighed),II,39,47
Pag100940,Reg001234,Eventyr (i Almindelighed),II,43,48
Pag100960,Reg001234,Eventyr (i Almindelighed),II,44,49
Pag100980,Reg001234,Eventyr (i Almindelighed),II,64,50
Pag101000,Reg001234,Eventyr (i Almindelighed),II,184,51
Pag101020,Reg001234,Eventyr (i Almindelighed),II,185,52
Pag101040,Reg001234,Eventyr (i Almindelighed),II,187,53
