RejseID	DestinationType	Destination_DA	Destination_EN	Destination_ORG	ArrivalDate	DepartureDate	ArrivalMethod	Latitude	Longitude
1	Departure	København	Copenhagen	København		1831-05-16		55.676098	12.568337
1	Passing through	Lübeck	Lübeck	Lübeck	1831-05-17	1831-05-17	🛳 Dampskib	53.865467	10.686559
1	Passing through	Schönberg	Schönberg	Schönberg	1831-05-17	1831-05-17	🐎 Postvogn	48.840641	13.336730
1	Stay	Hamborg	Hamburg	Hamburg	1831-05-18	1831-05-21	🐎 Postvogn	53.551086	9.993682
1	Passing through	Lüneburg	Lüneburg	Lüneburg	1831-05-22	1831-05-22	🐎 Postvogn	53.249950	10.408870
1	Stay	Braunschweig	Braunschweig	Braunschweig	1831-05-23	1831-05-25	🐎 Postvogn	52.2646577	10.5236066
1	Stay	Goslar	Goslar	Goslar	1831-05-25	1831-05-26	🐎 Postvogn	51.9059936	10.4266284
1	Passing through	Harzburg	Harzburg	Harzburg	1831-05-26	1831-05-26	🚶 Til fods	51.588694	10.757222
1	Passing through	Ilsenstein	Ilsenstein	Ilsenstein	1831-05-26	1831-05-26	🚶 Til fods	50.5492841	7.4671961
1	Stay	Brocken	Brocken	Brocken	1831-05-26	1831-05-27	🚶 Til fods	51.7991251	10.6156365
1	Passing through	Elbingerode	Elbingerode	Elbingerode	1831-05-27	1831-05-27	🚶 Til fods	51.6589571	10.2803803
1	Stay	Blankenburg	Blankenburg	Blankenburg	1831-05-27	1831-05-28	🚶 Til fods	51.7902676	10.9551991
1	Passing through	Felsenstein	Felsenstein	Felsenstein	1831-05-28	1831-05-28	🚶 Til fods	47.939418	16.698168
1	Passing through	Alexisbad	Alexisbad	Alexisbad	1831-05-28	1831-05-28	🚶 Til fods	51.6499442	11.1165337
1	Stay	Harzgerode	Harzgerode	Harzgerode	1831-05-28	1831-05-29	🚶 Til fods	51.6381169	11.1465703
1	Passing through	Leimbach	Leimbach	Leimbach	1831-05-29	1831-05-29	🚶 Til fods	50.0247623	6.2562458
1	Stay	Eisleben	Eisleben	Eisleben	1831-05-29	1831-05-30	🚶 Til fods	51.5283282	11.5465911
1	Passing through	Halle	Halle	Halle	1831-05-30	1831-05-30	🐎 Postvogn	51.4825041	11.9705452
1	Stay	Leipzig	Leipzig	Leipzig	1831-05-30	1831-06-01	🐎 Postvogn	51.3406321	12.3747329
1	Passing through	Oschatz	Oschatz	Oschatz	1831-06-02	1831-06-02	🐎 Postvogn	51.2979627	13.1081103
1	Stay	Dresden	Dresden	Dresden	1831-06-02	1831-06-10	🐎 Postvogn	51.0493286	13.7381437
1	Passing through	Potsdam	Potsdam	Potsdam	1831-06-11	1831-06-11	🐎 Postvogn	52.4009309	13.0591397
1	Stay	Berlin	Berlin	Berlin	1831-06-11	1831-06-16	🐎 Postvogn	52.5108638	13.3989421
1	Passing through	Spandau	Spandau	Spandau	1831-06-16	1831-06-16	🛺 Vogn	52.535788	13.1977924
1	Passing through	Ludwigslust	Ludwigslust	Ludwigslust	1831-06-17	1831-06-17	🛺 Vogn	52.58104705810547	12.318140029907227
1	Stay	Hamborg	Hamburg	Hamburg	1831-06-18	1831-06-21	🐎 Postvogn	53.550341	10.000654
1	Stay	Lübeck	Lübeck	Lübeck	1831-06-21	1831-06-23	🐎 Postvogn	53.865467	10.686559
1	Return	København	Copenhagen	København	1831-06-24		🛳 Dampskib	55.676098	12.568337
2	Departure	København	Copenhagen	København		1833-04-22		55.676098	12.568337
2	Passing through	Travemünde	Travemünde	Travemünde	1833-04-23	1833-04-23	🛳 Dampskib	53.939609	10.8587192
2	Passing through	Lübeck	Lübeck	Lübeck	1833-04-23	1833-04-23	🛳 Dampskib	53.866444	10.684738
2	Stay	Hamborg	Hamburg	Hamburg	1833-04-23	1833-04-27	🛺 Vogn	53.550341	10.000654
2	Passing through	Harburg	Harburg	Harburg	1833-04-27	1833-04-27	🛳 Dampskib	53.3172234	9.9084975
2	Passing through	Celle	Celle	Celle	1833-04-28	1833-04-28	🐎 Postvogn	52.624056	10.081052
2	Stay	Hannover	Hannover	Hannover	1833-04-28	1833-04-29	🐎 Postvogn	52.3744779	9.7385532
2	Passing through	Göttingen	Göttingen	Göttingen	1833-04-29	1833-04-29	🐎 Postvogn	51.5328328	9.9351811
2	Stay	Kassel	Kassel	Kassel	1833-04-30	1833-05-02	🐎 Postvogn	51.3154546	9.4924096
2	Stay	Frankfurt	Frankfurt	Frankfurt am Main	1833-05-03	1833-05-04	🐎 Postvogn	50.1106444	8.6820917
2	Stay	Mainz	Mainz	Mainz	1833-05-04	1833-05-05	🐎 Postvogn	50.0012314	8.2762513
2	Passing through	Mainz	Mainz	Mainz	1833-05-06	1833-05-06	🛳 Dampskib	50.0012314	8.2762513
2	Passing through	Koblenz	Koblenz	Koblenz	1833-05-06	1833-05-06	🛳 Dampskib	50.3533278	7.5943951
2	Passing through	Metz	Metz	Metz	1833-05-07	1833-05-07	🐎 Postvogn	49.1196964	6.1763552
2	Passing through	Verdun	Verdun	Verdun	1833-05-08	1833-05-08	🐎 Postvogn	49.1589278	5.3867277
2	Passing through	Meaux	Meaux	Meaux	1833-05-09	1833-05-09	🐎 Postvogn	48.9582708	2.8773541
2	Stay	Paris	Paris	Paris	1833-05-10	1833-08-15	🐎 Postvogn	48.8588897	2.320041
2	Passing through	Marburg	Marburg	Marburg	1833-05-22	1833-05-22	🐎 Postvogn	48.183363	-0.790039
2	Passing through	Sens	Sens	Sens	1833-08-15	1833-08-15	🐎 Postvogn	48.1978559	3.282606
2	Passing through	Dijon	Dijon	Dijon	1833-08-16	1833-08-16	🐎 Postvogn	47.3215806	5.0414701
2	Passing through	Poligny	Poligny	Poligny	1833-08-17	1833-08-17	🐎 Postvogn	48.224132	2.7448859
2	Stay	Genève	Geneva	Genève	1833-08-18	1833-08-22	🐎 Postvogn	46.2017559	6.1466014
2	Stay	Lausanne	Lausanne	Lausanne	1833-08-22	1833-08-24	🛳 Dampskib	46.5218269	6.6327025
2	Overnight stay	Neuchâtel	Neuchâtel	Neuchâtel	1833-08-24	1833-08-25	🛺 Vogn	46.9895828	6.9292641
2	Stay	Le Locle	Le Locle	Le Locle	1833-08-25	1833-09-14	🛺 Vogn	47.0555907	6.745454
2	Overnight stay	Neuchâtel	Neuchâtel	Neuchâtel	1833-09-14	1833-09-15	🛺 Vogn	46.9895828	6.9292641
2	Stay	Brig	Brig	Brig	1833-09-16	1833-09-19	🐎 Postvogn	46.3163457	7.9879473
2	Passing through	Simplon passet	Simplonpass	Simplonpass	1833-09-19	1833-09-19	🐎 Postvogn	46.2507524	8.0324567
2	Passing through	Domodossla	Domodossla	Domodossola	1833-09-19	1833-09-19	🐎 Postvogn	46.1152451	8.2920459
2	Overnight stay	Baveno	Baveno	Baveno	1833-09-19	1833-09-20	🐎 Postvogn	45.9089158	8.5050171
2	Passing through	Sesto	Sesto	Sesto	1833-09-20	1833-09-20	🛳 Dampskib	46.7027433	12.350544
2	Stay	Milano	Milan	Milano	1833-09-20	1833-09-27	🛺 Vogn	45.4641943	9.1896346
2	Overnight stay	Voghera	Voghera	Voghera	1833-09-27	1833-09-28	🐎 Postvogn	44.9926704	9.0086667
2	Overnight stay	Ronco all'Adige	Ronco all'Adige	Ronco all'Adige	1833-09-28	1833-09-29	🐎 Postvogn	45.3377659	11.2424521
2	Stay	Génova (Genua)	Génova	Génova	1833-09-29	1833-10-02	🐎 Postvogn	44.40726	8.9338624
2	Overnight stay	Sestri Lavante	Sestri Lavante	Sestri Levante	1833-10-02	1833-10-03	🛺 Vogn	44.2714526	9.3958627
2	Overnight stay	Sarzana	Sarzana	Sarzana	1833-10-03	1833-10-04	🛺 Vogn	44.1131762	9.9599823
2	Passing through	Lucca	Lucca	Lucca	1833-10-04	1833-10-04	🛺 Vogn	44.0177639	10.45443
2	Stay	Pisa	Pisa	Pisa	1833-10-04	1833-10-08	🛺 Vogn	43.4714722	10.6797912
2	Stay	Firenze	Florens	Firenze	1833-10-08	1833-10-13	🛺 Vogn	43.7697955	11.2556404
2	Overnight stay	Levane	Levane	Levane	1833-10-13	1833-10-14	🛺 Vogn	43.4985602	11.6186642
2	Overnight stay	Passignano sul Trasimeno	Passignano sul Trasimeno	Passignano sul Trasimeno	1833-10-14	1833-10-15	🛺 Vogn	43.1847425	12.136838
2	Overnight stay	Foligno	Foligno	Foligno	1833-10-15	1833-10-16	🛺 Vogn	42.9559744	12.7034782
2	Overnight stay	Terni	Terni	Terni	1833-10-16	1833-10-17	🛺 Vogn	42.6539486	12.4396528
2	Overnight stay	Nepi	Nepi	Nepi	1833-10-17	1833-10-18	🛺 Vogn	42.242824	12.34557
2	Stay	Rom	Rome	Roma	1833-10-18	1834-02-12	🛺 Vogn	41.8933203	12.4829321
2	Overnight stay	Velletri	Velletri	Velletri	1834-02-12	1834-02-13	🛺 Vogn	41.6867015	12.7770433
2	Stay	Terracina	Terracina	Terracina	1834-02-13	1834-02-14	🛺 Vogn	41.2871196	13.2492009
2	Overnight stay	S. Agata	S. Agata	S. Agata	1834-02-14	1834-02-15	🛺 Vogn	46.0708888	8.6857185
2	Passing through	Capua	Capua	Capua	1834-02-15	1834-02-15	🛺 Vogn	41.1079984	14.2097176
2	Stay	Napoli	Naples	Napoli	1834-02-15	1834-03-20	🛺 Vogn	40.8358846	14.2487679
2	Overnight stay	S. Agata	S. Agata	S. Agata	1834-03-20	1834-03-21	🛺 Vogn	46.0708888	8.6857185
2	Overnight stay	Terracina	Terracina	Terracina	1834-03-21	1834-03-22	🛺 Vogn	41.2871196	13.2492009
2	Overnight stay	Velletri	Velletri	Velletri	1834-03-22	1834-03-23	🛺 Vogn	41.6867015	12.7770433
2	Stay	Rom	Rome	Roma	1834-03-23	1834-04-01	🛺 Vogn	41.8933203	12.4829321
2	Overnight stay	Ronciglione	Ronciglione	Ronciglione	1834-04-01	1834-04-02	🛺 Vogn	42.2902415	12.2138064
2	Overnight stay	Aquapendente	Aquapendente	Aquapendente	1834-04-02	1834-04-03	🛺 Vogn	42.7439961	11.864988
2	Overnight stay	S. Quirico	S. Quirico	S. Quirico	1834-04-03	1834-04-04	🛺 Vogn	41.8449417	13.0732274
2	Overnight stay	Poggibonsi	Poggibonsi	Poggibonsi	1834-04-04	1834-04-05	🛺 Vogn	43.4677215	11.148762
2	Stay	Firenze	Florens	Firenze	1834-04-05	1834-04-15	🛺 Vogn	43.7697955	11.2556404
2	Overnight stay	Filigare	Filigare	Filigare	1834-04-15	1834-04-16	🛺 Vogn	44.1989423	11.3332427
2	Stay	Bologna (Bologne)	Bologna	Bologna	1834-04-16	1834-04-17	🛺 Vogn	44.4938203	11.3426327
2	Overnight stay	Ferrara	Ferrara	Ferrara	1834-04-17	1834-04-18	🛺 Vogn	44.7667642	11.827939
2	Overnight stay	Padova	Padova	Padova	1834-04-18	1834-04-19	🛺 Vogn	45.391408	11.8058487
2	Stay	Venedig	Venice	Venezia	1834-04-19	1834-04-22	🛺 Vogn	45.4371908	12.3345898
2	Overnight stay	Padova	Padova	Padova	1834-04-22	1834-04-23	🛺 Vogn	45.391408	11.8058487
2	Overnight stay	Villanuova	Villanuova	Villanuova	1834-04-23	1834-04-24	🛺 Vogn	45.2909958	10.0436756
2	Overnight stay	Borghetto all´ Adige	Borghetto all´ Adige	Borghetto all´ Adige	1834-04-24	1834-04-25	🛺 Vogn	45.6968932	10.9271072
2	Overnight stay	Trento (Trient)	Trento	Trento	1834-04-25	1834-04-26	🛺 Vogn	46.1029536	11.1297425
2	Overnight stay	Bolzano (Bozen)	Bolzano	Bolzano	1834-04-26	1834-04-27	🛺 Vogn	46.4984781	11.3547399
2	Passing through	Brennerpasset	Brenner pass	Brennerpass	1834-04-27	1834-04-27	🛺 Vogn	47.0073993	11.5066996
2	Stay	Innsbruck	Innsbruck	Innsbruck	1834-04-27	1834-04-29	🛺 Vogn	47.2654296	11.3927685
2	Overnight stay	Benediktbeuern	Benediktbeuern	Benediktbeuern	1834-04-29	1834-04-30	🐎 Postvogn	47.7060548	11.4100763
2	Stay	München	Munich	München	1834-04-30	1834-05-31	🐎 Postvogn	48.1371079	11.5753822
