RejseID	Title	YearRange	Departure	Return	Description	Countries	Cost
1	Rejse 1, 1831	1831	16. maj 1831	24. juni 1831	Flugt fra forelskelsen i Riborg Voigt	Tyskland	75-85 speciedaler = 150-170 rdl.
2	Rejse 2, 1833-1834	1833-1834	22. april 1833	3. august 1834		Tyskland, Frankrig, Schweiz, Italien, Østrig(-Ungarn)	Rejsestipendium bevilget 13.marts, i alt 1400 rdl.
3	Rejse 3, 1837	1837	20. juni 1837	19. juli 1837		Sverige	
4	Rejse 4, 1839	1839	22. juni 1839	1. juli 1839		Sverige	
5	Rejse 5, 1840	1840	13. april 1840	20. april 1840		Sverige	
6	Rejse 6, 1840-1841	1840-1841	31. oktober 1840	22. juli 1841		Tyskland, Østrig, Italien, Malta, Grækenland, Tyrkiet, Rumænien, Bulgarien, Serbien, Ungarn, Tjekkiet	
7	Rejse 7, 1843	1843	30. januar 1843	15. juni 1843		Tyskland, Belgien, Frankrig	
8	Rejse 8, 1844	1844	23. maj 1844	3. august 1844		Tyskland, Polen	
9	Rejse 9, 1845-1846	1845-1846	31. oktober 1845	14. oktober 1846		Tyskland, Tjekkiet, Østrig, Slovenien, Italien, Frankrig, Schweiz	
10	Rejse 10, 1847	1847	13. maj 1847	23. september 1847		Tyskland, Holland, England, Skotland, Belgien	
11	Rejse 11, 1849	1849	17. maj 1849	16. august 1849	Fjerde Sveriges-rejse. Inspireret af hyppigt samvær	Sverige	
12	Rejse 12, 1851	1851	24. maj 1851	10. september 1851	Fra festen på Glorup for de hjemvendte soldater til Tyskland, hvor Andersen bl.a. besøger Dannevirke	Tyskland, Tjekkiet (Østrig; Bøhmen)	
13	Rejse 13, 1852	1852	16. maj 1852	20. juli 1852	Besøger bl.a. arvestorhertugen Carl Alexander og	Tyskland, Schweiz, Italien	
14	Rejse 14, 1854	1854	8. maj 1854	6. juli 1854	Rejser sammen med Einar Drewsen, næstyngste søn af Adolph Drewsen og Ingeborg Collin.	Tyskland, Tjekkiet, Østrig, Slovenien, Italien	
15	Rejse 15, 1855	1855	28. juni 1855	30. september 1855	Rejser fra München sammen med Edgar Collin (søn af Edvards ældre bror Gottlieb Collin og Augusta Petzholdt).	Tyskland, Schweiz	
16	Rejse 16, 1856	1856	6. juni 1856	5. september 1856		Tyskland	
17	Rejse 17, 1857	1857	30. maj 1857	12. september 1857	Afrejse efter indbydelse til at besøge Charles Dickens.	Tyskland, Belgien, Frankrig, England	
18	Rejse 18, 1858	1858	15. juni 1858	29. august 1858	Rejser med Harald Drewsen (yngste søn af Adolph Drewsen og Ingeborg Collin).	Tyskland, Schweiz	
19	Rejse 19, 1860	1860	26. maj 1860	23. november 1860		Tyskland, Schweiz	
20	Rejse 20, 1861	1861	4. april 1861	1. september 1861	Rejser sammen med Jonas Collin den Yngre.	Tyskland, Schweiz, Frankrig, Italien	
21	Rejse 21, 1862-1863	1862-1863	23. juli 1862	31. marts 1863	Rejser sammen med Jonas Collin den Yngre.	Tyskland, Schweiz, Frankrig, Spanien, Marokko	
22	Rejse 22, 1865	1865	14. september 1865	13. oktober 1865	Femte Sveriges-rejse. Andersen træffer spontant beslutning om rejsen efter at have opgivet at rejse til hhv. Portugal og Paris.	Sverige	
23	Rejse 23, 1866	1866	31. januar 1866	9. september 1866	Rejsemål: Portugal	Tyskland, Holland, Belgien, Frankrig, Spanien, Portugal	Budget: 900 rdl.
24	Rejse 24, 1867	1867	11. april 1867	7. juni 1867	Besøger Verdensudstillingen i Paris	Tyskland, Frankrig, Schweiz	Budget 500 rdl.
25	Rejse 25, 1867	1867	1. september 1867	30. september 1867	Rejser sammen med Robert Watt og besøger igen Verdensudstillingen i Paris	Tyskland, Frankrig	
26	Rejse 26, 1868	1868	21. april 1868	4. juli 1868		Tyskland, Holland, Belgien, Frankrig, Schweiz	
27	Rejse 27, 1869-1870	1869-1870	10. september 1869	11. marts 1870		Tyskland, Tjekkiet, Østrig, Schweiz, Frankrig, Monaco, Belgien	Budget: 800 rdl. og kreditiver på 3.600 franc.
28	Rejse 28, 1871	1871	25. juli 1871	31. august 1871	Rejsemål (bl.a.): Norge og Bjørnstjerne Bjørnson.	Sverige, Norge	
29	Rejse 29, 1872	1872	6 apri. 1872	13. juni 1872	Rejser med William Bloch (yngre bror til maleren Carl Bloch).	Tyskland, Tjekkiet, Østrig, Italien	
30	Rejse 30, 1873	1873	14. april 1873	28. juli 1873	Rejser med Nicolai Bøgh	Tyskland, Schweiz	
