entity_id,label,category,country
Reg0000000,Abbotsford,Property,Skotland
Reg0000010,Abydos,Point of interest (POI),Grækenland
Reg0000020,Acquapendente,City,Italien
Reg0000030,Adamsthal,Point of interest (POI),Tyskland
Reg0000050,Adriaterhavet,Sea,Italien
Reg0000060,Afrika,Continent,Afrika
Reg0000070,Agersø,Island,Danmark
Reg0000080,Agnano-Søen,Lake,Italien
Reg0000090,Ahlhorn,City,Tyskland
Reg0000100,Aigle,City,Schweiz
Reg0000110,Ajaccio,City,Frankrig
Reg0000130,Akropolis,Point of interest (POI),Grækenland
Reg0000140,Ala,City,Italien
Reg0000150,Albanerbjergene,Mountain,Italien
Reg0000160,Albaner-Søen,Lake,Italien
Reg0000170,Albano Laziale,City,Italien
Reg0000180,Albula-Pas,Mountain,Schweiz
Reg0000190,Alcázar de San Juan,City,Spanien
Reg0000200,"Alcázar, Sevilla",Property,Spanien
Reg0000210,Alexandria,City,Egypten
Reg0000220,Alexisbad,City,Tyskland
Reg0000230,Alfeld,City,Tyskland
Reg0000240,Algeciras,City,Spanien
Reg0000250,Algier,City,Algeriet
Reg0000260,Alhambra,Property,Spanien
Reg0000270,Alicante,City,Spanien
Reg0000280,Almadén,City,Spanien
Reg0000290,Almansa,City,Spanien
Reg0000300,Almeria,City,Spanien
Reg0000310,Alperne,Mountain,Europa
Reg0000320,Alpnach,City,Schweiz
Reg0000330,Alpsee (ved Hohenschwangau),Lake,Tyskland
Reg0000340,Als,Island,Danmark
Reg0000350,Alssund,Sea,Danmark
Reg0000360,Alsteren,River,Tyskland
Reg0000370,Altenburg,City,Tyskland
Reg0000380,Altona,City,Tyskland
Reg0000390,Altorf,City,Schweiz
Reg0000400,Altstädten,City,Tyskland
Reg0000410,"Alveneu, Bad",City,Schweiz
Reg0000420,Alvesta,City,Sverige
Reg0000430,Alz,River,Tyskland
Reg0000440,Amager,Island,Danmark
Reg0000450,Amalfi,Region,Italien
Reg0000460,Amasra,City,Tyrkiet
Reg0000470,Amboise,Property,Frankrig
Reg0000480,Ambras,Property,Østrig
Reg0000490,Amerika (De Forenede Stater),Country,USA
Reg0000500,Amiens,City,Frankrig
Reg0000510,Amrum,Island,Tyskland
Reg0000520,Amsteg,City,Schweiz
