entity_id,label_da,matched_name_en,match_method,lat,lon,sv14_xml_id,geonames_url,wiki_url
Reg0000170,Albano Laziale,Albano Laziale,direct,41.72748,12.659,geo-3183356,https://www.geonames.org/3183356,https://en.wikipedia.org/wiki/Albano_Laziale
Reg0000450,Amalfi,Amalfi,direct,40.6349,14.60238,geo-3183130,https://www.geonames.org/3183130,https://en.wikipedia.org/wiki/Amalfi
Reg0000740,Apatin,Apatin,direct,45.6726,18.978,geo-3204793,https://www.geonames.org/3204793,https://en.wikipedia.org/wiki/Apatin
Reg0001170,Babakaj,Babakaj,direct,44.67296,21.67708,geo-685998,https://www.geonames.org/685998,
Reg0001270,Baia,Baia,direct,40.81667,14.06667,geo-3182488,https://www.geonames.org/3182488,https://en.wikipedia.org/wiki/Baiae
Reg0001460,Baumannshöhle,Baumannshöhle,direct,51.75517,10.84333,place-000025,,
Reg0002440,Bosporus,Bosporus,direct,41.10164,29.06097,geo-745043,https://www.geonames.org/745043,https://en.wikipedia.org/wiki/Bosphorus
Reg0002680,Breitenburg,Breitenburg,direct,53.90572,9.57041,geo-2944627,https://www.geonames.org/2944627,https://en.wikipedia.org/wiki/Breitenburg
Reg0003600,Catania,Catania,direct,37.49223,15.07041,geo-2525068,https://www.geonames.org/2525068,https://en.wikipedia.org/wiki/Catania
Reg0004890,Donau,Donau,direct,51.8,14.41667,geo-2936269,https://www.geonames.org/2936269,
Reg0005460,Elben,Elben,direct,50.75,7.83333,geo-6553378,https://www.geonames.org/6553378,https://en.wikipedia.org/wiki/Elben
Reg0006330,Florentin,Florentin,direct,44.13391,22.84752,geo-731593,https://www.geonames.org/731593,
Reg0006370,Fondi,Fondi,direct,41.35787,13.42718,geo-3176843,https://www.geonames.org/3176843,https://en.wikipedia.org/wiki/Fondi
Reg0006550,Frederiksborg Slot,Frederiksborg Slot,direct,55.93451,12.30041,geo-2621938,https://www.geonames.org/2621938,https://en.wikipedia.org/wiki/Frederiksborg_Castle
Reg0006720,Fruens Bøge,Fruens Bøge,direct,55.36867,10.37796,geo-2621824,https://www.geonames.org/2621824,
Reg0006820,Fürth,Fürth,direct,49.47593,10.98856,geo-2923544,https://www.geonames.org/2923544,https://en.wikipedia.org/wiki/F%C3%BCrth
Reg0006920,Galata,Galata,direct,41.02602,28.97451,geo-747059,https://www.geonames.org/747059,https://en.wikipedia.org/wiki/Galata
Reg0007130,Genzano di Roma,Genzano di Roma,direct,41.70706,12.68904,geo-3176203,https://www.geonames.org/3176203,https://en.wikipedia.org/wiki/Genzano
Reg0007150,Gernrode,Gernrode,direct,51.72575,11.13876,geo-2920999,https://www.geonames.org/2920999,
Reg0007610,Grossenhain,Großenhain,direct,51.28951,13.5335,geo-2916630,https://www.geonames.org/2916630,https://en.wikipedia.org/wiki/Gro%C3%9Fenhain
Reg0008530,Hietzing,Hietzing,direct,48.18623,16.2965,geo-2776421,https://www.geonames.org/2776421,
Reg0008720,Hohnstein,Hohnstein,direct,50.9833,14.1167,geo-6550820,https://www.geonames.org/6550820,https://en.wikipedia.org/wiki/Hohnstein
Reg0009300,Ilok,Ilok,direct,45.22222,19.37694,geo-3199128,https://www.geonames.org/3199128,
Reg0009310,Ilse,Ilse,direct,52.0688,10.56996,geo-2896492,https://www.geonames.org/2896492,https://en.wikipedia.org/wiki/Ilse_%28Oker%29
Reg0009390,Inn,Inn,direct,48.57161,13.4625,geo-2775280,https://www.geonames.org/2775280,https://en.wikipedia.org/wiki/Inn_%28river%29
Reg0009480,Isar,Isar,direct,48.8,12.98333,geo-2895727,https://www.geonames.org/2895727,https://en.wikipedia.org/wiki/Isar
Reg0009850,Jüterbog,Jüterbog,direct,51.99607,13.07979,geo-2894394,https://www.geonames.org/2894394,
Reg0010110,Kazan,Kazan,direct,44.66667,22.3,geo-682504,https://www.geonames.org/682504,
Reg0010490,Kolonos,Kolonós,direct,37.99495,23.7139,geo-8740136,https://www.geonames.org/8740136,https://en.wikipedia.org/wiki/Colonus
Reg0010690,Kronborg,Kronborg,direct,56.03876,12.62162,geo-2618192,https://www.geonames.org/2618192,https://en.wikipedia.org/wiki/Kronborg
Reg0010720,Kuhstall,Kuhstall,direct,50.92561,14.25651,geo-2942244,https://www.geonames.org/2942244,https://en.wikipedia.org/wiki/Kuhstall_%28Saxon_Switzerland%29
