entity_id,label,lang,method,confidence
Reg001445,Gesammelte Werke (1847-72),de,detector_cue,0.594
Reg000281,Aus Herz und Welt (1860),de,detector_cue,0.468
Reg001238,Eventyr. Med 125 Ill. efter Originaltegninger af V. Pedersen (1850 Ͻ: 1849),da,detector,0.66
Reg002543,Nye Eventyr og Historier. 1.-2. Række (1858-66),da,detector,0.781
Reg002545,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 1. Samling (1858),da,detector,0.752
Reg002546,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 1. Samling (1858) - 4 Opl. (1865),da,detector,0.778
Reg002553,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Samling (1858),da,detector,0.752
Reg002556,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Samling (1859),da,detector,0.752
Reg002557,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Samling (1859) - 2. Opl. (1861),da,detector,0.778
Reg002558,Nye Eventyr og Historier. 1.-2. Række (1858-66) -4. Samling (1860),da,detector,0.752
Reg002544,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 1. Række (1860),da,detector,0.781
Reg002547,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 1. Samling (1861),da,detector,0.752
Reg002548,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 1. Samling (1861) - 2. Opl. (1869),da,detector,0.778
Reg002549,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 2. Samling (1861),da,detector,0.752
Reg002550,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 2. Samling (1861) - 2. Opl. (1865),da,detector,0.778
Reg002551,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række. 3. Samling (1865),da,detector,0.752
Reg002552,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række. 4. Samling (1866),da,detector,0.752
Reg002554,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Række. 1. Samling (1872),da,detector,0.752
Reg002555,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Række. 2. Samling (1872),da,detector,0.752
Reg001235,Eventyr og Historier. Med Ill. efter Originaltegninger af V. Pedersen. I-II (1862-63),da,detector,0.701
Reg001236,Eventyr og Historier. Med Ill. efter Originaltegninger af V. Pedersen. I-II (1862-63) - Nyt Opl. (1873),da,detector,0.751
Reg002562,Nye Eventyr og Historier. Med Ill. efter Originaltegninger af Lorenz Frølich I (1870),da,detector,0.694
Reg002560,Nye Eventyr og Historier. Med Ill. efter Originaltegninger af Lorenz Frølich - II (1871),da,detector,0.691
Reg002561,Nye Eventyr og Historier. Med Ill. efter Originaltegninger af Lorenz Frølich - III (1874),da,detector,0.703
Reg000327,Bemærkninger til Eventyr og Historier  - 1862:,da,detector,0.869
Reg000328,Bemærkninger til Eventyr og Historier  - 1868:,da,detector,0.869
Reg000329,Bemærkninger til Eventyr og Historier  - 1870:,da,detector,0.869
Reg000330,Bemærkninger til Eventyr og Historier  - 1874:,da,detector,0.869
Reg002695,Planer om en Godtkøbs-Udgave af samtlige Eventyr 1875,da,detector,0.883
Reg000130,"Aamanden, 
se: Klokkedybet",da,detector,0.866
Reg003613,»Der er Forskjel«,da,detector,0.866
Reg000856,"Det suser giennem det gamle Træ, 
se: Hvad gamle Johanne fortalte",da,detector,0.723
Reg001239,"Eventyrbogen, 
se: Krøblingen",da,detector,0.666
Reg000851,Det gamle Egetræes sidste Drøm,da,detector,0.986
Reg000708,Den gamle Gadeløgte,da,detector,0.926
Reg001415,"Gamle Margrethe, 
se: Noget",da,detector,0.82
Reg001424,Gartneren og Herskabet,da,detector,0.802
Reg001656,"Hvad Fatter gjør, det er altid det Rigtige",da,detector,0.909
Reg001658,Hvad Tidselen oplevede,da,detector,0.72
Reg001887,Keiserens nye Klæder,da,detector,0.802
