page_id,entity_id,entity_label,vol,page,seq
Pag060001,P1324800,"Bentley, Richard (1794–1871)",VI,1,1
Pag060001,P1324800,"Bentley, Richard (1794–1871)",VI,1,2
Pag060001,P1324800,"Bentley, Richard (1794–1871)",VI,1,3
Pag060001,P1324800,"Bentley, Richard (1794–1871)",VI,1,4
Pag060002,P1106400,"Anholm, Georg Laurids (1846–1888)",VI,2,1
Pag060002,P1106400,"Anholm, Georg Laurids (1846–1888)",VI,2,2
Pag060002,P1106400,"Anholm, Georg Laurids (1846–1888)",VI,2,3
Pag060002,P1106400,"Anholm, Georg Laurids (1846–1888)",VI,2,4
Pag060002,P1107800,"Anholm, Joachime, f. Oppermann (1812–1886)",VI,2,5
Pag060002,P1107800,"Anholm, Joachime, f. Oppermann (1812–1886)",VI,2,6
Pag060002,P1107800,"Anholm, Joachime, f. Oppermann (1812–1886)",VI,2,7
Pag060002,P1107800,"Anholm, Joachime, f. Oppermann (1812–1886)",VI,2,8
Pag060003,P1381000,"Beskow, Bernhard von, Friherre (1796–1868)",VI,3,1
Pag060003,P1381000,"Beskow, Bernhard von, Friherre (1796–1868)",VI,3,2
Pag060003,P1381000,"Beskow, Bernhard von, Friherre (1796–1868)",VI,3,3
Pag060003,P1381000,"Beskow, Bernhard von, Friherre (1796–1868)",VI,3,4
Pag060003,P1381000,"Beskow, Bernhard von, Friherre (1796–1868)",VI,3,5
Pag060053,P1002200,"Aabye, Johan Peter (1818–1880)",VI,53,1
Pag060053,P1002200,"Aabye, Johan Peter (1818–1880)",VI,53,2
Pag060004,P1105600,"Anholm, Anna (1854–1935)",VI,4,1
Pag060004,P1105600,"Anholm, Anna (1854–1935)",VI,4,2
Pag060004,P1105600,"Anholm, Anna (1854–1935)",VI,4,3
Pag060004,P1105600,"Anholm, Anna (1854–1935)",VI,4,4
Pag060004,P1105600,"Anholm, Anna (1854–1935)",VI,4,5
Pag060004,P1140400,"Artot, Désirée (1835–1907)",VI,4,6
Pag060004,P1140400,"Artot, Désirée (1835–1907)",VI,4,7
Pag060004,P1140400,"Artot, Désirée (1835–1907)",VI,4,8
Pag060004,P1140400,"Artot, Désirée (1835–1907)",VI,4,9
Pag060004,P1140400,"Artot, Désirée (1835–1907)",VI,4,10
Pag070310,P1003600,"Aagesen, Andreas (1826–1879)",VII,310,1
Pag070310,P1003600,"Aagesen, Andreas (1826–1879)",VII,310,2
Pag070310,P1409600,"Bille, C. St. A. (1828–1898)",VII,310,3
Pag070310,P1409600,"Bille, C. St. A. (1828–1898)",VII,310,4
Pag060105,P1005800,"Aarsleff, Hans Christian (1812–1878)",VI,105,1
Pag060105,P1005800,"Aarsleff, Hans Christian (1812–1878)",VI,105,2
Pag060105,P1005800,"Aarsleff, Hans Christian (1812–1878)",VI,105,3
Pag060067,P1006000,"Aarøe, Christian (1828–1886)",VI,67,1
Pag060067,P1006000,"Aarøe, Christian (1828–1886)",VI,67,2
Pag060067,P1006000,"Aarøe, Christian (1828–1886)",VI,67,3
