event_id,year,quarter,date_iso,ordering,title_da,title_en,text_da,text_en,bookmark_title_da,bookmark_title_en,legacy_slug,year_heading_da,year_heading_en,source_id
T0001,1805,1,1805-02-02,1,,,H.C. Andersens forældre giftes.,HCA's parents are married.,H.C. Andersen fødes,The Birth of Hans Christian,foedes,Fødsel og baggrund,Birth and Background,1
T0002,1805,2,1805-04-02,2,,,"H.C. Andersen fødes i Odense. Hjemmedøbt samme dag.
Det er samtidig fireårsdagen for slaget på Københavns Red (1801). Dette fatale slag bliver indledningen til Danmarks nationale og økonomiske nedtur, der kulminerer med statsbankerotten i 1813 og tabet af Norge i 1814. Samtidig bliver det startskuddet til den danske litterære romantik.","Hans Christian Andersen is born in Odense. Christened at home on the same day.
It is also the 4th anniversary of the battle of Copenhagen (1801). This fatal battle marks the start of Denmark's national and economic decline, which culminates in the bankruptcy of the state in 1813 and the loss of Norway in 1814. These events also coincide with the outset of romanticism in Danish literature.",,,,Fødsel og baggrund,Birth and Background,2
T0003,1805,2,1805-04-16,3,,,"HCAs dåb bekræftes i Skt. Hans Kirke. Blandt fadderne er ""Portner i Hospitalet Gomard"" (portner ved Gråbrødre Hospital Nicolas Gomard), som er en af dem, der senere er blevet draget frem som en mulig ""rigtig"" far til HCA. Påstanden om paterniteten (faderskabet) er en overlevering i familien Gomard.</p> <p>Adam Oehlenschläger udgiver dette år sine <em>Poetiske skrifter</em>, hvori indgår eventyrspillet <em>Aladdin,</em> der blev retningsgivende for en hel tidsalders digtning, og som HCA senere selv spejlede sig i, både personligt og litterært. Hans sidste roman, <em><a href=""http://www.andersen.sdu.dk/vaerk/register/info.html?vid=406"">Lykke-Peer</a></em> (1870), munder ud i, at Peer skaber og fremfører en opera med titlen <em>Aladdin</em>","HCA's christening is certified in St. Hans Church. Amongst the godparents are ""Porter at the hospital Gomard"" (Nicolas Gomard, porter at Gråbrødre Almshouse). He is one of the men later singled out as a possible ""real"" father of HCA. The paternity claim stems from a story handed down in the Gomard family.</p> <p>In this year, Adam Oehlenschläger publishes his <em>Poetiske Skrifter (Poetic Writings)</em>. This work includes the fairy play <em>Aladdin</em>, which became normative for the poetry of an entire period, and which later provided HCA with much inspiration, both personally and from a literary point of view. In his final novel from 1870, <em>Lykke Peer(Lucky Peter)</em>, the hero ends up writing and performing an opera titled <em>Aladdin.</em>",,,,Fødsel og baggrund,Birth and Background,3
T0004,1805,,1805-00-00,4,Fødested,Place of birth,"Må anses for ukendt. Hjørnehuset i Hans Jensensstræde (grundstammen i det nuværende HCA-museum) er senere blevet udlagt som fødestedet, men HCA har aldrig vedkendt sig dette, og var ikke selv i stand til at angive fødestedet præcist. Formodentlig fordi forældrene først flyttede sammen 3/4 år efter barnets fødsel.","Must be considered unknown. The corner-house in the street called Hans Jensens Stræde (the foundation of the present HCA museum) has later been regarded as the place of birth, but HCA has never acknowledged this and was not himself able to name the exact place of birth. Presumably because the parents did not live together until 9 months after the birth of the child.",Familien,The Family,baggrund,Fødsel og baggrund,Birth and Background,4
T0005,1805,,1805-00-00,5,Forældre,Parents,"Anne Marie Andersdatter (f. enten 1773 eller 1775, d. 1833 i fattigstiftelsen Doctors Boder) og skomagersvend, senere friskomager (dvs. skomager uden for lauget) Hans Andersen (f. 1782, d. 1816) i mandtalslister også betegnet som Hans Hansen Piber (Piber refererer til hans funktion i Odense Borgervæbnings 3. kompagni).","Anne Marie Andersdatter (born either 1773 or 1775, died 1833 in the almshouse 'Doctors Boder' and Hans Andersen (born 1782, died 1816), in census papers also called Hans Hansen Piper (Piper referring to his position in the Odense Civic Guards 3rd Company), who was a shoemaker, later an independent shoemaker (i.e. shoemaker not affiliated with the guild)",,,,Fødsel og baggrund,Birth and Background,5
T0006,1805,,1805-00-00,6,Halvsøster,Half Sister,"Karen Marie (f. den 22. september 1799, d. 18. november 1846 i Trinitatis sogn, København - adressen Borgergade og registreret som Ane Kaufmann (med hendes samlevers navn) f. Andersen - 18. november 1846.<br> Karen Maries far var pottemagersvend Daniel Jørgensen Rosenvinge. Ved konfirmationen i Skt. Knuds Kirke i oktober 1814 registreret med faderens navn Rosenvinge. Som født uden for ægteskab anbragt hos HCAs mormor og ved moderens senere ægteskab anbragt uden for hjemmet. Rejste til København (som blind passager) i november 1822 (ifølge brev fra HCAs mor til ham for at opsøge ham. HCA var dog på denne tid i skole i Slagelse). Ernærede sig som vaskekone i København. Opsøgte HCA 1842.","Karen Marie (born 22nd September 1799, died 18th November 1846 in Trinitatis parish, Copenhagen - the address Borgergade and registered as Ane Kaufmann (the name of her common law husband), née Andersen.<br> Karen Marie's father was a potter named Daniel Jørgensen Rosenvinge. She was registered under the father's name, Rosenvinge, at confirmation in St. Knuds Church, in October 1814. Being born out of wedlock, she was placed with HCA's maternal grandmother, and when the mother later married, placed outside the home. Travelled to Copenhagen (as a stowaway passenger) in November 1822 (according to a letter from HCA's mother to him, in order to seek him out. HCA was, however, at school in Slagelse at this time). Earned a living as a washerwoman in Copenhagen. Sought out HCA in 1842.",,,,Fødsel og baggrund,Birth and Background,6
T0007,1805,,1805-00-00,7,Moster,Aunt,"Christiane, f. 1778, d. 1830. Hendes mor (HCAs mormor) var 1778 ugift. Far: sadelmagersvend i Odense Johan Gottfred Meyer Fascher. Moderen tog hende med ind i ægteskab 1783 med skrædder Jens Pedersen, Odense. Ved folketællingen 1787 kaldes hun Christiane Gotlib. Rejste til København, formodentlig 1799 sammen med en familie, hun var tjenestepige hos.<br> HCA opsøgte hende i 1819, hvor det viste sig, at hun holdt horehus. Hun opgav selv at være enke efter en rig søkaptajn ved navn Jansen. En sådan har aldrig eksisteret. Formodentlig har hun taget navnet og glansen fra en bådsmand Gert Jansen, der omkom 1806, og som hun måske har levet sammen med. Hendes to døtre; Gertine og Lovise, er antagelig plejebørn og således ikke stammødre til senere HCA-""slægtninge"".","Christiane, born 1778, died 1830. Her mother (HCA's maternal grandmother) was not married in 1778. Her father: Johan Gottfred Meyer Fascher, saddlemaker in Odense. When her mother married the tailor Jens Pedersen in Odense in 1783, she kept the child with her. In the census of 1787 she is called Christiane Gotlib. Moved to Copenhagen, presumably in 1799, with a family she was maid for.<br> HCA sought her out in 1819, when it turned out that she ran a brothel. She herself claimed to be the widow of a wealthy sea captain named Jansen, although such a person never existed. Presumably she has taken the name and fame from a boatsman named Gert Jansen, who died in 1806, and with whom she may have lived. Her two daughters; Gertine and Lovise, are most likely foster children and therefore not the ancestors of later HCA ""relatives"".",,,,Fødsel og baggrund,Birth and Background,7
T0008,1805,,1805-00-00,8,Mormor,Maternal Grandmother,"Anna Sørensdatter (f. ca. 1745, d. 1825), gift og enke to gange, fødte inden da 3 børn uden for ægteskab (deriblandt HCAs mor). Efter sag om det 3. uægte barn blev hun 1783 sat 8 dage i fængsel på Odense Rådhus. Hendes første mand, Jens Pedersen (som hun giftede sig med 1783) sad 1782-83 i Odense Tugthus for at have skudt på en herregårdsskytte. Hendes anden mand (fra 1794), handskemagersvend Jørgen Rasmussen Sievert, blev natvægter, først i Odense, efter problemer dér fra 1804 i Bogense.<br> Anna Sørensdatter og Jørgen Rasmussen Sievert boede januar 1803 til juli 1804 i det hjørnehus i Hans Jensens Stræde, der senere blev udlagt som HCAs fødehjem. Her blev HCAs halvsøster sat i pleje.<br> Anna Sørensdatter døde som almisselem på Hospitalet (fattighuset) i Bogense.","Anna Sørensdatter (born approx. 1745, died 1825), married and widowed twice. Before then she gave birth to 3 children out of wedlock (amongst these HCA's mother). As a result of a case concerning the 3rd child, she was detained in prison for 8 days at Odense Town Hall in 1783. Her first husband, Jens Pedersen, (whom she married in 1783) was himself in Odense Prison from 1782-83 for having shot at a gamekeeper. Her second husband (from 1794), the glover Jørgen Rasmussen Sievert, became night watchman, first in Odense and after problems there, in Bogense from 1804<br> Anna Sørensdatter and Jørgen Rasmussen Sievert lived from January 1803 until July 1804 in the same corner-house in Hans Jensens StrŒde (street) which would later be designated as HCA's birthplace. It was here that HCA's half-sister was put into foster care.<br> Anna Sørensdatter died as a resident of ""Hospitalet"" (the almshouse) in Bogense.",,,,Fødsel og baggrund,Birth and Background,8
T0009,1805,,1805-00-00,9,Morfar,Maternal Grandfather,Ukendt,Unknown,,,,Fødsel og baggrund,Birth and Background,9
T0010,1805,,1805-00-00,10,Farmor,Paternal Grandmother,"Anne Cathrine Nommensen eller Nomensdatter (f. 1745, d. 1822). Gift 1781. Hun var den af HCAs bedsteforældre, der stod ham nærmest. Ifølge <em><a href=""http://www.andersen.sdu.dk/vaerk/register/info.html?vid=802"">Mit Livs Eventyr</a></em> har hun fortalt HCA, at hun og hendes mand havde været velstående bønderfolk, som uforskyldt var kommet i fattigdom, og at hendes mormor var en adelig dame fra Kassel i Tyskland, som var løbet bort med en ""komediant-spiller"". Denne myte har muligvis været med til at motivere HCAs egen sociale opdrift.<br> I virkeligheden var farfaren en fattig landsbyhåndværker og drev et muligvis en tid også et lille husmandsbrug. I Odense arbejdede han en overgang som skomagersvend.<br> Farmorens far (Nomen Nomensen, 1707-87, gift 1742 i Kappel med Karen Sørensdatter, hvis far var postrider i Assens Søren Jensen) var en holstensk handskemagersvend, der slog sig ned i Odense, hvor han og hans kone endte på fattiggården.<br> Hendes mormor var ikke tysk adelsdame, men en fattig dansk pige, Karen Nielsdatter, der blev gift med den ovenfor omtalte postrytter i Assens. Denne døde 1754 og efterlod enke og 8 børn i dybeste fattigdom.","Anne Cathrine Nommensen or Nomensdatter (born 1745, died 1822). Married 1781. Of all HCA's grandparents, she was the one he felt closest to. According to the autobiography <em>Mit Livs Eventyr (The Fairy Tale of My Life )</em>, she had told HCA that she and her husband had been well-to-do farmers, who through no fault of their own ended up poverty-stricken, and that her maternal grandmother had been a noble lady from Kassel in Germany, who had run away with a ""comedy actor"". This story may have been a motivating factor in HCA's own upward social mobility.<br> In reality, the paternal grandfather was a poor village tradesman, who also possibly for a time had a small farm. For a period of time he worked in Odense as a shoemaker.<br> The father of the paternal grandmother, Nomen Nomensen, 1707-87, was a glover from Holstein, who settled in Odense. He was married in Kappel in 1742 to Karen Sørensdatter, whose father, Søren Jensen, was a postal rider in Assens. Nomensen and his wife eventually ended up at the almshouse in Odense.<br> The maternal grandmother of Anne Cathrine Nommensen was not a German noblewoman, but rather a poor Danish girl, Karen Nielsdatter, who married the above-mentioned postal rider in Assens. After his death in 1754, the widow and 8 children were left in severe poverty.",,,,Fødsel og baggrund,Birth and Background,10
