seq,year_inferred,date_raw,text_da,section_label,source_file
1,1825,1.10. 1825,Oprykket i fjerde klasse.,Tidstavle 1825-1834,hcadag01_031_XXXI.xhtml
2,1825,27.10.1825,"Flyttet fra madam Henneberg, hvor han hidtilhavde boet, til rektor Meislings hjem.",Tidstavle 1825-1834,hcadag01_031_XXXI.xhtml
3,1825,19.-28.12.1825,Juleferie i København hos kommandørkaptajnP. F. Wulff.,Tidstavle 1825-1834,hcadag01_031_XXXI.xhtml
4,1836,21.4.,»O.T. original Roman i to Dele«.,Tidstavle 1836-1844,hcadag02_012_XII.xhtml
5,1836,1.6.,Fra København til Næstved. (Sommerferierejse).,Tidstavle 1836-1844,hcadag02_012_XII.xhtml
6,1836,2.—7.6.,Næstved.,Tidstavle 1836-1844,hcadag02_012_XII.xhtml
7,1836,5.6,Kjøng kirke; klokketårnet.,Tidstavle 1836-1844,hcadag02_012_XII.xhtml
8,1836,8.6.,Fra Næstved til Sorø.,Tidstavle 1836-1844,hcadag02_012_XII.xhtml
9,1836,9.6.,Fra Sorø til Slagelse.,Tidstavle 1836-1844,hcadag02_012_XII.xhtml
10,1836,10.6.,Slagelse. Væddeløb.,Tidstavle 1836-1844,hcadag02_012_XII.xhtml
11,1837,7.4.,"»Eventyr, fortalte for Børn. Tredie Hefte«(Den lille Havfrue. Keiserens nye Klæder).",Tidstavle 1836-1844,hcadag02_012_XII.xhtml
12,1837,20.6.,Fra København til Helsingør.,Tidstavle 1836-1844,hcadag02_012_XII.xhtml
13,1837,21.6.,Helsingør.,Tidstavle 1836-1844,hcadag02_012_XII.xhtml
14,1837,22.6.,Fra Helsingør til Helsingborg.,Tidstavle 1836-1844,hcadag02_012_XII.xhtml
15,1837,23.6.,Fra Helsingborg over Laholm og Halmstadtil Falkenberg.,Tidstavle 1836-1844,hcadag02_012_XII.xhtml
16,1837,24.6.,Fra Falkenberg over Varberg til Göteborg.,Tidstavle 1836-1844,hcadag02_012_XII.xhtml
17,1845,7.4.,"Nye Eventyr. Tredie Samling. (Elverhøi, Derøde Skoe, Springfyrene, Hyrdinden ogSkorsteensfeieren, Holger Danske).",Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
18,1845,31.10.—1.11.,"Fra København over Roskilde, Korsør-Nyborg til Glorup.",Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
19,1845,1.—10.11.,"Glorup, gæst hos grev Gebhard Moltke-Hvitfeldt.",Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
20,1845,10.11.,Fra Glorup til Odense.,Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
21,1845,11.11.,"Fra Odense over Assens-Aarøsund og Haderslev til Aabenraa.",Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
22,1845,12.11.,"Fra Aabenraa til Graasten, gæst hos hertugChristian August af Augustenborg.",Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
23,1845,12.—22.11.,Graasten.,Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
24,1845,14.11.,Besøg på Augustenborg.,Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
25,1845,22.11.,Fra Graasten til Flensborg.,Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
26,1845,23.11.,Fra Flensborg over Rendsborg til Altona ogHamburg.,Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
27,1845,23.—27.11.,Hamburg. Otto Speckter.,Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
28,1845,27.—28.11.,Fra Hamburg til Bremen.,Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
29,1845,28.—29.11.,Bremen.,Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
30,1845,29.11.,Fra Bremen til Oldenburg.,Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
31,1845,29.11.—17.12.,"Oldenburg, gæst hos Wilhelm von Eisendecher. Flere gange hos storhertug August afOldenburg.",Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
32,1845,17.12.,Fra Oldenburg over Delmenhorst til Hannover.,Tidstavle 1845-1850,hcadag03_013_XIII.xhtml
33,1851,2.—20.2.,Soldaternes indtog i København.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
34,1851,10.2.,»Landsoldatens Hjemkomst«.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
35,1851,18.2.,»Fædrelandske Vers og Sange under Krigen«.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
36,1851,6.3.,Fru Emma Hartmann død.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
37,1851,9.3.,H. C. Ørsted død.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
38,1851,13.3.,Fru Hartmanns begravelse.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
39,1851,18.3.,H. C. Ørsteds begravelse.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
40,1851,19.5.,»I Sverrig«.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
41,1851,24.5.,Fra København til Christinelund.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
42,1851,24.5.—2.6.,Christinelund.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
43,1851,2.6.,Fra Christinelund over Kallehave-Svendborgtil Glorup.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
44,1851,2.6.—17.7.,Glorup.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
45,1851,28.6.,"Ministeriet A. W. Moltke (novemberministeriet) demissionerer efter russisk tryk.",Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
46,1851,7.7.,"Fest på Glorup for godsets hjempermitterede soldater.",Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
47,1851,13.7.,Nyt ministerium A. W. Moltke (juliministeriet).,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
48,1851,17.—19.7.,"Fra Glorup til Svendborg, derfra med ViggoDrewsen over Flensborg (overnatning18.7.) til Slesvig.",Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
49,1851,19.—20.7.,Slesvig. Hans Helgesen. Besøg på Dannevirke.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
50,1851,20.7.,Fra Slesvig til Hamburg.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
51,1851,21.7.,Hamburg.,Tidstavle 1851-1860,hcadag04_013_XIII.xhtml
52,1860,20.12. 1860—4.1. 1861,Basnæs.,Tidstavle 1861-1863,hcadag05_012_XII.xhtml
53,1861,4.1.,Fra Basnæs til København.,Tidstavle 1861-1863,hcadag05_012_XII.xhtml
54,1861,4.1.—4.4.,København.,Tidstavle 1861-1863,hcadag05_012_XII.xhtml
55,1861,2.3.,"Nye Eventyr og Historier. Anden Række.(Tolv med Posten, Skarnbassen, HvadFatter gjør, det er altid det Rigtige, De Vises Steen, Sneemanden, I Andegaarden,Det nye Aarhundredes Musa).",Tidstavle 1861-1863,hcadag05_012_XII.xhtml
56,1861,4.4.,Fra København til Sorø.,Tidstavle 1861-1863,hcadag05_012_XII.xhtml
57,1861,5.4.,"Med Jonas Collin fra Sorø til Korsør, derframed skib til Flensborg.",Tidstavle 1861-1863,hcadag05_012_XII.xhtml
58,1861,6.4.—8.4.,Fra Flensborg over Harburg (overnatning6.4.)og Kassel (overnatning 7.4.)til Frankfurt.,Tidstavle 1861-1863,hcadag05_012_XII.xhtml
59,1861,9.4.,Fra Frankfurt til Basel.,Tidstavle 1861-1863,hcadag05_012_XII.xhtml
60,1861,9.4.—11.4.,Basel.,Tidstavle 1861-1863,hcadag05_012_XII.xhtml
61,1861,11.4.,Fra Basel til Neuchâtel.,Tidstavle 1861-1863,hcadag05_012_XII.xhtml
62,1861,11.4.—13.4.,Neuchâtel.,Tidstavle 1861-1863,hcadag05_012_XII.xhtml
63,1861,13.4.—16.4.,"Fra Neuchâtel over Genève (overnatning13.4.), Lyon (overnatning 14.4.)og Avignon (overnatning 15.4.) til Marseille.",Tidstavle 1861-1863,hcadag05_012_XII.xhtml
64,1861,17.4.—18.4.,"Fra Marseille til Toulon, derfra om nattenmed diligence over Cannes til Nice.",Tidstavle 1861-1863,hcadag05_012_XII.xhtml
65,1861,18.4.—21.4.,Nice.,Tidstavle 1861-1863,hcadag05_012_XII.xhtml
66,1861,21.4.—22.4.,"Fra Nice med diligence over Oneglia (overnatning 21.4.)og Savona til Genua.",Tidstavle 1861-1863,hcadag05_012_XII.xhtml
67,1864,1.1.—5.1.,Basnæs.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
68,1864,5.1.,Fra Basnæs til København.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
69,1864,5.1.—3.6.,København.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
70,1864,1.2.,Krigen bryder ud. Tyskerne går overEjderen.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
71,1864,2.2.,Kampen ved Mysunde.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
72,1864,5.2.,Dannevirke rømmes.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
73,1864,6.—7.2.,Uroligheder i København.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
