subject_id,subject_da,subject_en,group_da,group_en,source_id
S0001,Adresser (København),Addresses (Copenhagen),,,1
S0002,Arbejderforeningen,Workers' union,,,2
S0003,Belysning,Lighting,,,3
S0004,Biografiske fremstillinger,Biographic presentations,,,4
S0005,Bordelbesøg,"Brothels, visits at",,,5
S0006,Buster og statuer,Busts and statues,,,6
S0007,Artikler,Articles,Danske værker,Danish Works,7
S0008,"Collager, papirklip m.m.","Collages, paper cuttings etc.",Danske værker,Danish Works,8
S0009,"Digte, enkelte","Poems, separate",Danske værker,Danish Works,9
S0010,"Digte, samlinger","Poems, collections",Danske værker,Danish Works,10
S0011,"Digte, sat i musik","Poems, expressed in music",Danske værker,Danish Works,11
S0012,"Eventyr, enkeltudgaver","Fairy-tales, separate publications",Danske værker,Danish Works,12
S0013,"Eventyr, samlinger","Fairy-tales, collections",Danske værker,Danish Works,13
S0014,Eventyr (omtale),Fairy-tales (comments),Danske værker,Danish Works,14
S0015,Memoirer,Memoirs,Danske værker,Danish Works,15
S0016,Operaer,Operas,Danske værker,Danish Works,16
S0017,Rejseskildringer,Travelogues,Danske værker,Danish Works,17
S0018,Romaner,Novels,Danske værker,Danish Works,18
S0019,Skuespil m.m.,"Plays, acting etc.",Danske værker,Danish Works,19
S0020,Studenterrevy,Student revue,Danske værker,Danish Works,20
S0021,Syngestykker,"Singspiels, ballad operas",Danske værker,Danish Works,21
S0022,Vaudeviller,Vaudevilles,Danske værker,Danish Works,22
S0023,Døden,Death,,,23
S0024,Familieforhold,Family relationships,,,24
S0025,Filantropi,Philanthropy,,,25
S0026,Forelskelser,"Love affairs, being in love",,,26
S0027,Forlæggere,Publishers,,,27
S0028,Fotografi,Photography,,,28
S0029,Fædreland,Fatherland,,,29
S0030,Asmildkloster,Asmildkloster,Herregårde i Danmark,Danish manors,30
S0031,Basnæs,Basnæs,Herregårde i Danmark,Danish manors,31
S0032,Borreby,Borreby,Herregårde i Danmark,Danish manors,32
