entity_id,entity_type,category_h1,genre_h2,form_h3,subform_h4,label,description,see,see_also,year_derived,date_derived,person_derived
WOR000000,work,VÆRK-REGISTER,H. C. ANDERSEN,Samlede og blandede Skrifter,(blank),Gesammelte Werke (1847-72),H.C. Andersen,,,,,H.C. Andersen
WOR000050,work,VÆRK-REGISTER,H. C. ANDERSEN,Samlede og blandede Skrifter,(blank),Samlede Skrifter I-XXXIII (1853-79),H.C. Andersen,,,,,H.C. Andersen
WOR000100,work,VÆRK-REGISTER,H. C. ANDERSEN,Samlede og blandede Skrifter,(blank),Aus Herz und Welt (1860),H.C. Andersen,,,,,H.C. Andersen
WOR000150,work,VÆRK-REGISTER,H. C. ANDERSEN,Samlede og blandede Skrifter,(blank),Reiseskizzer og Pennetegninger (= Samlede Skrifter. 28. Bind) (1868).,H.C. Andersen,,,,,H.C. Andersen
WOR000200,work,VÆRK-REGISTER,H. C. ANDERSEN,Samlede og blandede Skrifter,(blank),Works (New York 1869 ff.),H.C. Andersen,,,,,H.C. Andersen
WOR000250,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,(blank),Eventyr (i Almindelighed),H.C. Andersen,,,,,H.C. Andersen
WOR000300,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr. 2. Bind. 1. Samling (1847),H.C. Andersen,,,,,H.C. Andersen
WOR000350,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Eventyr. Med 125 Ill. efter Originaltegninger af V. Pedersen (1850 Ͻ: 1849),H.C. Andersen,,,,,H.C. Andersen
WOR000400,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Historier. 1. Samling (1852),H.C. Andersen,,,,,H.C. Andersen
WOR000450,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Historier. Med 55 Ill. af V. Pedersen (1855),H.C. Andersen,,,,,H.C. Andersen
WOR000500,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66),H.C. Andersen,,,,,H.C. Andersen
WOR000550,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 1. Samling (1858),H.C. Andersen,,,,,H.C. Andersen
WOR000600,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 1. Samling (1858) - 4 Opl. (1865),H.C. Andersen,,,,,H.C. Andersen
WOR000650,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Samling (1858),H.C. Andersen,,,,,H.C. Andersen
WOR000700,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Samling (1859),H.C. Andersen,,,,,H.C. Andersen
WOR000750,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Samling (1859) - 2. Opl. (1861),H.C. Andersen,,,,,H.C. Andersen
WOR000800,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) -4. Samling (1860),H.C. Andersen,,,,,H.C. Andersen
WOR000850,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 1. Række (1860),H.C. Andersen,,,,,H.C. Andersen
WOR000900,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 1. Samling (1861),H.C. Andersen,,,,,H.C. Andersen
WOR000950,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 1. Samling (1861) - 2. Opl. (1869),H.C. Andersen,,,,,H.C. Andersen
WOR001000,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 2. Samling (1861),H.C. Andersen,,,,,H.C. Andersen
WOR001050,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 2. Samling (1861) - 2. Opl. (1865),H.C. Andersen,,,,,H.C. Andersen
WOR001100,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række. 3. Samling (1865),H.C. Andersen,,,,,H.C. Andersen
WOR001150,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række. 4. Samling (1866),H.C. Andersen,,,,,H.C. Andersen
WOR001200,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Række. 1. Samling (1872),H.C. Andersen,,,,,H.C. Andersen
WOR001250,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Række. 2. Samling (1872),H.C. Andersen,,,,,H.C. Andersen
WOR001300,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Eventyr og Historier. Med Ill. efter Originaltegninger af V. Pedersen. I-II (1862-63),H.C. Andersen,,,,,H.C. Andersen
WOR001350,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Eventyr og Historier. Med Ill. efter Originaltegninger af V. Pedersen. I-II (1862-63) - Nyt Opl. (1873),H.C. Andersen,,,,,H.C. Andersen
WOR001400,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Femten Eventyr og Historier. Med Ill. af Lorenz Frølich (1867),H.C. Andersen,,,,,H.C. Andersen
WOR001450,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. Første Deel-Tredie Deel (= Samlede Skrifter 25.-27. Bd.) (1868),H.C. Andersen,,,,,H.C. Andersen
WOR001500,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Tre nye Eventyr og Historier (1870 Ͻ: 1869),H.C. Andersen,,,,,H.C. Andersen
WOR001550,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. Med Ill. efter Originaltegninger af Lorenz Frølich I (1870),H.C. Andersen,,,,,H.C. Andersen
WOR001600,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. Med Ill. efter Originaltegninger af Lorenz Frølich - II (1871),H.C. Andersen,,,,,H.C. Andersen
WOR001650,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Nye Eventyr og Historier. Med Ill. efter Originaltegninger af Lorenz Frølich - III (1874),H.C. Andersen,,,,,H.C. Andersen
WOR001700,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Bemærkninger til Eventyr og Historier  - 1862:,H.C. Andersen,,,,,H.C. Andersen
WOR001750,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Bemærkninger til Eventyr og Historier  - 1868:,H.C. Andersen,,,,,H.C. Andersen
WOR001800,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Bemærkninger til Eventyr og Historier  - 1870:,H.C. Andersen,,,,,H.C. Andersen
WOR001850,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Bemærkninger til Eventyr og Historier  - 1874:,H.C. Andersen,,,,,H.C. Andersen
WOR001900,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Eventyr-Samlinger (kronologisk),Planer om en Godtkøbs-Udgave af samtlige Eventyr 1875,H.C. Andersen,,,,,H.C. Andersen
WOR001950,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Abc-Bogen,H.C. Andersen,,,,,H.C. Andersen
WOR002000,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Alt paa sin rette Plads,H.C. Andersen,,,,,H.C. Andersen
WOR002050,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Anne Lisbeth,H.C. Andersen,,,,,H.C. Andersen
WOR002100,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Barnet i Graven,H.C. Andersen,,,,,H.C. Andersen
WOR002150,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Bedstemoder,H.C. Andersen,,,,,H.C. Andersen
WOR002200,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Bispen paa Børglum og hans Frænde,H.C. Andersen,,,,,H.C. Andersen
WOR002250,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Børnesnak,H.C. Andersen,,,,,H.C. Andersen
WOR002300,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"»Dandse, dandse Dukke min!«",H.C. Andersen,,,,,H.C. Andersen
WOR002350,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),»Deilig!«,H.C. Andersen,,,,,H.C. Andersen
WOR002400,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),»Der er Forskjel«,H.C. Andersen,,,,,H.C. Andersen
WOR002450,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Det er ganske vist!,H.C. Andersen,,,,,H.C. Andersen
WOR002500,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Dryaden,H.C. Andersen,,,,,H.C. Andersen
WOR002550,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Dynd-Kongens Datter,H.C. Andersen,,,,,H.C. Andersen
WOR002600,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Elverhøi,H.C. Andersen,,,,,H.C. Andersen
WOR002650,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Engelen,H.C. Andersen,,,,,H.C. Andersen
WOR002700,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Fem fra en Ærtebælg,H.C. Andersen,,,,,H.C. Andersen
