v094_id,legacy_id,entity_type,label,resolves
WOR000000,Reg001445,work,Gesammelte Werke (1847-72),yes
WOR000050,Reg002927,work,Samlede Skrifter I-XXXIII (1853-79),yes
WOR000100,Reg000281,work,Aus Herz und Welt (1860),yes
WOR000150,Reg002793,work,Reiseskizzer og Pennetegninger (= Samlede Skrifter. 28. Bind) (1868).,yes
WOR000200,Reg003514,work,Works (New York 1869 ff.),yes
WOR000250,Reg001234,work,Eventyr (i Almindelighed),yes
WOR000300,Reg002563,work,Nye Eventyr. 2. Bind. 1. Samling (1847),yes
WOR000350,Reg001238,work,Eventyr. Med 125 Ill. efter Originaltegninger af V. Pedersen (1850 Ͻ: 1849),yes
WOR000400,Reg001603,work,Historier. 1. Samling (1852),yes
WOR000450,Reg001604,work,Historier. Med 55 Ill. af V. Pedersen (1855),yes
WOR000500,Reg002543,work,Nye Eventyr og Historier. 1.-2. Række (1858-66),yes
WOR000550,Reg002545,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 1. Samling (1858),yes
WOR000600,Reg002546,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 1. Samling (1858) - 4 Opl. (1865),yes
WOR000650,Reg002553,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Samling (1858),yes
WOR000700,Reg002556,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Samling (1859),yes
WOR000750,Reg002557,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Samling (1859) - 2. Opl. (1861),yes
WOR000800,Reg002558,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) -4. Samling (1860),yes
WOR000850,Reg002544,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 1. Række (1860),yes
WOR000900,Reg002547,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 1. Samling (1861),yes
WOR000950,Reg002548,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 1. Samling (1861) - 2. Opl. (1869),yes
WOR001000,Reg002549,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 2. Samling (1861),yes
WOR001050,Reg002550,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række 2. Samling (1861) - 2. Opl. (1865),yes
WOR001100,Reg002551,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række. 3. Samling (1865),yes
WOR001150,Reg002552,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 2. Række. 4. Samling (1866),yes
WOR001200,Reg002554,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Række. 1. Samling (1872),yes
WOR001250,Reg002555,work,Nye Eventyr og Historier. 1.-2. Række (1858-66) - 3. Række. 2. Samling (1872),yes
WOR001300,Reg001235,work,Eventyr og Historier. Med Ill. efter Originaltegninger af V. Pedersen. I-II (1862-63),yes
WOR001350,Reg001236,work,Eventyr og Historier. Med Ill. efter Originaltegninger af V. Pedersen. I-II (1862-63) - Nyt Opl. (1873),yes
WOR001400,Reg001277,work,Femten Eventyr og Historier. Med Ill. af Lorenz Frølich (1867),yes
WOR001450,Reg002559,work,Nye Eventyr og Historier. Første Deel-Tredie Deel (= Samlede Skrifter 25.-27. Bd.) (1868),yes
WOR001500,Reg003313,work,Tre nye Eventyr og Historier (1870 Ͻ: 1869),yes
WOR001550,Reg002562,work,Nye Eventyr og Historier. Med Ill. efter Originaltegninger af Lorenz Frølich I (1870),yes
WOR001600,Reg002560,work,Nye Eventyr og Historier. Med Ill. efter Originaltegninger af Lorenz Frølich - II (1871),yes
WOR001650,Reg002561,work,Nye Eventyr og Historier. Med Ill. efter Originaltegninger af Lorenz Frølich - III (1874),yes
WOR001700,Reg000327,work,Bemærkninger til Eventyr og Historier  - 1862:,yes
WOR001750,Reg000328,work,Bemærkninger til Eventyr og Historier  - 1868:,yes
WOR001800,Reg000329,work,Bemærkninger til Eventyr og Historier  - 1870:,yes
WOR001850,Reg000330,work,Bemærkninger til Eventyr og Historier  - 1874:,yes
WOR001900,Reg002695,work,Planer om en Godtkøbs-Udgave af samtlige Eventyr 1875,yes
