entity_id,entity_type,label,kind,token
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-226-27
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-229-34
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-235
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-238
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-242
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-243
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-244
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-248
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-251
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-259
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-26O
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-320
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-345
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-347
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-353
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-363
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-395
WOR004400,work,Hønse-Grethes Familie,non-numeric page,VIII
WOR004400,work,Hønse-Grethes Familie,bad volume,O-428
WOR004550,work,I Børnestuen,non-numeric page,V
WOR004550,work,I Børnestuen,bad volume,l-l
WOR004750,work,Keiserens nye Klæder,non-numeric page,VII
WOR004750,work,Keiserens nye Klæder,bad volume,l-l
WOR004750,work,Keiserens nye Klæder,non-numeric page,VII
WOR004750,work,Keiserens nye Klæder,bad volume,l-17
WOR004750,work,Keiserens nye Klæder,non-numeric page,VII
WOR004750,work,Keiserens nye Klæder,bad volume,l-88
WOR004750,work,Keiserens nye Klæder,non-numeric page,VII
WOR004750,work,Keiserens nye Klæder,bad volume,l-259
WOR004750,work,Keiserens nye Klæder,non-numeric page,VII
WOR004750,work,Keiserens nye Klæder,bad volume,l-290
WOR007150,work,Sneemanden,non-numeric page,V
WOR007150,work,Sneemanden,bad volume,l-l
WOR007150,work,Sneemanden,non-numeric page,V
WOR007150,work,Sneemanden,bad volume,l-2
WOR007150,work,Sneemanden,non-numeric page,V
WOR007150,work,Sneemanden,bad volume,l-4
WOR007150,work,Sneemanden,non-numeric page,V
WOR007150,work,Sneemanden,bad volume,l-6-7
WOR007150,work,Sneemanden,non-numeric page,V
WOR007150,work,Sneemanden,bad volume,l-14
WOR007150,work,Sneemanden,non-numeric page,V
WOR007150,work,Sneemanden,bad volume,l-21
WOR007600,work,Den store Søslange,non-numeric page,X
WOR007600,work,Den store Søslange,bad volume,lll-lll
WOR007600,work,Den store Søslange,non-numeric page,X
WOR007600,work,Den store Søslange,bad volume,lll-126
WOR007600,work,Den store Søslange,non-numeric page,X
WOR007600,work,Den store Søslange,bad volume,lll-132
WOR007600,work,Den store Søslange,non-numeric page,X
WOR007600,work,Den store Søslange,bad volume,lll-159
WOR007600,work,Den store Søslange,non-numeric page,X
WOR007600,work,Den store Søslange,bad volume,lll-321
WOR008700,work,Veirmøllen,non-numeric page,VI
WOR008700,work,Veirmøllen,non-numeric page,VI
WOR008700,work,Veirmøllen,non-numeric page,VI
WOR008700,work,Veirmøllen,non-numeric page,VI
WOR008700,work,Veirmøllen,non-numeric page,VI
WOR008700,work,Veirmøllen,non-numeric page,VI
WOR008700,work,Veirmøllen,non-numeric page,VI
WOR011850,work,Franske - Fantaisies danoises (Tr. par Jules F.-U. Jurgensen). (Genève 1861),implausible range,IV-431-23
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-15
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-3l7
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-334
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-350
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-357
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-360
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-380
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-383
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-386
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-389
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-390
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-391
WOR014450,work,Kjendte og glemte Digte (1867),non-numeric page,VII
WOR014450,work,Kjendte og glemte Digte (1867),bad volume,l-395
WOR022250,work,Liden Kirsten og Prinds Buris,non-numeric page,VIII
WOR022250,work,Liden Kirsten og Prinds Buris,non-numeric page,VIII
WOR022250,work,Liden Kirsten og Prinds Buris,non-numeric page,VIII
WOR022250,work,Liden Kirsten og Prinds Buris,non-numeric page,VIII
WOR022500,work,Lille Viggo,non-numeric page,IV
WOR022500,work,Lille Viggo,non-numeric page,IV
WOR022850,work,Med en Buket Violer til en ung Dame (»De fattige Blomster drømte i Nat -«),non-numeric page,III
WOR022850,work,Med en Buket Violer til en ung Dame (»De fattige Blomster drømte i Nat -«),non-numeric page,III
WOR031000,work,»Han er ikke født«,non-numeric page,VIII
WOR031000,work,»Han er ikke født«,non-numeric page,VIII
WOR031000,work,»Han er ikke født«,non-numeric page,VIII
WOR031100,work,Hyldemoer (Eventyrkomedie),non-numeric page,IX
WOR031100,work,Hyldemoer (Eventyrkomedie),non-numeric page,IX
WOR031100,work,Hyldemoer (Eventyrkomedie),non-numeric page,IX
WOR031100,work,Hyldemoer (Eventyrkomedie),non-numeric page,IX
WOR031100,work,Hyldemoer (Eventyrkomedie),non-numeric page,IX
WOR031100,work,Hyldemoer (Eventyrkomedie),non-numeric page,IX
WOR031100,work,Hyldemoer (Eventyrkomedie),non-numeric page,IX
WOR031450,work,En Landsbyhistorie (S. H. Mosenthal) (Oversættelse)- Se ogsaa: Der Sonnenwendhof (S. H. Mosenthal),non-numeric page,V
WOR031450,work,En Landsbyhistorie (S. H. Mosenthal) (Oversættelse)- Se ogsaa: Der Sonnenwendhof (S. H. Mosenthal),non-numeric page,V
WOR031450,work,En Landsbyhistorie (S. H. Mosenthal) (Oversættelse)- Se ogsaa: Der Sonnenwendhof (S. H. Mosenthal),non-numeric page,V
WOR031550,work,Liden Kirsten,non-numeric page,X
WOR031550,work,Liden Kirsten,non-numeric page,X
WOR031550,work,Liden Kirsten,non-numeric page,X
WOR031550,work,Liden Kirsten,non-numeric page,X
WOR031550,work,Liden Kirsten,non-numeric page,X
WOR031550,work,Liden Kirsten,non-numeric page,X
WOR031550,work,Liden Kirsten,non-numeric page,X
WOR031550,work,Liden Kirsten,non-numeric page,X
WOR031550,work,Liden Kirsten,non-numeric page,X
WOR031550,work,Liden Kirsten,non-numeric page,X
WOR031550,work,Liden Kirsten,non-numeric page,X
WOR031650,work,Maurerpigen,non-numeric page,III
WOR031650,work,Maurerpigen,non-numeric page,III
WOR031650,work,Maurerpigen,non-numeric page,III
WOR031700,work,Meer end Perler og Guld (Efter F. Raimund og »Tusind og een Nat«),non-numeric page,IV
WOR031700,work,Meer end Perler og Guld (Efter F. Raimund og »Tusind og een Nat«),non-numeric page,IV
WOR031700,work,Meer end Perler og Guld (Efter F. Raimund og »Tusind og een Nat«),non-numeric page,IV
WOR031800,work,Mulatten,non-numeric page,IV
WOR031800,work,Mulatten,non-numeric page,IV
WOR031800,work,Mulatten,non-numeric page,IV
WOR031800,work,Mulatten,non-numeric page,IV
WOR031900,work,Den nye Barselstue,non-numeric page,III
WOR031900,work,Den nye Barselstue,non-numeric page,III
WOR031900,work,Den nye Barselstue,non-numeric page,III
WOR031900,work,Den nye Barselstue,non-numeric page,III
WOR031900,work,Den nye Barselstue,non-numeric page,III
WOR032100,work,Ravnen (1832),non-numeric page,II
WOR032100,work,Ravnen (1832),non-numeric page,II
WOR032100,work,Ravnen (1832),non-numeric page,II
WOR033000,work,Billedbog uden Billeder,non-numeric page,VIII
WOR033000,work,Billedbog uden Billeder,non-numeric page,VIII
WOR033000,work,Billedbog uden Billeder,non-numeric page,VIII
WOR033000,work,Billedbog uden Billeder,non-numeric page,VIII
WOR033000,work,Billedbog uden Billeder,non-numeric page,VIII
WOR033000,work,Billedbog uden Billeder,non-numeric page,VIII
WOR033000,work,Billedbog uden Billeder,non-numeric page,VIII
