01_Posttype	02_by_Andersen	03_genre	04_main_title	05_pseudonym	06_creator	07_translator	08_source	09_Se_ogsaa	10_Krydshenvisning_til	11_uncertain_citation	12_Note	RegistryTitelID
standardpost	False	NonFiction	Aanden i Naturen		H.C. Ørsted					False		Reg000131
standardpost	False	NonFiction	Af Jonas Collins Papirer		Edgar Collin					False		Reg000159
standardpost	False	NonFiction	Af mit Livs Aarbøger		Just Mathias Thiele					False		Reg000161
standardpost	False	NonFiction	Allgemeines Theater-Lexikon, hrsg. von R. Blum, K. Herloszsohn und H. Markgraff							False		Reg000195
standardpost	False	NonFiction	Almindelig Verdenshistorie i Udtog		H. A. Kofod					False		Reg000197
standardpost	False	NonFiction	Alpenreisen		J. G. Kohl					False		Reg000198
standardpost	False	NonFiction	Alperne		H. A. von Berlepsch	Jonas Collin d. Y.				False		Reg000199
standardpost	False	NonFiction	Anonymer og Pseudonymer i den danske Litteratur indtil 1860		E. Collin					False		Reg000235
standardpost	False	NonFiction	Ansichten der Natur		Alexander von Humboldt					False		Reg000236
standardpost	False	NonFiction	Arabere og Kabyler		Carit Etlar					False		Reg000256
standardpost	False	NonFiction	The Ascent of Mont Blanc		Albert Smith					False		Reg003200
standardpost	False	NonFiction	Badestederne i Schweiz og Frankrig, der kunne træde istedet for de tydske		O. L. Bang					False		Reg000296
standardpost	False	NonFiction	Barndoms- og Ungdoms-Minder		A. Munch					False		Reg000312
standardpost	False	NonFiction	Begrebet Angest		S. Kierkegaard					False		Reg000323
standardpost	False	NonFiction	Beretning om Corvetten Galathea's Reise omkring Jorden i Aarene 1845, 46 og 47		Steen Bille					False		Reg000332
standardpost	False	NonFiction	Berner - Linde - Hall contra Mantzius		Kr. Mantzius					False		Reg000337
standardpost	False	NonFiction	Berühmte Liebespaare	Elise von Hohenhausen	Elise Rudiger					False		Reg000344
standardpost	False	NonFiction	Beskrifning öfver the i Öster-Götland befintlige städer, slott, soknekyrkor, soknar		C. F. Broocman					False		Reg000346
standardpost	False	NonFiction	Ein Besuch bei dem Dichter H. C. Andersen		P. F. Siebold		Illustrirte Zeitung 14.12.1872			False		Reg001023
standardpost	False	NonFiction	Et Besøg hos H. C. Andersen				Efter Chicago Times 27.4.1873; Dagbladet 9.6.1873			False		Reg001195
standardpost	False	NonFiction	Bibelen							False		Reg000349
standardpost	False	NonFiction	Bidrag til den danske Boghandels Historie		Camillus Nyrop					False		Reg000350
standardpost	False	NonFiction	Bigarrures Iittéraires		J. Petit-Senn					False		Reg000352
standardpost	False	NonFiction	Biographie Lord Byron's		Wilhelm Müller					False		Reg000362
standardpost	False	NonFiction	Botaniska utflygter III		Elias Fries					False	1864	Reg000381
standardpost	False	NonFiction	Branden i Chicago				S. D. Jacobsen, Dagbladet 28.12.1871, Nr. 311			False		Reg000384
standardpost	False	NonFiction	Bref och dagboksanteckningar		Adolf Törneros					False		Reg000386
standardpost	False	NonFiction	Breve fra J. P. Mynster							False		Reg000392
standardpost	False	NonFiction	Breve fra og til Hans Christian Ørsted. Udgivne af Mathilde Ørsted							False		Reg000394
standardpost	False	NonFiction	Breve fra Rusland		Robert Watt					False		Reg000393
standardpost	False	NonFiction	Briefe eines Verstorbenen		Fyrst Hermann Pückler-Muskau					False		Reg000395
