surname,given_names,birth_year,death_year,citation_raw
Aagesen,Andreas,1826,1879,", Søn af Ni­ colai A., Professor i Retsvidenskab IV, 24. v, 377- Aagesen, Julie, f. Drewsen (1799—1847), g. m. Nicolai A. I, 324. V, 98, 377."
Abildgaard,P. C.,1740,1801,", Veterinær III, 318. V, 354-55- Abrahams, N. C. L. (1798—1870), Professor i Fransk og Tysk, 1852 Notarius publicus, Konferensraad I, 290, 302, 334. III, 230. IV, 135. V, 15, 81, 103, 260, 336, 410."
Adler,"Anna Marie, f. Høyer",1786,1857,", g. m. J. G. A. I, 333. V, 102."
Ancker,C.,1828,1857,", Digter og Legat­ stifter II, 188. III, 110. IV, 3. V, 191, 2^2, 299- Anders, Tjener hos Jonas Collin d. Æ. II, 204. V, 199. Andersen, Anne Marie Andersdatter (d. 1833), g. m. Hans A., Digterens Moder I, 144, 176, 202, 276. V, 49, 302. Andersen, Bertel (1815—1884), Fiskerikon­ trollør, Fører af »Havgassen«, Kammerraad IV, 171, 258. V, 422. Andersen, Carl (1828—1883), Forfatter III, 105, 11 o, 121. IV, 77, 178. V, 299, 356, 358, 361, 394- Andersen, Clara (1826—1895), Forfatterinde IV, 173. V, 423. Andersen, Hans (1782—1816), Friskomager, Digterens Fader II, 276. III, 14. V, 302. Andersen, Jannik (1774—1854)5 Apoteker, Indehaver af Løve-Apoteket i Odense I, 28. V, 9. Andersen, Johanne Nicoline (1808—1897), Datter af Jannik A., g. 1837 m. T. A. F. Paulsen I, 28. V, 9. Andersen, S. C. (1808—1899), dansk Gene­ ralkonsul i Christiania IV, 188. V, 429."
Anholm,Johannes,,1860,", Skibskaptajn og Gæstgiver, A.s Vært i Nyhavn Nr. 67 II, 363, 3$9> 383, 387? 39°, 394- V, 252, 260."
Augustenborg,"Frederik, Prins af —",1829,1880,", Hertug 1863 (Friedrich VIII), Søn af Christian August af A. II, 35. V, 130, 309- Augustenborg, Henriette, Prinsesse af — (1833—1917), Datter af Christian August af A., g. 1872 m. Professor, Dr. med. J. F. A. v. Esmarch II, 35. V, 130."
Augustenborg,"Louise Augusta, Prinsesse af —",1824,1872,", Datter af Christian Au­ gust af A. II, 35. V, 130. Augustenborg, Louise Sophie, Hertuginde af —, f. Komtesse Danneskiold-Samsøe (1796 1867), g. 1820 m. Christian August af A. I, 321, 322. II, 13-14, 15, 27, 32-33, 35. V, 76, 96, 128, 130. Augustenborg, Prinsesserne af —, Døtre af Prins Emil af A. II, 80. V, 143. Austin, Esther, engelsk Danserinde IV, 315. v, 476-77- Baagøe, Johannes Schønberg (1798—1837), Apoteker, Indehaver af S vane-Apoteket i København I, 70. V, 19."
Bagger,Louise,1847,1910,", g. 1866 m. P. N. Nieuwenhuis III, 251. V, 341."
Ballin,Caroline,1838,1901,", Søster til Clara B. IV, 261, 263, 282-83, 285, 286, 293, 299, 302-03, 306. V, 454-55> 45^ 485- Ballin, Clara (1824-1887), A.s Værtinde i Ny­ havn Nr. 18 1873—75 IV, 260, 261, 263, 273, 279, 281-83, 285, 286, 287, 293-94, 299, 302-03, 305-06. V, 454-55’ 456, 483, 466, 469-70, 485."
Bang,Emma,1811,1882,", Datter af Claus Chr. B., g. 1839 m. N. P. Butenschøn I, 262. V, 68. — Se endvidere Butenschøn, Emma."
Bang,Ida,1813,1891,", Datter af Claus Chr. B., g. 1837 m. Skibsmægler, Vicekonsul L. A. Hecksher I, 31, 46. V, 10. — Se end­ videre Hecksher, Ida. Bang, Oluf (Ole) (1788—1877), Professor i Medicin, Konferensraad, senere Gehejme- konferensraad II, 217-18, 341. V, 202, 203, 246, 439- Bang, P. G. (1797—1861), Politiker II, 249. V, 212."
Bayern,"Maximilian II, Konge af —",1811,1864,", Søn af Ludwig I af B. II, 328, 330- 33'> 333, 338, 367, 372- V, 214, 241, 254, 404- Beaulieu-Marconnay, Alexander v., Friherre (1827—1899), Søn af W. E. B.-M., senere oldenburgsk Kammerherre, Chef for Hof­ forvaltningen i Eutin II, 42, 122. V, 132, 156."
Beaulieu-Marconnay,"Anna v., Friherreinde, f. v. Fritsch",1835,1916,", g. 1859 m. Carl Olivier B.-M. IV, 205. V, 437. Beaulieu-Marconnay, August (Edmond) v., Friherre (1820—1898), Søn af W. E. B.-M., oldenburgsk Løjtnant, senere Major i øst­ rigsk Tjeneste II, 6, 40, 46. V, ug, 132."
Beaulieu-Marconnay,"Carl Olivier v., Fri­ herre",1811,1889,", Søn af W. E. B.-M., Geheime-Referendar i Weimar, 1848 Hof­ marskal hos Storhertugen af Sachsen- Weimar - Eisenach, 1853 Overhofmester hos Enkestorhertuginden, 1850—52 og 1854—57 Teaterintendant, 1864—66 Ge­ sandt ved Forbundsdagen i Frankfurt for de thüringiske Stater, levede derefter i Dresden II, 3, 6, 40, 42, 44, 52, 55, 61, 65, 67, 69, 82, 92, 202, 203, 206-10, 212, 224, 260-61, 262, 275, 277, 279. IV, 99, 205, 331. V, 118, 132, 134, 152, 199-201, 206, 207, 217, 220, 222, 401, 437. VI, 25."
Beaulieu-Marconnay,"Flavie v., Friherreinde",1851,1925,", Datter af Carl B.-M., g. 1875 m. senere preussisk Oberstløjtnant, Friherre Strahl v. Salis-Soglio IV, 99. V, 207, 401."
