collin_surname,collin_given_names,collin_birth_year,collin_death_year,match_tier,match_count,match_reg_ids,match_labels
Aagesen,Andreas,1826,1879,exact,1,Reg0030070,"Aagesen, Andreas (1826–1879)"
Aagesen,Nicolai,1783,1861,surname_year_mismatch,1,Reg0030070,"Aagesen, Andreas (1826–1879)"
Aall,Jørgen,1806,1894,exact,1,Reg0030080,"Aall, Jørgen (1806–1894)"
Aman,Johan August,1790,1853,exact,1,Reg0030100,"Aman, Johan August (1790–1853)"
Abildgaard,P. C.,1740,1801,none,0,,
Abrahamson,Joseph,1789,1847,exact,1,Reg0030320,"Abrahamson, Joseph (1789–1847)"
Adler,"Anna Marie, f. Høyer",1786,1857,surname_only,3,Reg0030510;Reg0030520;Reg0030530,"Adler, se også: Lente-Adeler. | Adler | Adler"
Adler,D. B.,1826,1878,exact,1,Reg0030540,"Adler, D. B. (1826–1878)"
Adler,J. G.,1784,1852,exact,1,Reg0030580,"Adler, Johan Gunder (1784–1852)"
Ahlefeldt-Laurvigen,"Frederik, Greve",1834,1888,exact,1,Reg0030950,"Ahlefeldt-Laurvigen, Frederik, Greve (1834–1888)"
Albeck,N. C.,1816,1878,surname_year_mismatch,3,Reg0031130;Reg0031140;Reg0031150,"Albeck, Carl (1830–1905) | Albeck, Hans (1832–1918) | Albeck, Jacobine, f. Holm (1839–1887)"
Albers,Moritz Karl August,1798,1868,exact,1,Reg0031170,"Albers, Moritz Karl August (1798–1868)"
Albrecht,Theodor,1822,1871,exact,1,Reg0031230,"Albrecht, Theodor (1822–1871)"
Aldridge,Ira,1805,1867,surname_only,2,Reg0031260;Reg0031270,"Aldridge, Mrs. | Aldridge, Ira (ca. 1805–67)"
Algreen-Ussing,Frederik,1838,1869,exact,1,Reg0031350,"Algreen-Ussing, Frederik (1838–1869)"
Allen,C. F.,1811,1871,exact,1,Reg0031400,"Allen, C. F. (1811–1871)"
Altmann,Julius,1814,1873,exact,1,Reg0031540,"Altmann, Julius (1814–1873)"
Amberger,Gustav,1831,1896,exact,1,Reg0031570,"Amberger, Gustav Adolph (1831–1896)"
Ancker,C.,1828,1857,surname_year_mismatch,1,Reg0031750,"Ancker, Anders (1801–1854)"
Anderssen,Adolf,1818,1879,exact,1,Reg0032100,"Anderssen, Adolf (1818–1879)"
Andræ,C. G.,1812,1893,exact,1,Reg0032190,"Andræ, C. G. (1812–1893)"
