place_name_raw,reason,citation_raw
Bregentved,citation OCR quality: high (^°),"I, 320, 322-28, 348, 349-51. II, 20-22, 134. IV, 284, 289, 290, 291, 292-93, 295-97, 3o°-°4, 3°7-°8> 3IO> 311, 3J4, 326. V,p^, 97, 100, 109, no, 115, 125, 163, 466- 67, 470, 472, 484. VI, 14."
Hamburg,citation OCR quality: high (*^i’),"I, 68-70, 71, 72, 79, 80, 82-83, 84, 106, 120, 121-25, 132, 276, 288, 289, 323, 324, 326, 330, 331, 337, 338. II, i, 3, 5, 11, 12, 13, 31, 33, 34-37, 39, 126, 129, 131, 132, >33, ’34, *35> 22o, 225> 246, 252> 254, 297, 311, 383, 386. Ill, 123, 126, 248-49, 250, 338. IV, 39, 40, 51, 57-58, 60, 93, 94, 122, 142, 144, 197, 200, 216, 218. V, 19, 98, 99, 104, 114, 117, 130, 131, 164, 179, 203-04, 205, 208, 214, 215, 220, 223, 224, 225, 226, 229, 232, 257, 278, 284, 301, 340, 360, 370, 377, 382, 385, 387, 397, 399, 4^3, 435, 44®, 445, 446, 453, 488."
Hellebæk,citation OCR quality: high (*^°»),"(og Aalsgaarde, Ellekilde) III, 185, 187, 195, 204, 205, 209, 212-13, 214, 278, 296, 308, 309» 3^-18, 322-23, 336-37, 338, 339-4°» 34L 348- *4» 23, 24, 25, 28, 31- 32, 34» 35-37» 4I-42» 54» 56, 59-6°, 61-64, 65, 66, 67, 68, 70, 71, 73-74, 75, 76, 78, 79- 80, 81, 83-84, 87-88, 89, 90, 91-92, 94, 146, 147, 148, 152, 153, 154-55» i56-59» 161-62, 163, 165-66, 167-69, 170, 171-72, 173, 175, 176, 177-78, 179, 181, 182-83, 185, 186-87, 189, 190, 191, 192, 201, 208, 210, 215, 216- 17, 219, 220-22, 225-26, 236, 242, 243, 246, 247-50, 252-54, 256-58, 263, 267, 274, 281, 282-83, 284, 285-87, 290, 294, 297-300, 303, 304-06, 308, 311-13, 315, 316, 317, 318-22, 327-28, 348. V, 331, 354,361, wj, 380, 390, 39b 397, 398, 4°7» 4^, 424» 43O~3b 432, 44b 443» 455» 461,471»473» 484» 485- VI, 21."
Holsteinborg,citation OCR quality: high (»’),"II, 265, 267-68, 269-70, 272-73, 291» 377» 39J-92, 394- HI, 69-70, 73, 126, 127, 129, 226-29, 240, 245, 343-44» 346, 353» 355-57» 360-62. IV, 1-2, 4, 37-39, 43, 66, 67, 68, 69, 89, 90, 92-94, 97, 152, 153, 155, 156, 281-90, 291-92, 293, 311. V, 218, 285, 286, 287, 288, 303, 362, 363, 365, 366, 370, 385» 391» 399» 4’7» 4l8, 422, 424» 466, 469» 495-"
Korsør,citation OCR quality: high (*°),"I, 241-44, 275, 323. II, 165, 178, 291, 3°7> 369, 385, 387- IH, 54, 55, 58, 73, 75, 118, 133-34, 209, 248. IV, 37, 39, 44, 69, 88, 94, 146, 173, 197, 198, 200, 217, 218, 225, 3*7, 339- V, i22, 2I7, 220, 224, 226-27, 229, 233, 242, 258, 266, 282, 284, 290, 301, 304, 305, 306, 309, 319, 329, 33°, 377? 383, 39b 399, 4*3, 435, 44°, 444, 453-"
Leipzig,citation OCR quality: high (*^»),"I, 77, 78, 86, 288-91. II, 5, 6, 55, 61- 65, 66, 67, 69, 80, 85, 94, 112, 113, 115-18, 121, 122, 148, 151, 154, 155, 158, 163-64, 220, 223-25, 252, 274, 277, 303, 305, 373, 378, 379, 382. HI, 54- IV> 93, 94-95, 200- 02, 203, 204, 216. V, 81, 119, 137, 138, 139, H1» i43, !53> *54» ^6, 172, 175, 178, i87, 204, 205, 206, 208, 220, 221, 222, 226, 229, 231, 232, 255, 283, 399, 435, 436, 440, 493."
Mysunde,prints after 'Moen' despite sorting before it alphabetically; no OCR misreading found that resolves the inversion -- may be a genuine ordering slip in the source rather than an OCR error,"II, 205."
Odense,citation OCR quality: high (^°»),"I, 5-8, 17, 21, 23, 24, 25, 28-35, 40, 4b 5°> 52, 53» 55» 56» 57» 61, 63-67, 100-02, 104-09, 122, 176, 227, 230-37, 241, 242, 244-45, 246, 248, 249, 258-59, 261, 262, 267-70, 275, 276, 277, 283, 285, 286, 310. II, 26, 31, 32-33» 37» 127, 130, 131, 132, 134-35» l86» i67» 168, 197, 198, 240, 243, 245, 246, 387, 388, 392. Ill, 124, 248, 341. IV, 43,44-46,50-51,58,61,62,142,144,200. V, 65, 76, 122, 164, 195, 257, 258, <^302- 03, 360, 361, 365, 370, 377, 382-83, 384, 385» 389» 392, 413» 435» 457» 488, 492."
Paris,citation OCR quality: high (»),"I, 125-66, 171, 175, 180, 184, 185, 189, 199» 204, 231, 306, 314, 315, 329, 330, 334- 42. II, 4, 10, 26, 92, 102, 103, 125, 127, 138, 145, 217, 218, 249, 289, 317, 348, 355, 356» 363- HI, 91, 94, 97, 98, 99, 100, 101, 102, 103-23, 124, 125, 190, 210, 215, 231, 234, 239, 246, 257, 261, 270, 273, 274, 277, 278-87, 289, 292, 314, 315, 322, 330, 331, 336, 338. IV, 3, 5-8, 10-12, 13, 15-16, 17, 18, 21, 23, 25, 39, 40-41, 51-52, 53, 54, 86, 109, 113, 133, 134, 136-39, 142, 143, 161, 203, 237, 340, 344. V, 34, 38, 46, 47, 85, 100, 101, 104, 106, 131, 168, 200, 202, 226, 249» 297» 298, 299, 301, 331, 337, 339, 347, 348, 360, 370, 371, 372, 374, 375, 381, 386, 388, 395, 396, 407, 409, 411,419, 434, 462, 466."
Portugal,citation OCR quality: high (L»),"III, 188-92, 197, 202, 205, 210, 214, 234» 235» 238, 239, 267, 269, 275, 281, 290, 294» 299» 302, 339, 340, 352, 361. IV, 346. V, 324» 33 L 332, 350» 352, 36o, 401."
