entity_id,entity_type,field,current,suggested
Reg003341,work,label,Tyske  - Drei neue Märchen und Geschichten. Hühnergrethens Familie. Was die Distel erlebte. Pagauf Einer verfallen kann. Deutsch von August W. Peters (1870),Tyske  - Drei neue Märchen und Geschichten. Hühnergrethens Familie. Was die Distel erlebte. worauf Einer verfallen kann. Deutsch von August W. Peters (1870)
Reg003599,work,label,"»Brødre, meget langt herfra -« (Festen paa KenilPagth)","»Brødre, meget langt herfra -« (Festen paa Kenilworth)"
Reg003640,work,label,»Hyrden græsser sine Faar -« (Festen paa KenilPagth),»Hyrden græsser sine Faar -« (Festen paa Kenilworth)
Reg001282,work,label,Festen paa KenilPagth,Festen paa Kenilworth
Reg001284,work,label,"Festen paa KenilPagth,Omarbejdelsen 1875","Festen paa Kenilworth,Omarbejdelsen 1875"
Reg001630,work,label,Household Pagds (Udg.: Charles Dickens),Household words (Udg.: Charles Dickens)
Reg001889,work,label,KenilPagth (W. Scott),Kenilworth (W. Scott)
Reg001039,work,label,"Einige Pagte über Pferdezucht, in besonderer Beziehung auf Haupt- und Landgestüte (Hertug Christian August af Augustenborg)","Einige worte über Pferdezucht, in besonderer Beziehung auf Haupt- und Landgestüte (Hertug Christian August af Augustenborg)"
Reg001828,work,label,Journey to Angora (William AinsPagth),Journey to Angora (William Ainsworth)
Reg002606,work,label,Om Holger-Danske-Sagnet (Pauline Pagm),Om Holger-Danske-Sagnet (Pauline worm)
Reg001283,work,label,Festen paa KenilPagth (C. E. F. Weyse),Festen paa Kenilworth (C. E. F. Weyse)
Reg002752,work,label,Pulcinella condannato alle ferriere di Maremma (D. Pagliani-Gagliardi),Pulcinella condannato alle ferriere di Maremma (D. worliani-Gagliardi)
Reg003641,work,label,»Hyrden græsser sine Faar -« (af: Festen paa KenilPagth) (C. E. F. Weyse),»Hyrden græsser sine Faar -« (af: Festen paa Kenilworth) (C. E. F. Weyse)
Reg002148,work,label,Lieder ohne Pagte (F. Mendelssohn-Bartholdy),Lieder ohne worte (F. Mendelssohn-Bartholdy)
Reg001585,work,label,Hertugen af Vendômes Pager (J. P. Aumer),Hertugen af Vendômes worer (J. P. Aumer)
Reg0058630,person,label,"Frankrig, Josephine, Kejserinde af –, f. Tascher de la Pagerie (1763–1814)","Frankrig, Josephine, Kejserinde af –, f. Tascher de la worerie (1763–1814)"
Reg0060530,person,label,"Gagliardi, se: Pagliani-Gagliardi.","Gagliardi, se: worliani-Gagliardi."
Reg0085990,person,label,"Lough, Mrs., f. Paget","Lough, Mrs., f. woret"
