person_id,reg_id,tier,register_name,live_label,shared_pages,note
HCAP00029,,none,"Assen, Cornelis Jacobus van",,0,0 name candidate(s)
HCAP00196,,none,"Drewsen, J. C.",,0,0 name candidate(s)
HCAP00225,,none,Euripides,,0,0 name candidate(s)
HCAP00290,,none,"Griffin, Alice McClure",,0,0 name candidate(s)
HCAP00305,,ambiguous,"Hamilton, Mrs.",,0,2 name candidate(s)
HCAP00306,,ambiguous,"Hamilton, Mrs.",,0,2 name candidate(s)
HCAP00596,,none,"Palmerston, Henry John Temple, Viscount",,0,0 name candidate(s)
HCAP00677,,none,"Rollett, Herman",,0,0 name candidate(s)
HCAP00705,,none,"Santen, Frederika Christina van, f. Bernhard",,0,0 name candidate(s)
HCAP00845,,none,"Wåhlberg, Broder til Fru Malin von Beskow (enten Gustaf af W.",,0,0 name candidate(s)
HCAP00890,,none,Westphal,,0,0 name candidate(s)
HCAP01056,,none,"Almeida, Carlos Augusto de, Visconde, senere",,0,0 name candidate(s)
HCAP01059,,none,"Alrnlôf, Nils Vilhelm",,0,0 name candidate(s)
HCAP01071,,none,"Amé's Broder, Bordeaux 1866. VII 89 174 176. Amé's Far",,0,0 name candidate(s)
HCAP01162,,none,"Apollonio Greco, (13. Aarhundrede)",,0,0 name candidate(s)
HCAP01188,,none,"Arnesen Kali, Benedicte",,0,0 name candidate(s)
HCAP01193,,none,"Arrikiel, Hans Michael",,0,0 name candidate(s)
HCAP01195,,none,Arnström,,0,0 name candidate(s)
HCAP01222,,none,"Augustenborg, Prinsesserne af Slesvig- Holsten-Sønderborg, Døtre af Prins Emil af A. (Charlotte",,0,0 name candidate(s)
HCAP01240,,none,"Avisard, Sougey,  B.",,0,0 name candidate(s)
HCAP01308,,none,"Bang, de, Frøken (enten Henriette Marie",,0,0 name candidate(s)
HCAP01404,,none,"Bayer, Chr. Fr.",,0,0 name candidate(s)
HCAP01608,,none,"Berry, Grevinde, »født i Svendborg«, Paris 19.4.1867. VII 269. Bertall (Pseud. for Charles-Albert d'Arnoux)",,0,0 name candidate(s)
HCAP01753,,none,"Bjornstjerna, Oscar Magnus Fredrik, Greve",,0,0 name candidate(s)
HCAP01920,,none,"B6tzaris, Marko",,0,0 name candidate(s)
HCAP01971,,none,Brammer,,0,0 name candidate(s)
HCAP02156,,none,"Brunnow, Ernst Georg von, Baron",,0,0 name candidate(s)
HCAP02158,,none,Brutus,,0,0 name candidate(s)
HCAP02205,,none,Buchwald fra Kjøbenhavn,,0,0 name candidate(s)
HCAP02213,,none,"Bueck, Anne Clémy (kaldet Marthe), f. Rousse, g.m. Forretningsmand i Konigsberg Henri Auguste B., Svigermoder til Konsul Eduard Kirstein",,0,0 name candidate(s)
HCAP02216,,none,Bull fra København,,0,0 name candidate(s)
HCAP02220,,none,"Bull, Bodil Dorothea, f. Holst",,0,0 name candidate(s)
HCAP02222,,none,"Bull, Georg Albert",,0,0 name candidate(s)
HCAP02223,,none,"Bull, Georg Jacob",,0,0 name candidate(s)
HCAP02224,,none,"Bull, Johan Chr. Dahl",,0,0 name candidate(s)
HCAP02225,,none,"Bull, Johanne (Hanne)",,0,0 name candidate(s)
HCAP02226,,none,"Bull, Ole",,0,0 name candidate(s)
HCAP02227,,none,"Bull, Sofie",,0,0 name candidate(s)
HCAP02228,,none,"Bull, Søren Christian Ørsted",,0,0 name candidate(s)
HCAP02245,,none,"Burdett-Coutts, Angela",,0,0 name candidate(s)
HCAP02254,,none,Butenschön,,0,0 name candidate(s)
HCAP02310,,none,"Cabrun, Baron, Berlin",,0,0 name candidate(s)
HCAP02321,,none,"Caliari, Gabriele",,0,0 name candidate(s)
HCAP02326,,none,Calon,,0,0 name candidate(s)
HCAP02328,,none,"Calon, P.",,0,0 name candidate(s)
HCAP02391,,none,"Carus, Frøknerne, Døtre af Carl Gustav C. (Marianne Albertine",,0,0 name candidate(s)
HCAP02452,,none,Caubet,,0,0 name candidate(s)
HCAP02453,,none,"Caus, Salomon de",,0,0 name candidate(s)
HCAP02465,,none,"Cederfeld de Simonsen, Carl",,0,0 name candidate(s)
HCAP02509,,ambiguous,Christensen,,0,4 name candidate(s)
HCAP02533,,ambiguous,Christian,,0,2 name candidate(s)
HCAP02542,,none,"Christmas-Dirckinck-Holmfeld, Tusky, f. Friherreinde Dirckinck-Holmfeld",,0,0 name candidate(s)
HCAP02565,,none,"Clausen-Schütz, Christian Ludwig",,0,0 name candidate(s)
HCAP02576,,none,"Cocles, Publius Horatius",,0,0 name candidate(s)
HCAP02629,,none,"Colloredo-Mansfeld, Hieronymus, Greve",,0,0 name candidate(s)
HCAP02660,,ambiguous,"Cornelius, (?)",,0,2 name candidate(s)
HCAP02661,,none,"Cornelius, Søster til Peter v. C., Berlin 1845 (enten Henriette (Jette)",,0,0 name candidate(s)
HCAP02705,,none,Crusenstierna,,0,0 name candidate(s)
HCAP02779,,none,"Danmark, Charlotte Frederikke, Prinsesse af -, f. Prinsesse af Mecklcnburg- Schwerin",,0,0 name candidate(s)
HCAP02845,,none,Dargaud,,0,0 name candidate(s)
HCAP02855,,none,Daumas,,0,0 name candidate(s)
HCAP02881,,none,De Cazes de Glucksbierg,,0,0 name candidate(s)
HCAP02919,,none,Delong,,0,0 name candidate(s)
HCAP02931,,none,Dessau,,0,0 name candidate(s)
HCAP03071,,none,"Dröscher, Menig, 9. Infanteri-Regiment, 8. Kompagni, Nr. 405",,0,0 name candidate(s)
HCAP03074,,none,"Due, Frederik",,0,0 name candidate(s)
HCAP03103,,none,"Düb, Adolph, Director, Pest",,0,0 name candidate(s)
HCAP03107,,none,"von Düring, ung tysk Baron, der skriver Digte",,0,0 name candidate(s)
HCAP03158,,none,"Egidius, Frøknerne Hildur",,0,0 name candidate(s)
