surname,n_entries,pages,names,entry_ids
ROSEN,4,X:67,"Rosen, Alfred von | Rosen | Rosen, Caroline von, f.Stampe | Rosen, Charlotte von",PerXI07834 PerXI07835 PerXI07839 PerXI07840
UNGARN,3,II:239 II:240,"Ungarn, Geisa (Geza) I, Konge af – | Ungarn | Ungarn, Ladislaus I (den Hellige), Konge af —",PerXI00825 PerXI09425 PerXI09426
ALMEIDA,2,VII:115 VII:149 VII:153 VII:154 VII:156 VII:160 VII:78,"Almeida, Carlos Augusto de, Visconde, senere (1875) Conde de - | Almeida, Carlos Augusto de, Visconde, senere",PerXI00012 PerXI01056
AUGUSTENBORG,2,II:407 III:64 III:65,"Augustenborg, Prinsesserne af Slesvig-Holsten-Sønderborg | Augustenborg, Prinsesserne af Slesvig- Holsten-Sønderborg, Døtre af Prins Emil af A. (Charlotte",PerXI00035 PerXI01222
AVISARD,2,III:35,"Avisard, Sougey | Avisard, Sougey,  B.",PerXI00036 PerXI01240
BANG,2,III:207,"Bang, Caroline Amalie, f. Ibsen | Bang",PerXI00039 PerXI01311
BANG,2,II:260,"Bang, de, Frøken | Bang, de, Frøken (enten Henriette Marie",PerXI00040 PerXI01308
BLACK,2,IX:10,"Black | Black, amerikansk Beundrer",PerXI00068 PerXI01754
BROBERG,2,III:342,"Broberg | Broberg, svensk Løjtnant fra Jönköping",PerXI00090 PerXI02079
BUECK,2,VIII:89,"Bueck, Anne Clémy (kaldet Marthe), f. Rousse | Bueck, Anne Clémy (kaldet Marthe), f. Rousse, g.m. Forretningsmand i Konigsberg Henri Auguste B., Svigermoder til Konsul Eduard Kirstein",PerXI00108 PerXI02213
CARSTENS,2,IX:336,"Carstens | Carstens, Søn af Fedder C.",PerXI00128 PerXI02376
CARUS,2,V:110,"Carus, Frøknerne | Carus, Frøknerne, Døtre af Carl Gustav C. (Marianne Albertine",PerXI00130 PerXI02391
CHOSREW PASHA,2,II:230,"Chosrew Pasha | Chosrew Pasha, tyrkisk Guvernør i Belgrad",PerXI00139 PerXI02505
DANMARK,2,II:285,"Danmark, Dagmar, Dronning af –, f. Prinsesse af Bøhmen | Danmark, Dagmar, Dronning af -, f. Prinsesse af Bøhmen",PerXI00165 PerXI02789
DROSCHER,2,VI:74 VI:75 VI:76 VI:77 VI:78 VI:79,"Droscher | Dröscher, Menig, 9. Infanteri-Regiment, 8. Kompagni, Nr. 405",PerXI00200 PerXI03071
DUB,2,II:241,"Düb, Adolph | Düb, Adolph, Director, Pest",PerXI00204 PerXI03103
EGIDIUS,2,VII:47,"Egidius, Frøknerne | Egidius, Frøknerne Hildur",PerXI00219 PerXI03158
FIBIGER,2,VI:247,"Fibiger, Laura (1845–1912) eller Margrethe | Fibiger, Laura",PerXI00236 PerXI03390
GJERLEV,2,VI:339,"Gjerlev | Gjerlev, jydsk Proprietær (kalder sig ogsaa: Lund)",PerXI00278 PerXI03807
GRIFFIN,2,IX:191 IX:192 IX:225 IX:226,"Griffin, Alice McClure | Griffin",PerXI00290 PerXI03919
HAFFNER,2,VI:120,"Haffner | Haffner, General (enten Generalmajor Wenzel H.",PerXI00297 PerXI04068
HANSEN,2,VI:99,"Hansen, Vilhelmine Jacobine | Hansen, Vilhelmine Jacobine (død 1885, 82 Aar gl.), Datter af Arkitekten C.F.H.",PerXI00316 PerXI04238
HENRIK FUGLEFAENGER,2,I:73,"Henrik Fuglefænger | Henrik Fuglefænger, tysk Konge",PerXI00344 PerXI04467
HENRIK III,2,I:73,"Henrik III | Henrik III, tysk-romersk Kejser",PerXI00345 PerXI04468
HENRIK IV,2,II:370,"Henrik IV | Henrik IV, tysk-romersk Kejser",PerXI00346 PerXI04469
HESSEN KASSEL,2,I:129 I:130,"Hessen-Kassel, Friedrich II, Landgreve af – | Hessen-Kassel, Friedrich II, Landgreve af —",PerXI00353 PerXI04550
HOLLENIUS,2,VIII:190,"Hollenius, Laurence J. | Hollenius, Laurence J., dansk-amerikansk Lystspilforfatter",PerXI00363 PerXI04675
HOLSTEIN,2,VIII:197,"Holstein | Holstein, Familie fra Holbæk-Egnen",PerXI00365 PerXI04719
HOLTEN,2,V:4,"Holten | Holten, Brødrene",PerXI00369 PerXI04755
HOPPE,2,VII:267 VII:274,"Hoppe | Hoppe, Verdensudstillingen i Paris 1867 (maaske Johan Christopher H.",PerXI00373 PerXI04776
INGERSLEV,2,V:404,"Ingerslev | Ingerslev, Præst",PerXI00390 PerXI04948
JERNDORFF,2,III:17,"Jerndorff, Frk. | Jerndorff, Frk., Søster til J.U.J. (enten Pouline Cathrine",PerXI00408 PerXI05057
JUNG,2,IV:225,"Jung | Jung, har Pension i Dresden for unge Piger",PerXI00421 PerXI05126
KROG MEYER,2,II:440,"Krog-Meyer, Frøken | Krog-Meyer, Frøken, Søster til H.W.K.- M. (enten Louise Augusta",PerXI00452 PerXI05488
LEONHARD,2,I:75,"Leonhard | Leonhard, Købmand i Ilsenstein",PerXI00474 PerXI05761
LEWIS,2,VIII:62,"Lewis, Mrs. | Lewis, Mrs., g.m. engelsk Konsul i Amsterdam J.G.C.L.",PerXI00479 PerXI05821
LICHTENSTEIN,2,III:140,"Lichtenstein, Gustav | Lichtenstein, Gustav, preussisk Konsul i Marseiile",PerXI00480 PerXI05832
MAROKKO,2,V:280,"Marokko, Sidi Muhammed, Sultan af – | Marokko, Sidi Muhammed, Sultan af —",PerXI00522 PerXI06254
NAUMANN,2,IX:175,"Naumann, Frue | Naumann, Frue, Berlin",PerXI00562 PerXI06819
NICOLAI,2,VI:264,"Nicolai, Martha | Nicolai, Martha, Frue, Dresden, Slægtning af Chamisso",PerXI00569 PerXI06874
OXHOLM,2,VIII:259,"Oxholm, de yngre Frøkner | Oxholm, de yngre Frøkner 1869, Døtre af Harald O. (Mary Ann",PerXI00590 PerXI07091
PRIAL,2,VII:266,"Prial | Prial, fra Rio de Janeiro",PerXI00638 PerXI07460
RANTZAU,2,V:404,"Rantzau, August | Rantzau, August, Lensgreve",PerXI00651 PerXI07575
RAUCH,2,VI:236,"Rauch | Rauch, Kapelmusikus (enten Violoncellisten Ferd. Peter Theodor R.",PerXI00654 PerXI07604
ROSENKRANTZ,2,VI:329,"Rosenkrantz | Rosenkrantz, Gottlob, Baron",PerXI00681 PerXI07866
SIDENIUS,2,IV:31,"Sidenius, Jfr. | Sidenius, Jfr., Datter af Isaac S. (enten Marie",PerXI00743 PerXI08584
SIMON,2,IV:52,"Simon | Simon, parisisk Skomager, hos hvem Louis XVII",PerXI00747 PerXI08606
STAGGEMEIER,2,IV:344,"Staggemeier, Frøknerne | Staggemeier, Frøknerne (Wilhelmine",PerXI00763 PerXI08781
STEENBUCH,2,VII:228,"Steenbuch | Steenbuch, Søn af H.T.M.S. (enten Augustinus S.",PerXI00767 PerXI08818
STEPHENSEN,2,VI:246,"Stephensen | Stephensen, Student (enten Hilmar",PerXI00769 PerXI08860
SORENSEN,2,V:438,"Sørensen | Sørensen, Skuespillerinde(?)",PerXI00784 PerXI09071
UTTENREITER,2,X:231,"Uttenreiter, Caroline | Uttenreiter, Caroline (død 1886, 72 Aar gl.), Hotel garni, Gothersgade 9",PerXI00826 PerXI09441
VON DURING,2,VIII:268,"von Düring | von Düring, ung tysk Baron, der skriver Digte",PerXI00841 PerXI03107
WAHLBERG,2,III:337 III:339 III:340 III:341 VI:299,"Wåhlberg, Frøken de | Wåhlberg, Frøken de, Søster til Fru Malin von Beskov (enten Catharina Elisabet",PerXI00846 PerXI09573
ZEISE,2,III:15,"Zeise, Frk. | Zeise, Frk., Datter af Heinrich Z.",PerXI00917 PerXI09976
BLOCH SUHR,2,VII:264,"Bloch-Suhr | Bloch-Suhr, Viggo",PerXI01795 PerXI01796
CAREY,2,IX:60,"Carey | Carey, Gustave",PerXI02352 PerXI02353
CASTILHO,2,VII:110 VII:112,"Castilho | Castilho, Julio de",PerXI02439 PerXI02441
FRANZL,2,IV:278 VIII:270,"Fränzl, August Ludwig | Fränzl, August Ludwig",PerXI03620 PerXI03621
HUGO,2,II:325 II:358,"Hugo, Adèle, f. Foucher | Hugo, Adèle",PerXI04843 PerXI04844
KOREFF,2,II:334,"Koreff | Koreff, Johan Ferdinand",PerXI05425 PerXI05426
LOWENSTEIN WERTHEIM,2,III:68,"Löwenstein-Wertheim, Wilhelm, Prins af — | Löwenstein-Wertheim, Wilhelm, Prins af —",PerXI06121 PerXI06122
MAGNUS,2,IX:300,"Magnus, Emanuel | Magnus, Emanuel",PerXI06161 PerXI06162
NOTHOMB,2,VII:78,"Nothomb | Nothomb, Jean-Baptiste, Baron",PerXI06946 PerXI06947
SCHULTZ,2,IX:316,"Schultz, Theodor | Schultz, Theodora",PerXI08459 PerXI08460
VOIGTS,2,VIII:81,"Voigts | Voigts, Friedrich",PerXI09549 PerXI09550
