candidate,count,example
måske,17,"Arentz, dr.: …dsborg 1860 (Navnet måske misforstået, i…"
klassisk,9,"Becker, W. A. (1796–1846): …Professor i klassisk Arkæologi i Le…"
historisk,8,"Algreen-Ussing, Frederik (1838–1869): …f Augustforeningen, historisk Forfatter.…"
politisk,7,"Becker, Julius (1803 eller 1804–1848): …Wien, henrettet som politisk Forbryder.…"
polyteknisk,7,"Dyssel, Johan Arndt (1798–1846): …er i Maskinlære ved Polyteknisk Læreanstalt 18…"
berlingske,6,"Berling, Carl (1812–1871): …rykker, Udgiver af »Berlingske Tidende«, 1849…"
zoologisk,5,"Gosch, C. C. (1832–1913): …sandtskab i London, zoologisk og politisk Fo…"
arkæologiske,4,"Falbe, Christian Tuxen (1791–1849): …or Christian VIII's arkæologiske Samling på Ama…"
botanisk,4,"Jenssen-Tusch, Harald (1815–1894): …t i Forstærkningen, botanisk Forfatter.…"
filosofisk,4,"Birckner, Michael Gottlieb (1756–1798): … Kapellan i Korsør, filosofisk Forfatter.…"
humoristisk,4,"Glassbrenner, Adolf (1810–1876): …Tysk humoristisk og satirisk Fo…"
parisisk,4,"Bramsen, Ludvig (1847–1914): … 1870 Volontør i et parisisk Forsikringssel…"
rigsmarsk,4,"Brockenhuus, Frands, til Egeskov og Bramstrup (1518–1569): …Rigsmarsk.…"
botaniske,3,"Lehmann, Johann Georg Christian (1792–1860): …g, Direktør for den botaniske Have sst.…"
etnografiske,3,"Daa, Ludvig Kristensen (1809–1877): …r af Universitetets etnografiske Museum, norsk …"
historiske,3,"Josika, Mikols, Baron (1796–1865): …ngarsk Forfatter af historiske Romaner.…"
husholderske,3,"Gram, Abel Elisabeth (1815–?): …Husholderske hos Gartner Bü…"
katolske,3,"Guise, Henri I, Hertug af – (1550–1588): …Stifter af den katolske Liga i Frankri…"
kemiske,3,"Groth, Simon (1828–1904): …d det første danske kemiske Handels- og an…"
kirurgisk,3,"Colsmann, Johannes (1771–1830): …Professor ved Kirurgisk Akademi og Gen…"
kusk,3,Christian: …Kusk hos M. G. Melc…
romansk,3,"Broberg, S. C. O. F. (1822–1900): …i Odense 1859–1878, romansk Filolog og Ove…"
theologisk,3,"Fleischer, Esaias (1732–1804): …riker, økonomisk og theologisk Forfatter, Kon…"
zoologiske,3,"Lütken, C. F. (1827–1901): … ved Universitetets zoologiske Museum, dr. ph…"
anckerske,2,"Boberg, Christen (1822–1900): …nsøger 1874 til det Anckerske Legat; dimitte…"
fysisk,2,"Plantamour, Emile (1815–1882): …ssor i Astronomi og fysisk Geografi, Dire…"
krigshistorisk,2,"Sørensen, Carl Th. (1824–1914): …ptajn, Afsked 1879, krigshistorisk Forfatter.…"
landøkonomisk,2,"Nielsen, Peter (1829–1897): …i Ørslev 1859–1886, landøkonomisk Forsøgsleder o…"
legatstifterske,2,"Hansen, Maria (1816–1896): …n og Theophilus H., Legatstifterske.…"
lokalhistorisk,2,"Carstensen, Eduard: …langerup 1853–1886, lokalhistorisk Forfatter.…"
lutherske,2,"Andersen, Peter Fr. (1815–1899): …Præst for den tyske lutherske Menighed i Gen…"
lyriske,2,"Huguenin, Elvina (1829–1918): …1892, skrev talrige lyriske Digte.…"
medicinsk,2,"Dickens, Francis Jeffrey (1844–1886): … Charles D., senere medicinsk Student, Polit…"
mosaiske,2,"Mannheimer, Isac Noa (1793–1865): …823 Kateket ved den mosaiske Menighed i Køb…"
musikalsk,2,"Larsen, Peter: …musikalsk Dreng fra Chri…"
nationaløkonomisk,2,"Frederiksen, N. C. (1840–1905): …r i Statsvidenskab, nationaløkonomisk Forfatter, Pol…"
politiske,2,"Dönniges, Wilhelm von (1814–1872): …Kong Max af Bayerns politiske Raadgiver, His…"
polytekniske,2,"Sørensen, H. Chr. (død 1874): …Konservator ved den polytekniske Læreanstalt, M…"
satirisk,2,"Detmold, Johann Hermann (1807–1856): …ist, Kunstkritiker, satirisk Forfatter og P…"
statistisk,2,"David, C. N. (1793–1874): …nomi, 1854 Chef for Statistisk Departement, 1…"
syerske,2,"Pedersdatter, Ane Margrethe (1839–1914): …Syerske, Holsteinborg.…"
teknisk,2,"Ehlers, E. D. (1812–1893): …llør i Altona, 1858 teknisk Borgmester i K…"
topografisk,2,"Broocman, C. F. (1709–1761): …ykker i Norrköping, topografisk Forf.…"
udenlandske,2,"Bielke, Rudolph (1810–1855): …gtig i Bureauet for udenlandske Betalinger, Ka…"
analytiske,1,"Groth, Simon (1828–1904): …kemiske Handels- og analytiske Laboratorium.…"
antikvariske,1,"Worsaae, J. J. A. (1821–1885): …47 Inspektør for De antikvariske Mindesmærkers …"
arkæologisk,1,"Bunsen, C. J. von (1791–1860): …don, 1857 Friherre, arkæologisk og kirkehistor…"
artistisk,1,"Recke, Adolph von der (1820–1867): …neministeriet, 1857 artistisk Direktør for T…"
berregaardske,1,"Sommer, Louise (1833–1912): …rd substituerede de Berregaardske Fideikommis.…"
biografisk,1,"Wieselgren, Harald (1835–1907): …kholm, historisk og biografisk Forfatter, 186…"
bobruisk,1,"Ingemann, Clara (ca. 1845?-ca. 1922): …rer ved Gymnasiet i Bobruisk, Guvernementet…"
charisiske,1,"Holsten-Lehn-Gharisius, Frederik (Fritz), Baron (1796–1888): …us, Besidder af det Charisiske Fideikommis, G…"
classenske,1,"Ahlefeldt-Laurvigen, Vilhelm, Greve (1830–1897): …Meddirektør for det Classenske Fideikommis.…"
declamatoriske,1,"Kiesewetter, dr.: …holdt »declamatoriske Oplæsninger« i…"
diplomatisk,1,"Pohland, Karl Gustav von, Friherre (1802–1889): …Adelsmand i russisk diplomatisk Tjeneste i Ath…"
diplomatiske,1,"Oxholm, W. (1805–1876): …r 1848, 1848–1849 i diplomatiske Missioner, 185…"
elske,1,"Madsen, Jomfru: … på Hospitalet skal elske mig, hedder Jo…"
engçlsk,1,"Johnson, Samuel (1709–1784): …Engçlsk Forfatter.…"
evangelisk,1,"Lüth, A. H. F. (1806–1859): …Evangelisk Hofpræst hos D…"
fiansk,1,"Plon, Eugéne (1836–1895): …fiansk Kunsthistorike…"
filologiske,1,"Thiersch, Friedrich (1784–1860): …, Professor ved Det filologiske Seminar i Münc…"
geografiske,1,"Erslev, Edvard (1824–1892): …ssor 1871, Forf. af geografiske Lærebøger.…"
germansk,1,"Møller, Herman (1850–1923): …21 Professor sst. i germansk Filologi.…"
glassenske,1,"Classen, P. H. (1804–1886): …Direktør for det Glassenske Fideikommis, K…"
godske,1,"Krogh, Charlotte von (1827–1913): …Datter af Godske v. K.…"
godssamlerske,1,"Marsvin, Ellen (1572–1649): …Adelig Godssamlerske, Moder til Kir…"
gæstgiverske,1,"Madsen, Caroline, f. Hahnefeldt (død 1865, 70 år gl.): …Gæstgiverske, Svendborg.…"
handelspolitisk,1,"Francke, Karl (1805–1870): …t 1840–1848, 1847 i handelspolitisk Mission til En…"
harpespillerske,1,"Spohr, Dorette (Dorothea), f. Scheidler (1781–1834): …Harpespillerske, g. 1806 m. Lu…"
hempelske,1,"Helm-Petersen, S. F. (1838–1897): …oghandler i Odense (Hempelske Boghandel) 187…"
historisk-geographisk,1,"Riise, J. C. (1794–1875): … og Geographie« og »Historisk-geographisk Archiv«, Medst…"
hotelejerske,1,"Esselbach, Dorothea (Doris), f. Seest (1806–1869): …Hotelejerske, Slesvig.…"
husejerske,1,"Larsen, Eline Christine Barbara (1829–1914): …af Karen Sophie L., Husejerske i Odense.…"
hysterisk,1,"Madsen, Jomfru: …(»En gal hysterisk Pige på Hospit…"
indehaverske,1,"Mørch, Dorothea Juliane, f. Sjobeck (1805–1880): …tsgartner O.J.N.M., Indehaverske af en Blomster…"
juridisk,1,"Scheel, A. W. (1799–1879): …alauditør, dr.jur., juridisk Forfatter.…"
kirkehistorisk,1,"Bunsen, C. J. von (1791–1860): …rre, arkæologisk og kirkehistorisk Forfatter.…"
kirkehistoriske,1,"Andresen, Valdemar (1838–1918): …tter af Digte og af kirkehistoriske Afhandlinger.…"
kirurgisk-medicinske,1,"Reichenbach, Ludwig (1793–1879): …r i Botanik ved det kirurgisk-medicinske Akademi i Dres…"
kronborgske,1,"Drewsen, Carl (1795–1878): …v. Skovfoged i 3die kronborgske Skovdistrikt.…"
latinsk,1,"Aubert, Ludvig Cæsar Martin (1807–1887): …40–1875 Professor i latinsk Filologi ved C…"
luthersk,1,Hof præsten i Dresden: …(luthersk).…
lyrisk,1,"Dreves, Leberecht (1818–1870): …Tysk lyrisk Digter, Advoka…"
marinehistorisk,1,"Tuxen, Johan Cornelius (1820–1883): …875 kar. Kommandør, marinehistorisk Forfatter, Fol…"
marsk,1,"Hvide, Stig Andersen (død 1293): …Marsk.…"
medicinalhistorisk,1,"Mansa, F. V. (1794–1879): …øetaten, Etatsraad, medicinalhistorisk Forfatter.…"
mekaniske,1,"Nygren, Carl Daniel (1806–1851): …gnestuen ved Motala mekaniske Værksted.…"
meteorologiske,1,"Rung, Georg (1845–1903): …derbestyrer ved Det meteorologiske Institut.…"
militærpolitisk,1,"Westrup, J. S. (1833–1901): …ajns Karakter 1875, militærpolitisk Forfatter.…"
mineralogisk,1,"Rørdam, Astrid (1859–1934): …Fætter Assistent på Mineralogisk Museum, senere…"
minsk,1,"Ingemann, Clara (ca. 1845?-ca. 1922): …uisk, Guvernementet Minsk og russisk Sta…"
morderske,1,"Corday, Charlotte (1768–1793): …Marats Morderske.…"
musikalske,1,"Delépierre, Juliette og Julia: …musikalske Vidunderbørn (…"
naturhistoriske,1,"Schlegel, Hermann (1804–1884): …verdirektør ved det naturhistoriske Museum.…"
nyeuropæisk,1,"Olde, Emanuel Mathias (1802–1885): …Professor i nyeuropæisk Lingvistik og …"
orientalske,1,"Gayangos y Arce, Pascuâl de (1809–1897): …Professor i orientalske Sprog i Madrid…"
praktisk,1,"Björlingson, Carl Julius (1803–1875): …Docent i praktisk Økonomi, Uppsa…"
pædagogisk,1,"Horner, Leonard (1785–1864): …Engelsk Geolog og pædagogisk Reformator.…"
ransk,1,"Chopin, Frédéric (1810–1849): …polsk-f ransk Komponist.…"
rantzauske,1,"Rantzau, August: …) til det grevelige Rantzauske Forlods, sener…"
reiersenske,1,"Krarup, Nicolai Edinger (1813–1867): …se af Kongen og Det Reiersenske Fond, senere A…"
religions-historisk,1,"Lund, L. (1844–1912): …Zoolog, religions-historisk Forfatter, Dig…"
romanske,1,"Sundby, Thor (1830–1894): …og 1887 Professor i romanske Sprog.…"
schimmelmannske,1,"Moldenhawer, Wilhelm (1831–1917): …ministrator for det Schimmelmannske Fideikommis i …"
schäfferske,1,"Rolfsen, Johan Nordal (1848–1928): … i København på det Schäfferske Legat, senere …"
slaviske,1,"Bodenstedt, Friedrich Martin (1819–1892): …54–1867 i München i slaviske Sprog og Litte…"
socialistisk,1,"Hertz, Frederik Adolf (1831–1925): …Malersvend, socialistisk Agitator, Reda…"
sociologisk,1,"Nyström, Anton Christen (1842–1931): …sk Læge, historisk, sociologisk og politisk Fo…"
städelske,1,"Veit, Philipp (1793–1877): …r, Direktør for det Städelske Institut i Fra…"
theologiske,1,"Scharling, Emil (1822–1901): …eol., Notar ved Det theologiske Fakultet, 1860…"
tiggerske,1,"Jensen: …København 5.9.1869, Tiggerske.…"
tyskevangeliske,1,"Trautvetter, Arno: …Præst for den tyskevangeliske Menighed i Cai…"
viborgske,1,"Sporon, B. G. (1822–1917): …Skovrider i det Viborgske Skovriderdistr…"
voigtske,1,"Madsen, A. S. (død 1888): …aaborg, Ejer af den Voigtske Gaard.…"
wærumske,1,"Neve, Jens Chr. Sigismund (1810–1875): …g Inspektør ved det Wærumske Institut.…"
æstetisk,1,"Becker, Tyge (1812–1869): …historisk og æstetisk Forfatter, tit…"
økonomisk,1,"Fleischer, Esaias (1732–1804): …d, Naturhistoriker, økonomisk og theologisk …"
østasiatiske,1,"Lund, Friedrich E. A. E. (1823–1907): …70–1872 på Togt til østasiatiske Farvande for a…"
østerlandske,1,"Brandes, Edvard (1847–1931): … 1865, cand. mag. i østerlandske Sprog 1872, Kr…"
