entity_id,label,nationalitet,koen,confidence,konflikt,indikatorer,forklaring,menneskelig_vurdering,kommentar
Reg0119990,"– Se også: Danmark, Louise, Kronprinsesse af Sverrig, Magnus, Prins af – (1542–1595)",,Endnu ubestemt,0.657,4.28,Titel (label): Titel i label: Kronprinsesse | Titel (label): Titel i label: Prins | Slægtsrelation: Beskrivelsen indledes med »Søn af …« | Fornavn: »Louise« → kvindeligt i generel kontekst (nationalitet ukendt) (69/69 sikre poster),"4 indikator(er), men modstridende retninger (konfliktstyrke 4.3) — bevidst efterladt ubestemt frem for at skjule usikkerheden bag en score.",,
Reg0038680,"Bird, Edward Francis (1825–1893)",,Endnu ubestemt,0.593,2.2,Slægtsrelation: »Søster til …« — beskriver posten selv | Pronomen: Pronomen »hans« i beskrivelsen | Fornavn: »Edward« → mandligt i generel kontekst (nationalitet ukendt) (10/10 sikre poster),"3 indikator(er), men modstridende retninger (konfliktstyrke 2.2) — bevidst efterladt ubestemt frem for at skjule usikkerheden bag en score.",,
Reg0038540,Birch,,Endnu ubestemt,0.544,1.8,Titel: »Fru« brugt om posten selv (ikke foran et egennavn) | Pronomen: Pronomen »han« i beskrivelsen,"2 indikator(er), men modstridende retninger (konfliktstyrke 1.8) — bevidst efterladt ubestemt frem for at skjule usikkerheden bag en score.",,
Reg0110300,"Sandberg, Frk.",,Endnu ubestemt,0.69,1.8,Slægtsrelation: Beskrivelsen indledes med »Datter af …« | Pronomen: Pronomen »hans« i beskrivelsen | Fornavn: »Frk« → kvindeligt i generel kontekst (nationalitet ukendt) (11/11 sikre poster),"3 indikator(er), men modstridende retninger (konfliktstyrke 1.8) — bevidst efterladt ubestemt frem for at skjule usikkerheden bag en score.",,
Reg0111660,"Scheele, Frøken",,Kvindelig,0.704,1.8,Titel (label): Titel i label: Frøken | Slægtsrelation: »Søster til …« — beskriver posten selv | Pronomen: Pronomen »han« i beskrivelsen,"3 indikatorer peger overvejende på kvindelig, men der er også modevidens (konfliktstyrke 1.8).",,
Reg0034920,"Bartholdy, Jacobine (1843–1925)",,Endnu ubestemt,0.682,0,"Ægteskab: »gift med Viggo« — ægtefællens fornavn peger modsat (afledt, lav vægt)","1 indikator(er), men samlet for svagt grundlag (confidence 0.68 under tærsklen 0,70).",,
Reg0075080,"Jacobsen, Freya (1845–1927)",,Endnu ubestemt,0.682,0,"Ægteskab: »gift med Vilhelm« — ægtefællens fornavn peger modsat (afledt, lav vægt)","1 indikator(er), men samlet for svagt grundlag (confidence 0.68 under tærsklen 0,70).",,
Reg0131340,"Ziegler, Margarete (død 1531)",,Endnu ubestemt,0.682,0,"Ægteskab: »gift med Hans« — ægtefællens fornavn peger modsat (afledt, lav vægt)","1 indikator(er), men samlet for svagt grundlag (confidence 0.68 under tærsklen 0,70).",,
Reg0108140,"Rubinstein, Vera f. de Tjekunov",,Endnu ubestemt,0.678,0,"Ægteskab: »gift med Anton« — ægtefællens fornavn peger modsat (afledt, lav vægt)","1 indikator(er), men samlet for svagt grundlag (confidence 0.68 under tærsklen 0,70).",,
Reg0044520,"Burt, Ernestine, f. von Staffeldt (1797–1831)",,Endnu ubestemt,0.672,0,"Ægteskab: »gift med John« — ægtefællens fornavn peger modsat (afledt, lav vægt)","1 indikator(er), men samlet for svagt grundlag (confidence 0.67 under tærsklen 0,70).",,
Reg0066310,"Hansen, Gunild Margrete",,Endnu ubestemt,0.672,0,"Ægteskab: »gift med Jørgen« — ægtefællens fornavn peger modsat (afledt, lav vægt)","1 indikator(er), men samlet for svagt grundlag (confidence 0.67 under tærsklen 0,70).",,
Reg0036920,"Berg, Christiane (1851–1912)",,Kvindelig,0.885,0,"Fornavn: »Christiane« → kvindeligt i generel kontekst (nationalitet ukendt) (20/20 sikre poster) | Ægteskab: »gift med Georg« — ægtefællens fornavn peger modsat (afledt, lav vægt)",2 uafhængige indikatorer peger på kvindelig.,,
Reg0051510,"David, Caroline (1832–1878)",,Kvindelig,0.885,0,"Fornavn: »Caroline« → kvindeligt i generel kontekst (nationalitet ukendt) (77/77 sikre poster) | Ægteskab: »gift med Harald« — ægtefællens fornavn peger modsat (afledt, lav vægt)",2 uafhængige indikatorer peger på kvindelig.,,
Reg0061520,"Gerstenberg, Juliane (Lulu), (1842–1930)",,Kvindelig,0.885,0,"Fornavn: »Juliane« → kvindeligt i generel kontekst (nationalitet ukendt) (11/11 sikre poster) | Ægteskab: »gift med Frederik« — ægtefællens fornavn peger modsat (afledt, lav vægt)",2 uafhængige indikatorer peger på kvindelig.,,
Reg0065270,"Haller, Sophie von (1767–1797)",,Kvindelig,0.885,0,"Fornavn: »Sophie« → kvindeligt i generel kontekst (nationalitet ukendt) (77/77 sikre poster) | Ægteskab: »gift med Jens« — ægtefællens fornavn peger modsat (afledt, lav vægt)",2 uafhængige indikatorer peger på kvindelig.,,
Reg0069940,"Hertz, Louise Josephine, f. von Halle (1830–1912)",,Kvindelig,0.885,0,"Fornavn: »Louise« → kvindeligt i generel kontekst (nationalitet ukendt) (69/69 sikre poster) | Ægteskab: »gift med Henrik« — ægtefællens fornavn peger modsat (afledt, lav vægt)",2 uafhængige indikatorer peger på kvindelig.,,
Reg0074170,"Høegh-Guldberg, Anna Dorothea, f. von Munthe af Morgenstierne (1774–1766)",,Kvindelig,0.885,0,"Fornavn: »Anna« → kvindeligt i generel kontekst (nationalitet ukendt) (104/104 sikre poster) | Ægteskab: »gift med Christian« — ægtefællens fornavn peger modsat (afledt, lav vægt)",2 uafhængige indikatorer peger på kvindelig.,,
