entry_id,name,pages
PerXI00196,"Drewsen, J. C.",II:253 II:254 II:255 II:406 IX:291
PerXI00290,"Griffin, Alice McClure",IX:191 IX:192 IX:225 IX:226
PerXI00596,"Palmerston, Henry John Temple, Viscount",III:208 III:209 III:218 III:223
PerXI00677,"Rollett, Herman",III:168 III:51 III:59 III:60
PerXI00705,"Santen, Frederika Christina van, f. Bernhard",III:202 VII:58 VII:59
PerXI01056,"Almeida, Carlos Augusto de, Visconde, senere",VII:115 VII:149 VII:153 VII:154 VII:156 VII:160 VII:78
PerXI01071,"Amé's Broder, Bordeaux 1866. VII 89 174 176. Amé's Far",VII:173 VII:176 VII:177 VII:342 VII:89
PerXI01162,"Apollonio Greco, (13. Aarhundrede)",
PerXI01188,"Arnesen Kali, Benedicte",VIII:447 VIII:449 X:390 X:433 X:434
PerXI01222,"Augustenborg, Prinsesserne af Slesvig- Holsten-Sønderborg, Døtre af Prins Emil af A. (Charlotte",II:407 III:64 III:65
PerXI01404,"Bayer, Chr. Fr.",VIII:399 VIII:400 X:431
PerXI01596,"Bernini, Lorenzo",I:289 I:380
PerXI01971,Brammer,IV:26 IV:27
PerXI02226,"Bull, Ole",II:253 II:377 III:139 III:140 III:146 IV:14 IV:15 IV:4 IV:470 VII:10 VII:11 VII:12 VII:13 VII:14 VII:17 VII:18 VII:7 VII:8
PerXI02228,"Bull, Søren Christian Ørsted",IX:121 IX:122 IX:124 IX:125 IX:128 IX:134
PerXI02245,"Burdett-Coutts, Angela",III:265 IV:242 IV:243 IV:246 IV:247 IV:251 X:315
PerXI02310,"Cabrun, Baron, Berlin",
PerXI02328,"Calon, P.",VII:223 VII:268 VII:282 VII:346 VII:350 VII:351 VII:70 VII:73 VII:74 VII:75 VII:77 VIII:331 VIII:334 VIII:70
PerXI02465,"Cederfeld de Simonsen, Carl",II:258 II:259
PerXI02565,"Clausen-Schütz, Christian Ludwig",III:147 III:149 III:150 III:240 III:242 III:245
PerXI02629,"Colloredo-Mansfeld, Hieronymus, Greve",I:496 I:497
PerXI02779,"Danmark, Charlotte Frederikke, Prinsesse af -, f. Prinsesse af Mecklcnburg- Schwerin",I:210 I:217 I:220 I:228 I:253 I:259 I:260 I:261 I:275 I:290 I:291 I:295 I:298 I:300 I:368 I:374 II:128 II:149 VI:212
PerXI02855,Daumas,VII:176 VII:177
PerXI03030,"Drewsen, Amalie (Malle), f. Kumme!",III:390 III:396 IV:205 IV:230 IV:234 IV:237 IV:241 IV:26 IV:280 IV:288 IV:32 IV:331 V:135 V:20 V:285 V:321 V:405 VII:244
PerXI03071,"Dröscher, Menig, 9. Infanteri-Regiment, 8. Kompagni, Nr. 405",VI:74 VI:75 VI:76 VI:77 VI:78 VI:79
PerXI03074,"Due, Frederik",III:311 III:312 III:314 III:324 III:325 III:88 III:89 III:90 III:92 IX:198 IX:220 IX:221 IX:224 IX:226 VII:251 VIII:285 VIII:286
PerXI03269,Evers,IX:368 IX:369
PerXI03410,"Firmenich, Broder til Johann Mathias F. IV 178. Firmenich (Richartz), Johann Mathias",I:419 I:421 I:422 I:430 I:438 I:439 IV:178
PerXI03605,"Frommann, Allwina",III:29 III:30 III:31 III:34 III:35 III:37 IV:216 IX:269
PerXI03919,Griffin,IX:191 IX:192 IX:225 IX:226
PerXI04193,"Hansen, Edmund, Øjenlæge",
PerXI04537,Herzog og Frue fra Württemberg,IV:109 IV:110 IV:112
PerXI04645,"Hohwü, Andreas",VII:34 VII:35 VII:44 VIII:61
