min_entry_id	verdict	surname	n_fragments	fragments	xlsx_matches	scores	any_in_kun_xlsx	split?
PerXI00267	MANUAL	Arnaud	2	H., se: Reybaud. || Fanny. Arndt, Ernst Moritz	Raynaud, P. || Arndt, Ernst Moritz (1769–1860)	0.74 || 0.84	no	no
PerXI00326	MANUAL	Avisard	2	Sougey, »en Ven af Bindesbøll«, Berlin 28.12.1845. III 35. || B. 	Bindesbøll, Severin (1798–1871) || Baade, Knud (1808–1879)	0.42 || 0.88	no	no
PerXI00368	SAFE	Bailac	2	J., dansk Vicekonsul i Bayonne. V 332. || Bajazet (Bajazid) I	Bailac, J. || Bajazet (Bajazid) I (1347–1403)	1.00 || 1.00	no	yes
PerXI00700	MANUAL	Berry	2	Grevinde, »født i Svendborg«, Paris 19.4.1867. VII 269. || Bertall (Pseud. for Charles-Albert d'Arnoux)	Lynar, Marie, Grevinde, f. Friherreinde von der Marwitz (1821–1895) || Bertall (Pseud. for Charles-Albert d’Arnoux) (1820–1883)	0.47 || 0.98	no	no
PerXI01678	MANUAL	Clavaud	2	Armand (1828-efter 1889), fransk Botaniker, Bordeaux, Professor 1874. VII 87. demens III (død 1191), Pave 1187. I 402. || Clemens VII	Clavaud, Armand (1828–efter 1889) || Clemens VII (1477–1534)	1.00 || 1.00	yes	yes
PerXI02398	MANUAL	Eyckholt	2	Frue, Moder til Fru Lowener, Gent 8.5.1868. VIII 64. || F. Faaborg, Christian	Holstein, Frederik Adolph, Lensgreve (1784–1836) || Faaborg, Christian (1811–1857)	0.45 || 0.92	no	no
PerXI02536	MANUAL	Firmenich	2	Broder til Johann Mathias F. IV 178. || Firmenich (Richartz), Johann Mathias	Firmenich (Richartz), Johann Mathias (1808–1889) || Firmenich (Richartz), Johann Mathias (1808–1889)	0.68 || 1.00	no	no
PerXI02644	SAFE	Franzos	2	Angelo, italiensk Billedhugger. I 199. || Frauenlob (Heinrich von Meissen)	Franzos, Angelo || Frauenlob (Heinrich von Meissen) (ca. 1260–1318)	1.00 || 1.00	yes	yes
PerXI03048	MANUAL	Grégoire	4	Ernest, fransk Journalist, Oversætter af HCA.s Eventyr. Deltager i det franske Journalistbesøg i København August 1867. VII 343 347 349- 51. X 54-55 61 64 72 159 160 161 168-69 189 201 202 224 470. || Gregor VII (død 1085), Pave 1073. I 339. || Gregor XIV	Grégoire, Ernest || Gregor VII (død 1085) || Gregor XIV (1535–1591)	1.00 || 0.00 || 1.00 || 1.00	yes	yes
PerXI03692	SAFE	Hesse	2	Wilhelmine Charlotte, f. Neuendorff (1792-efter 1837), tysk Operasangerinde, ved Hamburger Stadttheater 1822-37, g. 1822 m. Portrætmaler Joh. Friedr. David Philipp H. I 123. || Hessen (-Darmstadt), Ludwig I, Storhertug af —	Hesse, Wilhelmine Charlotte, f. Neuendorff (1792–efter 1837) || Hessen (-Darmstadt), Ludwig I, Storhertug af – (1753–1830)	1.00 || 0.98	yes	yes
PerXI04111	MANUAL	Insinger	2	J. H., Direktør for Nederlandske Bank, Amsterdam. VII 47 54. || X 133. loannou, Filippos	Bille, Karen Dorothea Frederikke, f. Meisler (1803–1864) || Ioannou, Filippos (1796–1880)	0.45 || 0.78	no	no
PerXI04204	MANUAL	Jensen	3	Thora, Skuespillerinde ved Casino 1855-62. V 413. || VI 128. || Jenssen (-Tusch), Georg Friedrich	Andersen, Thora Emilie Hansine, f. Grønbech (1834–1918) || Jenssen(-Tusch), Georg Friedrich (1789–1888)	0.50 || 0.00 || 0.98	no	yes
PerXI04270	MANUAL	Josva	2	Nuns Søn, Israels Fører efter Moses' Død. II 54. || Juan d'Austria	Hasle, Søren Niels Peter (1814–1890) || Juan d’Austria (1547–1548)	0.45 || 0.93	no	no
PerXI04622	MANUAL	Krantz	2	Grosse Reichenstrasse, Hamburg 1856, se: Cranz, A. || H. Krarup, Nicolai Edinger	Streits Hotel, Hamburg || Krarup, Nicolai Edinger (1813–1867)	0.46 || 0.94	no	no
PerXI04931	MANUAL	Léon	2	Emilie & Virgile, Bayonne 25.4. 1866. VII 91. || Leonardo da Vinci	Léon, Emilie & Virgile || Leonardo da Vinci (1452–1519)	0.69 || 1.00	yes	yes
PerXI05141	SAFE	Lowenberg	2	Rougemont de, parisisk Bankier-Firma. I 145. || Lowsow (Lowtsow), Chr. von	Löwenberg, Rougemont de || Lowsow (Lowtsow), Chr. von (1788–1870)	1.00 || 1.00	yes	yes
PerXI05820	MANUAL	Morsing	3	Johanne (død 1776, 55 Aar gi.), Enke efter Chr.M. I 58. || Mortensen (i det vestlige Amerika), se: Morton, H. || C. Mortier de Fontaine, Henri Louis Stanislaus	Morsing, Johanne (død 1776, 55 år gl.) || Martensen, Anna Maria (1841–1888) || Mortier de Fontaine, Henri Louis Stanislaus (1816–1883)	1.00 || 0.51 || 0.97	yes	no
PerXI06169	SAFE	Nørgaard	2	E. A. (død 1891), Inspektør ved Rosenborg Brønd-Anstalt. IV 241. || O. Oberlin, Jeremias Jacob	Nørgaard, E. A. (død 1891) || Oberlin, Jeremias Jacob (1735–1806)	1.00 || 0.94	no	yes
PerXI06285	MANUAL	Ozeroff	3	Peter von, russisk Legationssekretær, København. VIII 169. IX 31. || P. Paap, Frederikke Wilhelmine Lovise	Ozeroff, Peter von || Paap, Frederikke Wilhelmine Lovise (1813–1852)	1.00 || 0.00 || 0.96	yes	yes
PerXI06545	MANUAL	Plessen	2	Baron (paa hvis Gods Corfitz Ulfeldts Lig skulde være fundet). II 271. || Plessen (fra 1853: Scheel-Plessen), Cail, Baron, senere Greve	Bissen, Anna Vilhelmine, f. Bruun (1830–1905) || Piessen (fra 1853: Scheel-Plessen), Cail, Baron, senere Greve (1811–1892)	0.41 || 0.98	no	no
PerXI07488	MANUAL	Scheltema	2	Carel Steven Adama van, se: Adama van Scheltema, C. || S. Schenk, Eduard von	Adama van Scheltema, Carel Steven (1815–1897) || Schenk, Eduard von (1788–1841)	0.70 || 0.92	no	no
PerXI08563	MANUAL	Trampe	2	Greve, Fredericia 1849, se: Tronier, C. || F. Trane, Carl Christian	Lassen, Elise Frederike (f. ca. 1842) || Trane, Carl Christian (1823–1849)	0.60 || 0.93	no	no
PerXI08576	MANUAL	Treibien	2	vist: Dreibein, se denne. || Trémolières, Pierre	Eben || Trémoliéres, Pierre (1703–1739)	0.67 || 1.00	no	no
PerXI08898	MANUAL	Warberg	2	C., Fører af Dampskibet Götheborg, Göta Kanal 1849. III 375. || Warberg (Vahrberg), Casten Adolf	Due, Frederik Georg Knut (1833–1906) || Warberg (Vahrberg), Casten Adolf (1785–1868)	0.41 || 1.00	no	no
PerXI09219	SAFE	Young	2	Mary, g.m. David Livingstones Ven James Young of Kelly, Kemiker og Paraffin-Fabrikant. VIII 400. || Uxkull (Uexkull), Berend (Boris), Friherre	Young, Mary || Ûxküll (Uexküll), Berend (Boris), Friherre (1793–1870)	1.00 || 1.00	yes	yes
