entry_id	surname	marker	verdict	n_fragments	fragments	xlsx_matches	scores
PerXI00067	Agier	a	SAFE	2	Søn af Eline A., 1842-46 Elev paa Sorø Akademis Skole, død som Styrmand paa Rejse fra Rio til Hamburg. II 297. || Agnello (eller: Agnelli), Salvatore (1817- 74), italiensk Operakomponist.	(row's own continuing description) || Agnello (eller: Agnelli), Salvatore (1817–1874)	1.00 || 1.00
PerXI00099	Ahrenberg	a	MANUAL	2	fil.mag., senere Rektor i Viborg, Finland. I 298 383-85. || Ahrens (Arenz), Portugiser, Setubal.	(row's own continuing description) || Ahrens (Arenz)	1.00 || 0.57
PerXI00162	Ancelot	a	MANUAL	2	fransk Forfatterinde, g. 1818 m. Fr. A. II 348 354-55 356. || Ancker (Anker?), Sorø 20.5.1850.	(row's own continuing description) || Ancker (Anker?)	1.00 || 0.65
PerXI00224	Anholm	a	MANUAL	2	Søn af Johannes A., Kadet 1863, Sekondløjtnant i Søetaten 1869, Premierløjtnant 1872. VI 116 180 218-19. || Anker (Ancker?), Sorø 20.5.1850.	(row's own continuing description) || Anker (Ancker?)	1.00 || 0.65
PerXI00244	Apfelstedt	a	SAFE	2	Paul, tysk Autografsamler, Frankfurt a.M. 1875. X 451. || Apollonio Greco (13. Aarhundrede), græsk(?) Kunstner i Italien.	(row's own continuing description) || Apollonio Greco (13. århundrede)	1.00 || 0.98
PerXI00269	Arnemann	a	MANUAL	2	g.m. Carl Th. A. IV 448. VIII 236. || Arnesen (Arntzen?).	(row's own continuing description) || Ahrens (Arenz)	1.00 || 0.69
PerXI00292	Atterbom	a	SAFE	2	svensk Digter. II 16 18 20 27. III 315 317- 18 326 333. || Attila (død 453), Hunnernes Konge 433.	(row's own continuing description) || Attila (død 453)	1.00 || 1.00
PerXI00443	Barfod	a	SAFE	2	Student 1828, Historiker. V 153. VIII 366 386. || Barfoed (Barfod), Peter Marius (1813- 89), Broder til Frederik Barfod, personel Kapellan i Fakse 1838-43, 1852 Sognepræst i Førslev, 1863 i Lille Lyngby.	(row's own continuing description) || Barfoed (Barfod), Peter Marius (1813–1889)	1.00 || 1.00
PerXI00483	Bauernfeld	a	SAFE	2	østrigsk Skuespilforfatter. II 251-53. III 20 73 76. IV 68 147. VIII 282. || Baumann (død 1670), Bjergmand i Harzen, opdagede Baumanns Hule ved Rübeland.	(row's own continuing description) || Baumann (død 1670)	1.00 || 1.00
PerXI00494	Bayer	a	SAFE	2	østrigsk Skuespiller. I 491. || Bayer (-Bürck), Marie (1820-1910), tysk Skuespillerinde, g. 1849 m. Forfatteren August Bürck, 1863 m. Oberstløjtnant Falkenstein.	(row's own continuing description) || Bayer (-Bürck), Marie (1820–1910)	1.00 || 1.00
