entry_id	surname	verdict	head	n_tail_fragments	tail_fragments	xlsx_matches	scores
PerXI00315	Augustenborg	MANUAL		1	Pauline (1804-87), Amalie (1813-70), Sophie (1815-61)).	Line	0.73
PerXI00793	Bille-Brahe	MANUAL	Datter af A. W. Moltke, g. 1852 m. Christian Bille- Brahe. VII 185. X 235. — Se ogsaa: Moltke, Maria. Bille-Brahe,	1	Preben, Lensgreve (1773- 1857), Besidder af Grevskabet Brahesminde, Egeskov og Svanholm, Gehejmekonferensraad.	Bille-Brahe, Preben, Lensgreve (1773–1857)	0.72
PerXI00886	Blixen Finecke	MANUAL	g. 1873 m. Frederik B.F. X 165 323. — Se ogsaa: Frijs, Clara Krag-Juel-Vind-. Blixen Finecke,	1	Frederik, Baron (1847- 1919), Søn af Carl Frederik B.F., senere Besidder af Dallund og Näsbyholm.	Frederik I Barbarossa, tysk-romersk Kejser (1122–1190)	0.72
PerXI01219	Brockenhuus-Schack	MANUAL	Datter af A.W.Moltke, g. 1854 m. Ludvig B.-S. X 284. — Se ogsaa: Moltke, Julie. Brockenhuus-Schack,	1	Knud, Greve (1823 - 92), til Stamhuset Giesegaard og Godserne Gram og Nybøl, Kammerherre.	Knuth, Greve	0.87
PerXI01714	Clavaud	MANUAL	fransk Botaniker,	1	Bordeaux, Professor 1874. VII 87. demens III (død 1191), Pave 1187.	Suzor, Madame de, Grevinde, f. de Livio	0.43
PerXI01768	Collin	MANUAL	Datter af Jonas C.d.Æ., g. 1840 m. W. Lind. I 119 154 164 271 279 295 328 332 352 424. II 4 41 43 51. — Se ogsaa: Lind, Louise.	2	Collin, Louise (1839-1920), Datter af Edvard C., g. 1872 m. Viggo Drewsen. III 288. IV 195 205 468. V 10 25 87 90 135 137 164 183 191 193-96 198 200-02 205 207 349 360 388 411 414 424-25 429. VI 22 25 64 102-05 116 121 182 191 267 313 316. VII 187 215 395. VIII 21 97 129 174 202 214 331 352 380 420 448. IX 23 83 94 138 179 250 294 296 338. — Se ogsaa: Drewsen, Louise. Collin, Magdalene, f. Hansen (1841-94), Datter af Operasanger Chr. H., g. 1866 m. Edgar C. VII 308 317 334. VIII 414. — Se ogsaa: Hansen, Magdalene. Collin, Marie, f. Grønberg (1841-99), g. 1862 m. Hjalmar C. VIII 159. IX 165. — Se ogsaa: Grønberg, Marie. || Collin, Theodor (1815-1902), Søn af Jonas C., 1833 Student, 1841 cand. med., 1847-48 Overskibslæge, 1849-94 Teaterlæge, 1859 tit. Professor. HCA.s Læge.	Collin, Louise (1839–1920) || Collin, Theodor (1815–1902)	1.00 || 1.00
PerXI01973	Danneskiold-Samsøe	MANUAL	Datter af Chr. D.-S. (1800-86), g. 1865 m. Grev Christian Moltke-(Lystrup). VI 328 330. — Se ogsaa: Moltke, Amalie. Danneskiold-Samsøe, Christian Conrad	1	Sophus, Greve (1800-86), Søn af Henriette D.-S., Overstaldmester hos Kong Christian VIII, Overskænk hos Kong Frederik VII, 1867 Gehejmekonferensraad, 1869 Lensgreve og Besidder af Grevskabet Samsø og Overdirektør for Gisselfeld adelige Kloster.	Knuth, Sophus, Greve (1827–1867)	0.79
PerXI01984	Danneskiold-Samsøe	MANUAL	Datter af C. E. Krag- Juel-Vind-Frijs, g. 1867 m. senere Lensgreve Christian D.-S. (1838- 1914). VIII 31 114-15 200 231 356. — Se ogsaa: Frijs, Henriette Krag-Juel- Vind-. Danneskiold-Samsøe, Louise, Grevinde, f. von Zytphen (1818-1903), Datter af Louise Augusta von Z., g. 1850 m. Christian D.-S. (1800-86). VI 329-30. VII 250. VIII 48 347 361. IX 66 246. — Se ogsaa: Zytphen, Louise. Danneskiold-Samsøe,	1	Otto, Greve (1841- 96), Søn af Sophus D.-S., Sekondløjtnant, 1867 Premierløjtnant, Hofjægermester.	Moltke, Otto, Greve (1860–1937)	0.73
PerXI01987	Danneskiold-Samsøe	MANUAL	Datter af C. C. Zahrtmann, g. 1863 m. Christian D.-S. (1836-1908). V 391. VI 119 218 337. VIII 69 111. IX 2 212-15 228 360-61 366. X 43 192 194 429. — Se ogsaa:	1	Zahrtmann, Wanda. Dante Alighieri (1265-1321), italiensk Digter.	Zahrtmann, Wanda (1842–1916)	0.65
PerXI02030	Dawison	MANUAL	Constance, f. Jacobi, g. 1861 m. Bogumil D. V 111. — Se ogsaa:	1	Jacobi, Constance. Decebalus (død 107), Dacierfyrste.	Jacobi, Constance	0.76
