entry_id	surname	also_defect_in_xlsx	mine_raw_text	xlsx_titles_same_surname
PerXI01823	Caesar	no	Caesar, W. H. (1795-1872), dansk Konsul i Bremen). II 310 391. III 16 191. D. Daa, Gregers (1658-1712), Søn af Valdemar D., Generalmajor. IV 363.	Caesar, Luise Elisabeth Henriette, f. von Scholten (1804–1847) | Caesar, W. H. (1795–1872)
PerXI02902	Gerstenberg	yes	Gerstenberg, Frøken (enten Michaela Christine G. (1836-1904, g. 1869 med Lærer ved Borgerskolen i Hillerød og Kantor ved Frederiksborg Slotskirke H. H. Erslev) eller hendes Søster Dagmar G. (1846-1912, g. 1874 m. Magister Paul Georg Lindblad, Åbo), Søsterdøtre af Adelgunde og Christian Herbst. VII 375.	Gerstenberg, Frøken | Gerstenberg, Juliane (Lulu), (1842–1930) | Gerstenberg, Karl von (1838–1888)
PerXI02963	Glücksborg	yes	Glücksborg, Prinsesse af Slesvig-Holsten- Sønderborg-G., Datter af Hertug Frederik af G., Broderdatter af Chr. IX af Danmark (enten Auguste (1844- 1932, g. 1884 m. Prins Wilhelm Ernst af Hessen-Philippsthal) eller Louise (1858-1936, g. 1891 m. Fyrst Georg III Victor af Waldeck und Pyrmont) eller Marie (1859-1943). X 238.	Glücksborg, Prinsesse af Slesvig-Holsten-Sønderborg-G. | Glücksborg, Carl, Hertug af Slesvig-Holsten-Sønderborg-G. (1813–1878) | Glücksborg, Christian, Prins af Slesvig-Holsten-Sønderborg-G. (1818–1906) | Glücksborg, Johann (Hans), Prins af Slesvig-Holsten-Sønderborg-G. (1825–1911) | Glücksborg, Julius, Prins af Slesvig-Holsten-Sønderborg-G. (1824–1903) | Glücksborg, Louise Caroline, Hertuginde af Slesvig-Holsten-Sønderborg-G., f. Prinsesse af Hessen-Kassel (1789–1867) | Glücksborg, Wilhelm, Prins af Slesvig-Holsten-Sønderborg-G. (1824–1903) | Glücksborg, Wilhelmine, Hertuginde af Slesvig-Holsten-Sønderborg-G., f. Prinsesse af Danmark (1808–1891)
PerXI03395	Harboe	yes	Harboe, Hans Frederik Munch (1868-?), 1900), Koffardikaptajn, 1860-65 Fører af Fregatskibet Birgitte Melchior. V 293. VIII 247-48.	Harboe, Arenthine (1808–1887) | Harboe, Eleonore Christine (1796–1860) | Harboe, Frederik Carl Chr. (1804–1869) | Harboe, Hans Frederik Munch (1868–?) | Harboe, Henrich Christian Wilhelm (1835–1880) | Harboe, Jørgen Gottfried Thuerecht (1823–1890) | Harboe, Marie, f. Mohns (død 1880) | Harboe, Wilhelmine Margrethe, f. Schickerling (død 1905)
PerXI03669	Hertz	no	Hertz, Henrik (1798-1870), Digter. I 162 186 234-37 239 243 245 247-48 253 258-59 261-62 267 269 271-72 274 277 279-81 283 288 292 294 297- 98 300-01 308 310-12 314 316 318-19 321-27 329 332 336-37 340-41 344-46 348 351-52 357-59 367 393 426 456 474 476. II 27 277. III 38 271. IV 11 17 364 469. V 16 134 385 439. VI 4 184 188 19) 234. VII 13 213 218-19 239 244 246 247 374-75. VIII 18 46 102 176 178 183 234 275 324 338-39 342 348 349 399. IX 8 9 13 232 235. X 5.	Hertz | Hertz, Frue | Hertz, Adolph (1824–1882) | Hertz, Cecilie, f. Larsen (1829–1919) | Hertz, Frederik Adolf (1831–1925) | Hertz, Hans (1793–1868) | Hertz, Henrik (1798–1870) | Hertz, Henrik (1840–1917) | Hertz, Louise Josephine, f. von Halle (1830–1912) | Hertz, Martin (1817–1879) | Hertz, Poul (1855–1936) | Hertz, Sylvester (1790–1854) | Hertz, Vilhelm (1834–1900)
PerXI04213	Jerndorff	yes	Jerndorff, Frk., Søster til J.U.J. (enten Pouline Cathrine (1811-87) eller Petrine Christiane (1817-94). III 17.	Jerndorff, Frk. | Jerndorff, August (1846–1906) | Jerndorff, Just Ulrik (1806–1847) | Jerndorff, Nancy Caroline, f. Jones (1809–1877) | Jerndorff, Peter (1842–1926)
PerXI05410	Marcus	yes	Marcus, Johanne (1847-1915), Datter af L.N.M., g.m. Købmand i Hamburg Siegfried Schwab. VII 299. VIII 89- 91 101. — Se ogsaa: Schwab, Johanne. Marcus, L. N. (1814-79), Læge i Altona). VI 263. VII 299. VIII 88-89 90 91-95 101 103-04 106 108. IX 292 298 300-02. X 67 68 141 147 416 440.	Marcus, Adele, f. Hertz (1854–?) | Marcus, Anton (1848–1873) | Marcus, Galathea, f. Melchior (1818–1906) | Marcus, Gerson (1846–1916) | Marcus, Harry (1840–1879) | Marcus, Johanne (1847–1915) | Marcus, L. N. (1814–1879) | Marcus, Wilhelmine (1851–?)
PerXI06114	Nissen-Saloman	no	Nissen-Saloman, Henriette, f. Nissen (1819-79), svensk Operasangerinde, g. 1850 m. Komponisten Siegfried Saloman. IV 191. VIII 146 242-43 246. IX 106 314-15. -57), svensk Forfatter og Godsejer (Jordberga, Skåne). VI 305.	Nissen-Saloman, Henriette, f. Nissen (1819–1879)
PerXI06279	Oxholm	yes	Oxholm, de yngre Frøkner 1869, Døtre af Harald O. (Mary Ann (1842-1911), senere Stiftsdame i Vallø), Louise (1843-1913), g.1871 m. Baron Emil Schaffalitzky de Muckadell) og Georgina (1846-1912), senere Hofdame hos Dronning Louise). VIII 259.	Oxholm, Frøken (den ældre) | Oxholm, de yngre Frøkner | Oxholm, Alexander (1844–1908) | Oxholm, Marie, f. von Krogh (1815–1899) | Oxholm, W. (1805–1876)
PerXI07318	Salm-Reifferscheidt	no	Salm-Reifferscheidt, Robert Anton zu, Altgraf (1804-75), 2. Präsident der k. Slomann) (1805-57), Søn af Wulf S., senere Grosserer i København. I 121 123.	Salm-Reifferscheidt, Felicia Sidonie zu, Grevinde, f. Fyrstinde Clary und Aldringen (1815–1902) | Salm-Reifferscheidt, Robert Anton zu, Altgraf (1804–1875)
