person_id,kind,tier,action,column,evidence,proposal
HCAP00035,embedded_name_year,4,review by hand,09_description,"Charlotte (1803–1880), Pauline (1804–1887),",a second person is buried in this description
HCAP01020,description_reference_run,1,recover citations,09_description,"fil.mag., senere Rektor i Viborg, Finland. I 298 383-85.",I:298;I:383;I:384;I:385
HCAP01020,description_reference_run,2,trim the column,09_description,"Ahrens (Arenz), Portugiser, Setubal.","fil.mag., senere Rektor i Viborg, Finland. I 298 383-85."
HCAP01020,description_reference_run,3,split out a new row,09_description,"Ahrens (Arenz), Portugiser, Setubal.",new entry: Ahrens
HCAP01071,given_names_tail,1,recover citations,04_given_names,Bordeaux 1866. VII 89 174 176.,VII:174
HCAP01071,given_names_tail,2,trim the column,04_given_names,Amé's Far,Bordeaux 1866. VII 89 174 176.
HCAP01081,description_reference_run,1,recover citations,09_description,"fransk Forfatterinde, g. 1818 m. Fr. A. II 348 354-55 356.",II:348;II:354;II:355;II:356
HCAP01081,description_reference_run,2,trim the column,09_description,"Ancker (Anker?), Sorø 20.5.1850.","fransk Forfatterinde, g. 1818 m. Fr. A. II 348 354-55 356."
HCAP01081,description_reference_run,2,no split — the entry already exists,09_description,"Ancker (Anker?), Sorø 20.5.1850.",see existing Ancker
HCAP01140,description_reference_run,1,recover citations,09_description,"t i Søetaten 1869, Premierløjtnant 1872. VI 116 180 218-19.",VI:116;VI:180;VI:218;VI:219
HCAP01140,description_reference_run,2,trim the column,09_description,"Anker (Ancker?), Sorø 20.5.1850.","Søn af Johannes A., Kadet 1863, Sekondløjtnant i Søetaten 1869, Premierløjtnant 1872. VI 116 180 218-19."
HCAP01140,description_reference_run,2,no split — the entry already exists,09_description,"Anker (Ancker?), Sorø 20.5.1850.",see existing Anker
HCAP01186,description_reference_run,1,recover citations,09_description,g.m. Carl Th. A. IV 448. VIII 236.,IV:448;VIII:236
HCAP01186,description_reference_run,2,trim the column,09_description,Arnesen (Arntzen?).,g.m. Carl Th. A. IV 448. VIII 236.
HCAP01186,description_reference_run,2,no split — the entry already exists,09_description,Arnesen (Arntzen?).,see existing Arnesen
HCAP01543,description_reference_run,1,recover citations,09_description,Opvarter i Murcia. V 232.,V:232
HCAP01543,description_reference_run,2,trim the column,09_description,"Beppo (Peppo), Tigger paa den spanske Trappe i Rom.",Opvarter i Murcia. V 232.
HCAP01543,description_reference_run,2,no split — the entry already exists,09_description,"Beppo (Peppo), Tigger paa den spanske Trappe i Rom.",see existing Beppo
HCAP01608,given_names_tail,1,recover citations,04_given_names,"Grevinde, »født i Svendborg«, Paris 19.4.1867. VII 269.",VII:269
HCAP01608,given_names_tail,2,trim the column,04_given_names,Bertall (Pseud. for Charles-Albert d'Arnoux),"Grevinde, »født i Svendborg«, Paris 19.4.1867. VII 269."
HCAP01608,given_names_tail,2,no split — the entry already exists,04_given_names,Bertall (Pseud. for Charles-Albert d'Arnoux),see existing Bertall
HCAP01644,description_reference_run,1,recover citations,09_description,Boghandler i København. IX 149.,IX:149
HCAP01644,description_reference_run,2,trim the column,09_description,Bielke (»der døde af Snive«).,Boghandler i København. IX 149.
HCAP01644,description_reference_run,2,no split — the entry already exists,09_description,Bielke (»der døde af Snive«).,see existing Bielke
HCAP01664,description_reference_run,1,recover citations,09_description,hollandsk Digter. VII 36.,VII:36
HCAP01664,description_reference_run,2,trim the column,09_description,Billes (ikke nærmere angivet).,hollandsk Digter. VII 36.
HCAP01664,description_reference_run,2,no split — the entry already exists,09_description,Billes (ikke nærmere angivet).,see existing Billes
HCAP01719,description_reference_run,1,recover citations,09_description,ucester; hans Moder var Søster til William Howitt. III 221.,III:221
HCAP01719,description_reference_run,2,trim the column,09_description,"Birger Jarl (død 1266), svensk Stormand. III 339 360. Birger Persson t","ansat hos Hambro i London, senere i Firmaet Westenholz Brothers sst., derefter Købmand i Flensborg (1854) og fra 1870 i Gloucester; hans Moder var Søster til William Howitt. III 221."
HCAP01719,description_reference_run,3,split out a new row,09_description,"Birger Jarl (død 1266), svensk Stormand. III 339 360. Birger Persson t",new entry: Birger
HCAP01904,description_reference_run,1,recover citations,09_description,rosserer og dansk Vicekonsul i Newcastle. III 198. VII 180.,III:198;VII:180
HCAP01904,description_reference_run,2,trim the column,09_description,Borring (»Brev fra Hr. Borring om at komme til ham og see hvad han hav,"Broder til Carl B., udvandret til England 1844, senere Grosserer og dansk Vicekonsul i Newcastle. III 198. VII 180."
HCAP01904,description_reference_run,2,no split — the entry already exists,09_description,Borring (»Brev fra Hr. Borring om at komme til ham og see hvad han hav,see existing Borring
HCAP01989,description_reference_run,1,recover citations,09_description,"os Dronning Marie Sophie Frederikke, Konferensraad. VI 305.",VI:305
HCAP01989,description_reference_run,2,trim the column,09_description,"Brandt (Konsulatsembedsmand?), Napoli 3.3.1841.","Livlæge hos Dronning Marie Sophie Frederikke, Konferensraad. VI 305."
HCAP01989,description_reference_run,2,no split — the entry already exists,09_description,"Brandt (Konsulatsembedsmand?), Napoli 3.3.1841.",see existing Brandt
HCAP02158,description_reference_run,1,recover citations,09_description,"Marcus Junius (85-42 f.Chr.), Cæsars Morder. II 139.",II:139
HCAP02158,description_reference_run,2,trim the column,09_description,"Bruun (Bruhn?), 22.4.1833.","Marcus Junius (85-42 f.Chr.), Cæsars Morder. II 139."
HCAP02158,description_reference_run,2,no split — the entry already exists,09_description,"Bruun (Bruhn?), 22.4.1833.",see existing Bruun
HCAP02160,description_reference_run,2,trim the column,09_description,"Bruun (»Lægen Bruun fra Odense der nu lever gift i Altona«, 15.9.1867,","Dansker, Munchen 25.6.1860. TV 386."
HCAP02160,description_reference_run,2,no split — the entry already exists,09_description,"Bruun (»Lægen Bruun fra Odense der nu lever gift i Altona«, 15.9.1867,",see existing Bruun
HCAP02186,description_reference_run,1,recover citations,09_description,", Hans (omkring 1520), Billedhugger og Billedskærer. IV 47.",IX:198;IV:47
HCAP02186,description_reference_run,2,trim the column,09_description,Bruggemann (Brev fra ham til HCA Leipzig 8.9.1846).,"Balletdanserinde ved Det kgl. Teater, g. 1872 m. Olaf Poulsen. IX 198. — Se ogsaa: Poulsen, Emilie. Bruggeman, Hans (omkring 1520), Billedhugger og Billedskærer. IV 47."
HCAP02186,description_reference_run,3,split out a new row,09_description,Bruggemann (Brev fra ham til HCA Leipzig 8.9.1846).,new entry: Bruggemann
HCAP02190,description_reference_run,1,recover citations,09_description,", Professor ved Københavns Universitet 1870. IX 234. X 422.",IX:234;X:422
HCAP02190,description_reference_run,2,trim the column,09_description,"Brøndsted (»en ung Brøndsted i Besøg«, Asmild Kloster 4.9.1859).","Filosof, Professor ved Københavns Universitet 1870. IX 234. X 422."
HCAP02190,description_reference_run,2,no split — the entry already exists,09_description,"Brøndsted (»en ung Brøndsted i Besøg«, Asmild Kloster 4.9.1859).",see existing Brøndsted
HCAP02203,description_reference_run,1,recover citations,09_description,"borg 1847, i Højesteret 1861, Justitiarius 1880-97. IV 364.",IV:364
HCAP02203,description_reference_run,2,trim the column,09_description,"Buchheister (»fra Hamborg«), Konsulatsembedsmand, Barcelona.","Assessor i Landsoverretten i Viborg 1847, i Højesteret 1861, Justitiarius 1880-97. IV 364."
HCAP02203,description_reference_run,2,no split — the entry already exists,09_description,"Buchheister (»fra Hamborg«), Konsulatsembedsmand, Barcelona.",see existing Buchheister
HCAP02349,given_names_tail,1,recover citations,04_given_names,"us Aurelius Antoninus Bassianus, romersk Kejser 211. I 333.",I:333
HCAP02349,given_names_tail,2,trim the column,04_given_names,Caralis (Pseud.),"Marcus Aurelius Antoninus Bassianus, romersk Kejser 211. I 333."
HCAP02349,given_names_tail,3,split out a new row,04_given_names,Caralis (Pseud.),new entry: Caralis
HCAP02616,embedded_name_year,4,review by hand,09_description,"Collin, Hjalmar (1834-97),",a second person is buried in this description
HCAP02676,description_reference_run,1,recover citations,09_description,Kommandant i Vernet 1846. III 147 150.,III:147;III:150
HCAP02676,description_reference_run,2,trim the column,09_description,"Coulon (I, 332, Noten), skal være: Colon, Marguerite (se denne)",Kommandant i Vernet 1846. III 147 150.
HCAP02676,description_reference_run,3,split out a new row,09_description,"Coulon (I, 332, Noten), skal være: Colon, Marguerite (se denne)",new entry: Coulon
HCAP02825,description_reference_run,1,recover citations,09_description,6 247. V 4 6-7 118 148-49 383. VI 281 315. VII 264. VIII 6.,III:424;IV:116;IV:247;V:4;V:6;V:7;V:118;V:148;V:149;V:383;VI:281;VI:315;VII:264;VIII:6
HCAP02825,description_reference_run,2,trim the column,09_description,Danneskiolds (ikke nærmere angivet).,g. 1850 m. Kong Frederik VII af Danmark. III 424. IV 116 247. V 4 6-7 118 148-49 383. VI 281 315. VII 264. VIII 6.
HCAP02825,description_reference_run,2,no split — the entry already exists,09_description,Danneskiolds (ikke nærmere angivet).,see existing Danneskiolds
HCAP02826,embedded_name_year,4,review by hand,09_description,"Sophus, Greve (1800-86),",a second person is buried in this description
HCAP02841,embedded_name_year,4,review by hand,09_description,"Zahrtmann, Wanda. Dante Alighieri (1265-1321),",a second person is buried in this description
HCAP02919,description_reference_run,1,recover citations,09_description,"Frue, f. Tugnot Delanoy, g. ca. 1838 m. A.H.P.G.D. II 339.",II:339
